c,h,l,n,o,t,v,vw
116.05,116.24,116.0,65,116.02,2017-01-03T09:00:00Z,9677,116.09584
116.02,116.06,116.0,22,116.03,2017-01-03T10:00:00Z,4025,116.012442
116.28,116.28,116.07,31,116.07,2017-01-03T11:00:00Z,3270,116.132881
116.02,116.38,116.02,82,116.23,2017-01-03T12:00:00Z,15194,116.164874
116.2,116.4,116.0,283,116.06,2017-01-03T13:00:00Z,90801,116.162979
115.68,116.33,114.76,32532,116.2,2017-01-03T14:00:00Z,6865676,115.560503
115.45,115.83,115.27,29719,115.65,2017-01-03T15:00:00Z,4309288,115.640144
115.3757,115.68,115.13,21585,115.46,2017-01-03T16:00:00Z,3182693,115.398551
115.47,115.53,115.26,13661,115.39,2017-01-03T17:00:00Z,1865577,115.392068
115.235,115.52,115.23,12213,115.47,2017-01-03T18:00:00Z,1702431,115.384194
115.43,115.46,115.15,15222,115.24,2017-01-03T19:00:00Z,2295972,115.322901
116.12,116.14,115.39,32309,115.44,2017-01-03T20:00:00Z,5669337,115.728256
116.01,116.25,115.5873,383,116.15,2017-01-03T21:00:00Z,5532660,116.14472
116.01,116.08,115.97,27,116.08,2017-01-03T22:00:00Z,3523,116.042719
116.02,116.07,116.02,7,116.02,2017-01-03T23:00:00Z,1000,116.056
116.07,116.07,116.03,11,116.07,2017-01-04T00:00:00Z,2192,116.055173
116.27,116.27,115.96,6,115.96,2017-01-04T09:00:00Z,900,116.098889
116.08,116.3,116.08,52,116.15,2017-01-04T11:00:00Z,4135,116.175961
115.8,116.3,115.8,161,116.2,2017-01-04T12:00:00Z,30344,115.905703
115.81,116.1,115.81,123,115.85,2017-01-04T13:00:00Z,37076,115.972859
116.27,116.51,115.69,22255,115.9,2017-01-04T14:00:00Z,4158686,116.246726
115.95,116.4,115.87,24183,116.27,2017-01-04T15:00:00Z,3379972,116.122085
116.365,116.38,115.905,16228,115.96,2017-01-04T16:00:00Z,2385129,116.105649
116.13,116.38,116.04,12270,116.37,2017-01-04T17:00:00Z,1539281,116.180917
116.21,116.27,116.095,11138,116.14,2017-01-04T18:00:00Z,1463572,116.178371
116.0608,116.3,116.04,16158,116.21,2017-01-04T19:00:00Z,2288651,116.17862
116.03,116.135,115.9,27056,116.06,2017-01-04T20:00:00Z,3739062,116.021177
116.03,116.05,115.94,131,116.02,2017-01-04T21:00:00Z,3901675,116.019817
116.03,116.03,116.01,11,116.03,2017-01-04T22:00:00Z,1299,116.034761
116.03,116.03,116.0,13,116.0,2017-01-04T23:00:00Z,2200,116.005136
116.0,116.01,115.97,22,116.0,2017-01-05T00:00:00Z,3698,115.997355
115.78,115.94,115.77,30,115.85,2017-01-05T12:00:00Z,3802,115.841394
116.07,116.07,115.78,152,115.99,2017-01-05T13:00:00Z,24031,115.943526
116.69,116.8642,115.81,21905,116.06,2017-01-05T14:00:00Z,4496746,116.421906
116.34,116.8,116.08,25561,116.6745,2017-01-05T15:00:00Z,3859146,116.444461
116.29,116.4,115.94,19469,116.3201,2017-01-05T16:00:00Z,2945724,116.130427
116.69,116.82,116.21,19080,116.29,2017-01-05T17:00:00Z,3281258,116.536722
116.49,116.7,116.34,12481,116.69,2017-01-05T18:00:00Z,1583896,116.498037
116.32,116.615,116.3001,11958,116.4859,2017-01-05T19:00:00Z,1462856,116.450605
116.59,116.76,116.29,25272,116.3114,2017-01-05T20:00:00Z,3528286,116.613685
116.66,116.68,116.5201,77,116.61,2017-01-05T21:00:00Z,2277482,116.609943
116.69,116.69,116.63,16,116.67,2017-01-05T22:00:00Z,10251,116.668439
116.67,116.72,116.64,26,116.7,2017-01-05T23:00:00Z,14150,116.686598
116.7,116.71,116.64,10,116.67,2017-01-06T00:00:00Z,1757,116.693193
116.57,116.57,116.57,2,116.57,2017-01-06T11:00:00Z,248,116.57
116.7,116.81,116.61,18,116.61,2017-01-06T12:00:00Z,2493,116.741881
116.56,116.87,116.0,397,116.7,2017-01-06T13:00:00Z,86739,116.480533
117.68,117.7,116.47,34465,116.61,2017-01-06T14:00:00Z,7330192,117.222467
117.62,117.79,117.4,31218,117.67,2017-01-06T15:00:00Z,4823783,117.633533
117.931,117.97,117.5,21722,117.63,2017-01-06T16:00:00Z,3130781,117.796334
117.91,118.16,117.81,24330,117.9342,2017-01-06T17:00:00Z,4059160,117.989482
117.84,117.97,117.645,15836,117.9,2017-01-06T18:00:00Z,2209196,117.830741
117.9641,118.16,117.8399,19861,117.84,2017-01-06T19:00:00Z,3432644,118.051704
117.9,118.09,117.81,29600,117.96,2017-01-06T20:00:00Z,4441359,117.960832
117.96,118.0,117.91,181,117.91,2017-01-06T21:00:00Z,4234146,117.905379
117.94,117.96,117.85,23,117.96,2017-01-06T22:00:00Z,18152,117.91259
117.72,118.0,117.72,11,118.0,2017-01-09T09:00:00Z,1555,117.962682
117.79,117.89,117.75,24,117.8,2017-01-09T10:00:00Z,3354,117.800772
117.62,117.71,117.51,49,117.62,2017-01-09T11:00:00Z,5509,117.606568
118.1,118.17,117.75,108,117.79,2017-01-09T12:00:00Z,25643,118.020006
118.11,118.27,118.01,335,118.17,2017-01-09T13:00:00Z,93587,118.137312
119.05,119.3,117.89,44219,118.11,2017-01-09T14:00:00Z,8961655,118.723273
119.15,119.29,118.7739,32178,119.05,2017-01-09T15:00:00Z,5114316,119.054515
118.97,119.43,118.9176,24517,119.15,2017-01-09T16:00:00Z,3734883,119.158507
119.18,119.2,118.84,17234,118.965,2017-01-09T17:00:00Z,2716644,119.027683
119.0543,119.22,119.0,13542,119.18,2017-01-09T18:00:00Z,1881265,119.094369
119.0733,119.09,118.72,18645,119.05,2017-01-09T19:00:00Z,2752908,118.910137
119.01,119.38,118.97,33116,119.07,2017-01-09T20:00:00Z,4756245,119.141166
119.0,119.03,118.9,197,118.99,2017-01-09T21:00:00Z,6034234,118.989525
119.01,119.01,118.8,264,119.0,2017-01-09T22:00:00Z,12972,118.962945
119.02,119.05,118.87,62,118.97,2017-01-09T23:00:00Z,11326,118.981204
118.91,119.02,118.91,23,119.02,2017-01-10T00:00:00Z,3885,118.958644
119.15,119.15,119.15,9,119.15,2017-01-10T11:00:00Z,563,119.133215
119.1,119.17,119.0,24,119.0,2017-01-10T12:00:00Z,4854,119.094893
118.95,119.13,118.7,150,119.13,2017-01-10T13:00:00Z,49207,118.969299
118.79,118.97,118.3,26511,118.92,2017-01-10T14:00:00Z,4886444,118.694999
118.74,118.95,118.51,26602,118.77,2017-01-10T15:00:00Z,3944123,118.778069
119.15,119.38,118.74,21666,118.74,2017-01-10T16:00:00Z,3483741,119.133066
119.13,119.32,119.08,12419,119.15,2017-01-10T17:00:00Z,1724531,119.218789
118.84,119.19,118.8,15557,119.1265,2017-01-10T18:00:00Z,2161635,119.0644
119.08,119.19,118.77,16414,118.84,2017-01-10T19:00:00Z,2171061,119.017597
119.1,119.22,118.92,26517,119.08,2017-01-10T20:00:00Z,3213060,119.107728
119.08,119.15,119.01,103,119.11,2017-01-10T21:00:00Z,4819651,119.109844
119.11,119.11,119.07,18,119.07,2017-01-10T22:00:00Z,3546,119.079614
119.05,119.06,119.05,5,119.06,2017-01-10T23:00:00Z,2200,119.052955
119.15,119.15,119.01,28,119.05,2017-01-11T00:00:00Z,6175,119.059457
118.87,119.11,118.87,4,119.11,2017-01-11T09:00:00Z,501,119.061876
118.95,118.95,118.78,9,118.78,2017-01-11T11:00:00Z,1199,118.895254
118.75,118.89,118.75,71,118.85,2017-01-11T12:00:00Z,17715,118.837361
118.82,118.98,118.75,92,118.85,2017-01-11T13:00:00Z,31783,118.881231
