c,h,l,n,o,t,v,vw
146.21,148.72,146.21,2,148.72,2017-01-03T13:00:00Z,1833,146.415401
148.78,148.78,147.12,2933,147.49,2017-01-03T14:00:00Z,475530,147.888621
149.7698,150.09,148.74,6563,148.78,2017-01-03T15:00:00Z,606859,149.551486
150.44,150.64,149.56,4984,149.73,2017-01-03T16:00:00Z,508410,150.187859
150.47,150.63,150.1,3496,150.4103,2017-01-03T17:00:00Z,303856,150.376076
150.14,151.0,150.14,3753,150.462,2017-01-03T18:00:00Z,295295,150.620844
150.59,150.71,150.06,4380,150.17,2017-01-03T19:00:00Z,350212,150.351572
150.74,150.98,150.274,9649,150.59,2017-01-03T20:00:00Z,782098,150.67278
152.5,153.5,150.1204,139,150.73,2017-01-03T21:00:00Z,619968,150.755169
152.01,152.01,152.01,7,152.01,2017-01-03T22:00:00Z,667,152.017421
152.0,152.0,152.0,4,152.0,2017-01-04T00:00:00Z,350,152.0
151.2,151.2,151.19,2,151.19,2017-01-04T12:00:00Z,300,151.193333
152.0,152.0,151.99,3,151.99,2017-01-04T13:00:00Z,210,151.994762
153.26,153.27,151.5,5172,151.87,2017-01-04T14:00:00Z,738251,152.285558
152.7132,153.26,152.3,5374,153.24,2017-01-04T15:00:00Z,481908,152.763329
153.3951,153.72,152.61,5254,152.74,2017-01-04T16:00:00Z,561732,153.288008
152.22,153.56,152.22,4116,153.34,2017-01-04T17:00:00Z,332877,152.963585
152.2,152.68,152.12,3396,152.23,2017-01-04T18:00:00Z,349921,152.41704
153.06,153.06,152.05,4712,152.2,2017-01-04T19:00:00Z,400345,152.536591
152.86,153.18,152.74,8950,153.065,2017-01-04T20:00:00Z,638996,152.954524
152.87,152.87,152.7,23,152.87,2017-01-04T21:00:00Z,769314,152.868109
151.67,152.87,151.52,3301,152.87,2017-01-05T14:00:00Z,417395,152.249291
152.59,153.0,151.51,5453,151.71,2017-01-05T15:00:00Z,476494,152.014751
152.99,153.02,152.201,3473,152.56,2017-01-05T16:00:00Z,308174,152.651342
153.0,153.1,152.73,2989,153.06,2017-01-05T17:00:00Z,242791,152.936886
153.25,153.3,152.95,3087,152.99,2017-01-05T18:00:00Z,318691,153.093191
152.82,153.4,152.75,3557,153.2313,2017-01-05T19:00:00Z,262295,153.063967
152.97,153.34,152.81,6585,152.81,2017-01-05T20:00:00Z,491846,153.092226
160.29,164.0,152.93,963,152.99,2017-01-05T21:00:00Z,676301,154.844737
159.8,161.84,159.5,600,160.3,2017-01-05T22:00:00Z,111481,160.741584
159.5,160.01,159.5,158,159.79,2017-01-05T23:00:00Z,31902,159.762803
159.01,159.7,159.01,18,159.7,2017-01-06T00:00:00Z,3550,159.285915
160.06,160.14,160.06,8,160.14,2017-01-06T09:00:00Z,599,160.100067
160.95,160.95,159.95,18,159.96,2017-01-06T11:00:00Z,1648,160.377731
159.55,160.25,159.5,62,159.95,2017-01-06T12:00:00Z,11215,159.913646
160.0,160.0,158.5,457,159.5,2017-01-06T13:00:00Z,78376,159.3624
158.73,161.12,158.23,18011,160.0,2017-01-06T14:00:00Z,3040796,159.777454
158.05,158.82,156.67,15320,158.8,2017-01-06T15:00:00Z,1908477,157.792371
158.01,158.59,157.8,7861,158.03,2017-01-06T16:00:00Z,915272,158.107585
158.23,158.565,157.9201,5910,158.01,2017-01-06T17:00:00Z,710519,158.17297
157.56,158.33,157.3,6079,158.21,2017-01-06T18:00:00Z,587530,157.884462
157.05,157.89,156.77,8286,157.5686,2017-01-06T19:00:00Z,832848,157.382823
156.79,157.15,156.67,13471,157.05,2017-01-06T20:00:00Z,1368791,156.934613
156.6,157.0,156.6,25,156.78,2017-01-06T21:00:00Z,679537,156.779822
156.78,156.78,156.77,19,156.78,2017-01-06T22:00:00Z,5215,156.779808
157.55,157.99,157.05,37,157.63,2017-01-09T13:00:00Z,6559,157.635008
157.55,158.55,157.01,5458,157.58,2017-01-09T14:00:00Z,735517,157.727544
157.08,157.72,156.8,6341,157.56,2017-01-09T15:00:00Z,602650,157.249596
156.99,157.443,156.63,5943,157.019,2017-01-09T16:00:00Z,563777,156.948658
157.9823,158.36,156.91,4460,157.02,2017-01-09T17:00:00Z,521144,157.727503
