c,h,l,n,o,t,v,vw
757.76,757.87,756.3,8,756.3,2017-01-03T09:00:00Z,1389,756.943628
757.84,758.26,757.84,19,758.26,2017-01-03T10:00:00Z,2493,758.191448
759.0,759.0,757.99,9,757.99,2017-01-03T11:00:00Z,805,758.689255
759.3,761.0,758.5,118,758.5,2017-01-03T12:00:00Z,13366,759.618971
757.4,760.0,749.87,358,759.5,2017-01-03T13:00:00Z,36668,757.809219
754.0,759.0,752.221,7861,757.4,2017-01-03T14:00:00Z,750843,755.465275
752.8999,758.01,752.0,7687,753.68,2017-01-03T15:00:00Z,497623,754.933796
750.62,752.8,748.51,7445,752.59,2017-01-03T16:00:00Z,450653,751.040984
749.42,751.19,747.7,5946,750.71,2017-01-03T17:00:00Z,322453,749.245446
748.7172,751.9,748.48,5309,749.65,2017-01-03T18:00:00Z,326750,749.952761
749.533,749.67,748.07,4937,748.82,2017-01-03T19:00:00Z,314534,748.854722
753.43,753.67,748.06,11311,749.48,2017-01-03T20:00:00Z,670383,751.20224
753.9,754.0,749.325,60,753.67,2017-01-03T21:00:00Z,327889,753.660003
753.5,753.99,753.5,121,753.99,2017-01-03T22:00:00Z,723,753.817773
753.45,753.45,753.11,8,753.11,2017-01-03T23:00:00Z,368,753.244674
753.02,753.67,753.02,3,753.67,2017-01-04T00:00:00Z,665,753.393594
756.25,756.95,756.0,23,756.0,2017-01-04T12:00:00Z,2410,756.421552
756.0,756.0,755.0,65,756.0,2017-01-04T13:00:00Z,3477,755.665479
755.87,759.68,755.47,5703,756.49,2017-01-04T14:00:00Z,447668,757.604529
756.83,757.14,754.2,5992,755.88,2017-01-04T15:00:00Z,386907,755.670749
757.15,757.97,756.01,4629,757.0,2017-01-04T16:00:00Z,292925,756.95215
757.375,758.18,756.0,4258,757.2,2017-01-04T17:00:00Z,225421,757.161259
758.07,759.1399,756.0,4780,757.375,2017-01-04T18:00:00Z,257310,757.805779
758.59,759.68,757.08,5014,758.07,2017-01-04T19:00:00Z,275737,758.57992
757.3797,759.0896,756.495,8766,758.54,2017-01-04T20:00:00Z,485995,757.477756
757.0,757.5,757.0,59,757.18,2017-01-04T21:00:00Z,276516,757.179075
756.35,756.7,756.25,39,756.31,2017-01-04T22:00:00Z,1887,756.427726
756.29,756.35,756.29,4,756.35,2017-01-04T23:00:00Z,325,756.326923
756.5,756.5,756.03,14,756.03,2017-01-05T00:00:00Z,554,756.247816
757.74,757.74,757.37,13,757.37,2017-01-05T10:00:00Z,626,757.647333
757.19,757.19,757.19,9,757.19,2017-01-05T11:00:00Z,500,757.20584
758.0,758.0,756.0,108,756.99,2017-01-05T13:00:00Z,6181,756.87807
769.0,771.3675,757.18,13424,758.0,2017-01-05T14:00:00Z,1204815,766.905701
773.93,775.5,768.57,15340,769.0,2017-01-05T15:00:00Z,1190170,772.786546
774.84,775.3,772.15,9345,773.76,2017-01-05T16:00:00Z,717865,774.196423
776.78,777.0,774.25,7756,774.85,2017-01-05T17:00:00Z,541110,775.503506
777.5,778.7613,776.66,7017,776.77,2017-01-05T18:00:00Z,468416,777.699441
779.08,780.14,777.5,8544,777.66,2017-01-05T19:00:00Z,577049,778.769883
780.86,782.3999,778.0,14465,779.0,2017-01-05T20:00:00Z,982301,780.484242
781.01,782.0,774.5464,161,780.45,2017-01-05T21:00:00Z,313675,780.45934
781.47,781.68,780.45,60,781.2,2017-01-05T22:00:00Z,5426,781.032897
781.59,781.6,781.01,58,781.3,2017-01-05T23:00:00Z,3063,781.267019
781.7,781.7,781.5,9,781.65,2017-01-06T00:00:00Z,675,781.614252
782.74,782.74,781.0,7,781.0,2017-01-06T11:00:00Z,439,782.115536
781.8,781.84,781.8,5,781.84,2017-01-06T12:00:00Z,878,781.815262
780.79,782.0,778.0,215,781.8,2017-01-06T13:00:00Z,17820,781.025684
787.8,787.89,778.48,11787,780.51,2017-01-06T14:00:00Z,1173746,783.225847
789.37,790.8,784.423,13224,787.4,2017-01-06T15:00:00Z,1020270,787.600025
793.0,793.43,789.06,11188,789.5689,2017-01-06T16:00:00Z,806791,791.346102
798.73,799.44,792.53,11968,792.9993,2017-01-06T17:00:00Z,767406,795.572479
797.1984,799.23,795.79,8416,798.7682,2017-01-06T18:00:00Z,585289,797.507464
798.1653,799.05,796.23,7727,797.21,2017-01-06T19:00:00Z,529644,797.632053
796.16,799.427,795.96,14686,798.29,2017-01-06T20:00:00Z,980042,797.818136
795.53,796.4,795.53,135,795.99,2017-01-06T21:00:00Z,262931,795.856445
795.95,795.95,795.33,46,795.51,2017-01-06T22:00:00Z,4355,795.566531
797.5,797.5,797.5,3,797.5,2017-01-09T09:00:00Z,154,797.536883
797.55,797.55,797.55,3,797.55,2017-01-09T10:00:00Z,266,797.549624
797.77,797.77,797.4,19,797.5,2017-01-09T11:00:00Z,1871,797.530695
797.0,797.5,796.52,35,797.39,2017-01-09T12:00:00Z,3241,797.154856
797.15,798.03,796.01,139,798.0,2017-01-09T13:00:00Z,11751,797.208576
796.78,801.7742,796.38,8864,797.15,2017-01-09T14:00:00Z,816445,798.837772
795.93,797.4,791.77,10154,796.995,2017-01-09T15:00:00Z,767907,794.130578
797.4053,798.47,794.68,5627,795.76,2017-01-09T16:00:00Z,416946,796.862026
796.69,797.92,795.4815,4134,797.41,2017-01-09T17:00:00Z,287297,796.553371
796.9599,797.69,796.1901,3756,796.7,2017-01-09T18:00:00Z,222779,796.889458
796.93,797.0085,795.12,3556,797.0,2017-01-09T19:00:00Z,182540,796.16673
796.85,799.66,796.65,8932,796.97,2017-01-09T20:00:00Z,595037,798.277995
796.75,797.06,796.75,59,796.92,2017-01-09T21:00:00Z,318247,796.91983
796.5,796.8,796.5,16,796.75,2017-01-09T22:00:00Z,1573,796.652518
796.42,796.5,796.42,6,796.5,2017-01-09T23:00:00Z,500,796.4858
796.65,796.65,796.42,6,796.55,2017-01-10T00:00:00Z,775,796.533871
797.03,798.0,797.0,39,798.0,2017-01-10T13:00:00Z,3526,797.41736
793.53,797.47,791.0,4890,797.0,2017-01-10T14:00:00Z,374188,794.393635
792.4,794.49,789.5434,7320,793.6999,2017-01-10T15:00:00Z,508239,792.118246
794.75,795.6,792.18,5151,792.49,2017-01-10T16:00:00Z,330770,794.543625
796.0735,797.25,794.79,4264,794.9999,2017-01-10T17:00:00Z,264452,796.0812
795.8725,798.0,795.5,3764,795.965,2017-01-10T18:00:00Z,271162,796.844738
795.65,795.99,793.93,4094,795.9,2017-01-10T19:00:00Z,235609,795.047625
795.89,796.65,795.05,7720,795.663,2017-01-10T20:00:00Z,403481,795.80712
795.9,796.0,795.81,40,795.9,2017-01-10T21:00:00Z,321246,795.887967
