c,h,l,n,o,t,v,vw
74.55,74.55,74.08,2,74.08,2017-01-03T13:00:00Z,1584,74.109672
75.49,75.75,74.71,4077,74.71,2017-01-03T14:00:00Z,703267,75.431256
74.98,75.7299,74.97,6111,75.47,2017-01-03T15:00:00Z,683339,75.494227
75.1,75.23,74.87,4705,74.97,2017-01-03T16:00:00Z,494060,75.039042
74.92,75.13,74.74,3344,75.11,2017-01-03T17:00:00Z,348674,74.93114
75.08,75.19,74.83,4539,74.91,2017-01-03T18:00:00Z,562038,75.014207
75.08,75.19,74.9401,4127,75.07,2017-01-03T19:00:00Z,497661,75.067869
75.34,75.34,75.01,9912,75.09,2017-01-03T20:00:00Z,1122808,75.183142
75.4,75.4,75.1624,19,75.34,2017-01-03T21:00:00Z,2782647,75.349988
75.35,75.35,75.35,1,75.35,2017-01-04T12:00:00Z,198,75.35
75.35,75.35,75.3,3,75.3,2017-01-04T13:00:00Z,300,75.333333
75.38,75.56,75.055,3261,75.1,2017-01-04T14:00:00Z,482654,75.38809
75.62,75.65,75.23,5001,75.39,2017-01-04T15:00:00Z,566695,75.471218
75.46,75.67,75.385,4453,75.62,2017-01-04T16:00:00Z,539752,75.531559
75.95,75.95,75.46,3853,75.4643,2017-01-04T17:00:00Z,550668,75.73088
76.25,76.28,75.91,3940,75.945,2017-01-04T18:00:00Z,492366,76.084074
76.52,76.55,76.22,5794,76.25,2017-01-04T19:00:00Z,696459,76.411369
76.26,76.535,76.22,8210,76.52,2017-01-04T20:00:00Z,929449,76.359985
76.26,76.28,76.26,20,76.26,2017-01-04T21:00:00Z,666531,76.260011
76.37,76.37,76.37,1,76.37,2017-01-05T09:00:00Z,100,76.37
75.95,76.26,75.75,2775,76.26,2017-01-05T14:00:00Z,337791,75.975587
75.49,75.99,75.435,5063,75.95,2017-01-05T15:00:00Z,537722,75.724203
74.85,75.51,74.82,4633,75.48,2017-01-05T16:00:00Z,414938,75.124344
75.1866,75.2299,74.86,3430,74.86,2017-01-05T17:00:00Z,343725,75.080344
75.24,75.38,75.165,3140,75.185,2017-01-05T18:00:00Z,307220,75.283256
75.2,75.41,75.18,3796,75.23,2017-01-05T19:00:00Z,417778,75.292654
75.31,75.34,75.12,6609,75.2,2017-01-05T20:00:00Z,676065,75.220955
75.32,75.32,75.32,18,75.32,2017-01-05T21:00:00Z,590899,75.32
75.0,75.0,75.0,12,75.0,2017-01-06T10:00:00Z,1000,75.0
75.0,75.0,75.0,29,75.0,2017-01-06T12:00:00Z,3943,75.0
76.26,76.26,76.21,16,76.24,2017-01-06T13:00:00Z,555,76.231568
75.26,75.86,75.06,3298,75.48,2017-01-06T14:00:00Z,426507,75.296391
75.41,75.495,75.1,4065,75.26,2017-01-06T15:00:00Z,417835,75.30791
75.63,75.755,75.38,3389,75.41,2017-01-06T16:00:00Z,314163,75.595586
75.765,75.81,75.56,2620,75.62,2017-01-06T17:00:00Z,253150,75.68235
75.74,75.915,75.71,2947,75.77,2017-01-06T18:00:00Z,364078,75.800729
75.73,75.8,75.65,2851,75.74,2017-01-06T19:00:00Z,348673,75.722533
75.48,75.775,75.44,6067,75.72,2017-01-06T20:00:00Z,672072,75.592547
75.47,75.54,75.47,16,75.54,2017-01-06T21:00:00Z,481226,75.475964
75.1,75.1,75.1,77,75.1,2017-01-09T09:00:00Z,6552,75.099847
75.1,75.1,75.1,8,75.1,2017-01-09T10:00:00Z,2412,75.1
76.2,76.27,75.38,46,75.38,2017-01-09T11:00:00Z,11677,75.87999
76.85,76.85,76.22,30,76.22,2017-01-09T13:00:00Z,5174,76.515042
75.92,76.23,75.53,4470,76.1,2017-01-09T14:00:00Z,731853,75.88032
76.0534,76.07,75.64,5602,75.925,2017-01-09T15:00:00Z,700781,75.848366
76.01,76.19,75.865,5802,76.06,2017-01-09T16:00:00Z,871581,76.005085
76.47,76.47,75.99,4966,76.0,2017-01-09T17:00:00Z,631574,76.250462
76.23,76.5,76.1428,3286,76.47,2017-01-09T18:00:00Z,425720,76.297423
75.9957,76.26,75.89,3829,76.23,2017-01-09T19:00:00Z,415666,76.041712
75.88,76.11,75.82,6578,75.99,2017-01-09T20:00:00Z,689211,75.955014
75.86,75.86,75.86,10,75.86,2017-01-09T21:00:00Z,603791,75.86
75.86,76.09,75.7,22,75.86,2017-01-09T23:00:00Z,2496,75.849643
75.86,75.86,75.86,6,75.86,2017-01-10T00:00:00Z,551,75.86127
76.18,76.18,76.18,3,76.18,2017-01-10T09:00:00Z,1000,76.18
76.26,76.26,76.25,6,76.25,2017-01-10T13:00:00Z,446,76.323139
77.26,77.5,76.12,8909,76.4,2017-01-10T14:00:00Z,1425992,76.85969
77.01,77.59,76.61,9540,77.27,2017-01-10T15:00:00Z,1402064,77.038649
77.65,77.66,77.005,9654,77.005,2017-01-10T16:00:00Z,1606384,77.43639
77.78,78.0,77.65,7327,77.6599,2017-01-10T17:00:00Z,1125832,77.879335
77.1958,77.9,77.18,4966,77.782,2017-01-10T18:00:00Z,592835,77.637867
76.84,77.19,76.825,7098,77.19,2017-01-10T19:00:00Z,838823,77.026549
76.66,76.96,76.585,13761,76.845,2017-01-10T20:00:00Z,1837957,76.78997
76.65,77.3001,76.55,19,76.66,2017-01-10T21:00:00Z,1268214,76.703248
76.61,76.61,76.61,1,76.61,2017-01-10T22:00:00Z,100,76.61
76.67,76.67,76.65,3,76.65,2017-01-11T13:00:00Z,400,76.66
76.97,76.99,76.1,3548,76.67,2017-01-11T14:00:00Z,527985,76.611087
77.12,77.44,76.82,7089,76.9602,2017-01-11T15:00:00Z,871197,77.095515
77.13,77.33,76.58,5306,77.12,2017-01-11T16:00:00Z,566662,76.992309
76.76,77.21,76.6,4383,77.13,2017-01-11T17:00:00Z,483833,76.863459
76.61,76.81,76.3057,4299,76.75,2017-01-11T18:00:00Z,462047,76.569645
76.73,76.795,76.59,3815,76.62,2017-01-11T19:00:00Z,395454,76.696753
76.9,76.91,76.71,6991,76.73,2017-01-11T20:00:00Z,796164,76.807956
76.91,76.91,76.91,19,76.91,2017-01-11T21:00:00Z,801593,76.91
77.0,77.0,77.0,2,77.0,2017-01-11T23:00:00Z,200,77.0
77.0,77.11,76.31,51,76.65,2017-01-12T13:00:00Z,15445,77.019226
76.17,77.22,76.16,3042,77.0,2017-01-12T14:00:00Z,458717,76.513726
76.12,76.48,75.84,7122,76.15,2017-01-12T15:00:00Z,876677,76.151095
75.9658,76.24,75.96,5264,76.11,2017-01-12T16:00:00Z,558444,76.058687
76.37,76.47,75.96,3445,75.96,2017-01-12T17:00:00Z,318533,76.294241
76.5642,76.63,76.36,3421,76.38,2017-01-12T18:00:00Z,346155,76.493488
76.72,76.75,76.45,3882,76.57,2017-01-12T19:00:00Z,377789,76.633349
76.88,76.95,76.68,7975,76.73,2017-01-12T20:00:00Z,833017,76.855263
77.0,77.0,76.88,30,76.88,2017-01-12T21:00:00Z,506133,76.880366
77.0,77.0,77.0,3,77.0,2017-01-13T13:00:00Z,500,77.0
77.17,77.63,76.9,2978,76.98,2017-01-13T14:00:00Z,380600,77.267888
77.14,77.58,77.08,5096,77.17,2017-01-13T15:00:00Z,510362,77.277505
76.945,77.19,76.92,3706,77.14,2017-01-13T16:00:00Z,368650,77.059004
76.79,76.97,76.632,2977,76.95,2017-01-13T17:00:00Z,342841,76.780541
76.64,76.82,76.59,2681,76.79,2017-01-13T18:00:00Z,265929,76.700368
76.6554,76.735,76.41,4424,76.65,2017-01-13T19:00:00Z,446858,76.575472
76.63,76.82,76.57,7427,76.66,2017-01-13T20:00:00Z,751040,76.674542
76.62,76.62,76.62,17,76.62,2017-01-13T21:00:00Z,478407,76.62
76.62,76.62,76.62,1,76.62,2017-01-13T22:00:00Z,107100,76.62
76.9,76.9,76.9,5,76.9,2017-01-17T09:00:00Z,2000,76.9
77.51,77.51,77.51,1,77.51,2017-01-17T12:00:00Z,100,77.51
77.2,77.4,77.02,20,77.4,2017-01-17T13:00:00Z,7103,77.207608
76.83,77.7,76.68,7049,77.1,2017-01-17T14:00:00Z,1190198,77.12604
77.23,77.31,76.72,8632,76.83,2017-01-17T15:00:00Z,936011,77.151115
77.16,77.26,77.07,6743,77.235,2017-01-17T16:00:00Z,732065,77.165555
77.0,77.225,76.94,5835,77.17,2017-01-17T17:00:00Z,689178,77.042477
76.885,77.045,76.79,5756,77.01,2017-01-17T18:00:00Z,684984,76.916931
76.58,76.91,76.47,7693,76.89,2017-01-17T19:00:00Z,784979,76.63865
76.6,76.6429,76.47,11309,76.58,2017-01-17T20:00:00Z,1164261,76.566057
76.7,76.7,76.5,23,76.61,2017-01-17T21:00:00Z,667672,76.599988
76.95,76.95,76.95,2,76.95,2017-01-18T13:00:00Z,250,76.95
77.12,77.18,76.51,6443,77.1,2017-01-18T14:00:00Z,872337,76.910169
77.56,77.58,77.08,8837,77.12,2017-01-18T15:00:00Z,1155481,77.336417
77.12,77.605,77.09,4745,77.565,2017-01-18T16:00:00Z,661766,77.330225
77.12,77.28,77.01,3520,77.104,2017-01-18T17:00:00Z,607630,77.140412
77.39,77.45,77.09,3211,77.11,2017-01-18T18:00:00Z,420147,77.281074
77.435,77.47,77.2981,5223,77.3999,2017-01-18T19:00:00Z,693043,77.403402
77.495,77.54,77.3,10607,77.43,2017-01-18T20:00:00Z,1245127,77.453494
77.56,77.61,77.49,31,77.49,2017-01-18T21:00:00Z,550623,77.490597
77.6,77.65,77.56,12,77.62,2017-01-18T22:00:00Z,1250,77.6088
77.65,77.65,77.51,7,77.65,2017-01-18T23:00:00Z,1194,77.618342
77.73,77.75,77.55,8,77.75,2017-01-19T00:00:00Z,7100,77.710394
77.8,77.89,77.7,27,77.89,2017-01-19T13:00:00Z,12713,77.776701
77.34,77.92,77.02,4329,77.8,2017-01-19T14:00:00Z,801302,77.325836
77.24,77.55,77.11,8722,77.34,2017-01-19T15:00:00Z,1058132,77.292541
77.09,77.33,77.04,6659,77.22,2017-01-19T16:00:00Z,893332,77.196671
76.93,77.115,76.84,4712,77.08,2017-01-19T17:00:00Z,603259,76.988125
76.765,77.02,76.71,5158,76.94,2017-01-19T18:00:00Z,639152,76.909462
76.835,77.17,76.66,9459,76.77,2017-01-19T19:00:00Z,1157171,76.860019
76.7,76.98,76.61,15313,76.84,2017-01-19T20:00:00Z,2115967,76.7642
76.05,77.32,74.68,1628,76.7,2017-01-19T21:00:00Z,1081647,76.642858
75.86,76.2,75.85,113,75.89,2017-01-19T22:00:00Z,24963,75.964624
75.5,75.9,75.5,53,75.86,2017-01-19T23:00:00Z,12322,75.81031
75.5,75.56,75.4,19,75.56,2017-01-20T00:00:00Z,16001,75.518003
74.99,75.0,74.99,2,75.0,2017-01-20T10:00:00Z,400,74.9925
75.43,75.43,75.33,8,75.33,2017-01-20T12:00:00Z,1900,75.388947
75.23,75.5,75.0,163,75.4,2017-01-20T13:00:00Z,30789,75.168201
76.17,76.7,75.07,11298,75.19,2017-01-20T14:00:00Z,2552012,75.982385
76.6,76.6,75.86,10667,76.15,2017-01-20T15:00:00Z,1425798,76.208967
76.68,76.91,76.47,6884,76.59,2017-01-20T16:00:00Z,995612,76.707962
76.15,76.7,76.05,6110,76.7,2017-01-20T17:00:00Z,680474,76.351115
76.05,76.36,76.03,4798,76.1202,2017-01-20T18:00:00Z,530431,76.178524
75.9161,76.1,75.7363,5712,76.05,2017-01-20T19:00:00Z,635547,75.916749
76.19,76.24,75.91,11779,75.9102,2017-01-20T20:00:00Z,1400454,76.091358
76.2,76.2,76.2,21,76.2,2017-01-20T21:00:00Z,1060763,76.2
76.2,76.2,76.2,2,76.2,2017-01-20T22:00:00Z,6500,76.2
76.4,76.48,75.78,3462,75.78,2017-01-23T14:00:00Z,638816,76.290845
75.8498,76.44,75.79,5711,76.4,2017-01-23T15:00:00Z,664741,76.085549
75.88,76.07,75.84,4707,75.86,2017-01-23T16:00:00Z,527278,75.938956
75.805,75.9,75.73,3361,75.89,2017-01-23T17:00:00Z,334004,75.817915
75.865,76.025,75.751,4124,75.8034,2017-01-23T18:00:00Z,436118,75.856663
75.935,75.96,75.73,4227,75.87,2017-01-23T19:00:00Z,451975,75.843205
75.98,76.18,75.89,8210,75.933,2017-01-23T20:00:00Z,884058,76.048552
75.97,76.09,75.97,21,76.09,2017-01-23T21:00:00Z,818818,75.970015
75.97,75.97,75.97,1,75.97,2017-01-23T23:00:00Z,36000,75.97
76.13,76.14,75.8,14,75.8,2017-01-24T13:00:00Z,1369,76.039627
76.35,76.39,76.09,2005,76.26,2017-01-24T14:00:00Z,314796,76.206694
76.59,76.75,76.27,5947,76.36,2017-01-24T15:00:00Z,628276,76.592555
77.09,77.18,76.57,4671,76.6,2017-01-24T16:00:00Z,655404,76.956637
77.29,77.34,77.04,3363,77.09,2017-01-24T17:00:00Z,360226,77.191307
77.5701,77.62,77.25,4017,77.28,2017-01-24T18:00:00Z,486742,77.433614
77.56,77.66,77.52,3812,77.575,2017-01-24T19:00:00Z,434417,77.586266
77.43,77.6,77.35,7545,77.56,2017-01-24T20:00:00Z,815887,77.435725
77.43,77.43,77.43,19,77.43,2017-01-24T21:00:00Z,598242,77.43
77.67,77.67,77.5,7,77.5,2017-01-24T23:00:00Z,928,77.557931
77.65,77.65,77.46,3,77.47,2017-01-25T00:00:00Z,450,77.546667
77.74,77.74,77.72,3,77.72,2017-01-25T12:00:00Z,900,77.735556
77.88,77.9,77.77,10,77.77,2017-01-25T13:00:00Z,1993,77.840176
77.63,78.02,77.53,3545,78.0,2017-01-25T14:00:00Z,633152,77.815528
77.03,77.67,76.9,6851,77.64,2017-01-25T15:00:00Z,793297,77.223384
76.87,77.075,76.4,8174,77.03,2017-01-25T16:00:00Z,1082077,76.700235
76.88,77.06,76.7,5374,76.86,2017-01-25T17:00:00Z,725561,76.871732
76.89,76.99,76.78,3602,76.89,2017-01-25T18:00:00Z,361533,76.886249
76.84,76.9875,76.78,3902,76.905,2017-01-25T19:00:00Z,384519,76.891408
76.89,77.0,76.76,7315,76.84,2017-01-25T20:00:00Z,868490,76.906054
76.89,76.89,76.89,17,76.89,2017-01-25T21:00:00Z,782732,76.89
76.54,76.89,76.51,8,76.89,2017-01-25T22:00:00Z,2000,76.552675
77.0,77.18,76.99,7,77.18,2017-01-25T23:00:00Z,610,77.027705
76.99,76.99,76.91,6,76.94,2017-01-26T00:00:00Z,5850,76.981795
77.2,77.49,77.2,4,77.3,2017-01-26T13:00:00Z,650,77.406923
77.2,77.4,76.83,3066,77.4,2017-01-26T14:00:00Z,399869,76.975923
76.89,77.46,76.82,5274,77.19,2017-01-26T15:00:00Z,570543,77.189818
77.0,77.18,76.87,3264,76.89,2017-01-26T16:00:00Z,322591,77.019583
76.95,77.01,76.84,2278,77.0,2017-01-26T17:00:00Z,225392,76.920009
76.64,76.95,76.63,3717,76.95,2017-01-26T18:00:00Z,419697,76.743053
76.85,76.9,76.64,3625,76.64,2017-01-26T19:00:00Z,400972,76.813605
76.92,76.995,76.805,7484,76.85,2017-01-26T20:00:00Z,811104,76.910586
76.93,76.93,76.93,21,76.93,2017-01-26T21:00:00Z,344063,76.93
76.9,76.9,76.9,1,76.9,2017-01-27T00:00:00Z,100,76.9
76.564,77.51,76.54,2208,77.05,2017-01-27T14:00:00Z,309330,76.780175
76.71,76.83,76.55,4419,76.5598,2017-01-27T15:00:00Z,452520,76.683183
77.0,77.02,76.7,3803,76.71,2017-01-27T16:00:00Z,409294,76.85558
76.85,77.01,76.68,3194,77.0,2017-01-27T17:00:00Z,403150,76.795393
76.66,76.87,76.62,3822,76.85,2017-01-27T18:00:00Z,405837,76.771162
76.73,76.825,76.64,3904,76.66,2017-01-27T19:00:00Z,418832,76.74544
76.84,76.85,76.69,7233,76.73,2017-01-27T20:00:00Z,888930,76.780404
76.85,76.85,76.85,14,76.85,2017-01-27T21:00:00Z,348037,76.85
76.95,76.95,76.95,6,76.95,2017-01-27T22:00:00Z,1000,76.95
77.06,77.06,77.04,14,77.04,2017-01-30T09:00:00Z,1255,77.04588
77.19,77.4,77.19,28,77.4,2017-01-30T11:00:00Z,4117,77.272589
76.77,76.77,76.77,2,76.77,2017-01-30T13:00:00Z,280,76.778571
76.87,77.27,76.6101,4518,76.8,2017-01-30T14:00:00Z,656796,76.969967
76.7,76.88,76.54,7104,76.87,2017-01-30T15:00:00Z,796370,76.695349
76.87,76.95,76.66,5316,76.69,2017-01-30T16:00:00Z,680199,76.784336
76.92,76.95,76.79,3998,76.869,2017-01-30T17:00:00Z,688750,76.85607
76.97,77.09,76.91,3486,76.93,2017-01-30T18:00:00Z,569929,77.000098
77.23,77.2493,76.935,4264,76.98,2017-01-30T19:00:00Z,537727,77.095644
77.27,77.32,77.01,8508,77.225,2017-01-30T20:00:00Z,1108048,77.159184
77.27,77.28,77.27,23,77.28,2017-01-30T21:00:00Z,503187,77.27998
77.28,77.28,77.28,1,77.28,2017-01-30T22:00:00Z,248,77.28
77.28,77.28,77.28,1,77.28,2017-01-30T23:00:00Z,100,77.28
77.27,77.27,77.0,8,77.08,2017-01-31T13:00:00Z,515,77.077475
76.6,77.25,76.58,2298,76.86,2017-01-31T14:00:00Z,410049,76.863049
76.48,76.62,76.2,6687,76.59,2017-01-31T15:00:00Z,803665,76.398464
76.034,76.5664,76.0,4010,76.475,2017-01-31T16:00:00Z,493384,76.312843
76.1299,76.25,76.035,3450,76.04,2017-01-31T17:00:00Z,381991,76.151038
76.02,76.19,75.97,3978,76.13,2017-01-31T18:00:00Z,423212,76.08107
76.175,76.2,75.97,4502,76.02,2017-01-31T19:00:00Z,497847,76.059785
76.38,76.4,76.15,9331,76.18,2017-01-31T20:00:00Z,1044721,76.277256
76.38,76.3815,76.38,24,76.38,2017-01-31T21:00:00Z,2151565,76.379674
76.6,76.6,76.6,4,76.6,2017-01-31T23:00:00Z,526,76.6
76.77,76.77,76.61,3,76.61,2017-02-01T13:00:00Z,400,76.73
76.91,77.44,76.75,2406,76.75,2017-02-01T14:00:00Z,377904,77.123864
76.79,77.13,76.62,6203,76.94,2017-02-01T15:00:00Z,804297,76.944963
77.145,77.19,76.8,5261,76.805,2017-02-01T16:00:00Z,604875,77.00459
77.03,77.2,76.96,2675,77.15,2017-02-01T17:00:00Z,284098,77.10113
76.77,77.1248,76.76,3161,77.02,2017-02-01T18:00:00Z,284599,76.939647
76.81,77.04,76.58,5479,76.77,2017-02-01T19:00:00Z,520827,76.832572
76.76,76.955,76.7,7787,76.81,2017-02-01T20:00:00Z,843962,76.825013
76.76,76.76,76.76,15,76.76,2017-02-01T21:00:00Z,466424,76.76
76.76,76.76,76.76,1,76.76,2017-02-01T22:00:00Z,3898,76.76
76.48,76.52,76.06,2610,76.23,2017-02-02T14:00:00Z,373486,76.29033
76.78,76.79,76.43,4211,76.48,2017-02-02T15:00:00Z,434422,76.561678
