c,h,l,n,o,t,v,vw
155.68,156.98,155.68,5,155.68,2017-01-03T13:00:00Z,2842,155.800338
155.77,157.14,155.75,3410,156.8,2017-01-03T14:00:00Z,646752,156.164928
155.37,156.22,155.2283,5293,155.77,2017-01-03T15:00:00Z,602428,155.855094
156.2094,156.23,155.21,3905,155.3959,2017-01-03T16:00:00Z,458628,155.891549
156.475,156.54,156.09,2908,156.25,2017-01-03T17:00:00Z,289774,156.309915
156.49,156.56,156.16,2585,156.5042,2017-01-03T18:00:00Z,226151,156.39797
156.45,156.56,156.245,3518,156.4899,2017-01-03T19:00:00Z,337851,156.427488
156.93,156.99,156.45,7167,156.45,2017-01-03T20:00:00Z,638338,156.692983
156.71,156.97,156.1607,16,156.97,2017-01-03T21:00:00Z,535590,156.905644
156.97,156.97,156.43,7,156.43,2017-01-03T22:00:00Z,8800,156.842205
156.97,156.97,156.97,1,156.97,2017-01-04T00:00:00Z,159,156.97
158.48,159.2299,157.2,2848,157.2,2017-01-04T14:00:00Z,554781,158.464203
157.98,158.87,157.96,4719,158.447,2017-01-04T15:00:00Z,523944,158.369213
158.03,158.32,157.855,3828,157.97,2017-01-04T16:00:00Z,396589,158.038896
158.7,158.74,158.0,2419,158.06,2017-01-04T17:00:00Z,205996,158.437644
158.22,158.7,158.14,2516,158.7,2017-01-04T18:00:00Z,243606,158.378129
158.6,158.84,158.15,3917,158.1986,2017-01-04T19:00:00Z,339923,158.517845
158.61,158.68,158.29,7347,158.615,2017-01-04T20:00:00Z,623883,158.542182
158.62,158.62,158.3352,15,158.62,2017-01-04T21:00:00Z,731458,158.619575
158.45,158.45,158.45,4,158.45,2017-01-05T13:00:00Z,400,158.45
159.25,159.49,158.21,2187,158.88,2017-01-05T14:00:00Z,280285,158.819381
159.07,159.7,159.01,4322,159.26,2017-01-05T15:00:00Z,425363,159.270487
157.54,159.34,157.401,4831,159.07,2017-01-05T16:00:00Z,481355,158.18551
158.42,158.43,157.43,3427,157.55,2017-01-05T17:00:00Z,319068,157.969394
158.52,158.64,158.29,2492,158.42,2017-01-05T18:00:00Z,236006,158.481978
158.5822,158.71,158.35,2630,158.5572,2017-01-05T19:00:00Z,219718,158.538545
158.72,158.8,158.57,5504,158.57,2017-01-05T20:00:00Z,499176,158.676379
158.89,158.89,158.5056,19,158.71,2017-01-05T21:00:00Z,632655,158.70995
158.89,158.89,158.88,9,158.88,2017-01-05T23:00:00Z,1300,158.889231
159.37,159.6,159.37,2,159.6,2017-01-06T00:00:00Z,230,159.47
158.9,158.9,158.9,1,158.9,2017-01-06T09:00:00Z,180,158.9
158.5151,159.35,157.89,2031,159.2,2017-01-06T14:00:00Z,325525,158.676528
158.7,158.92,158.26,2868,158.49,2017-01-06T15:00:00Z,325517,158.560338
159.27,159.45,158.69,2805,158.741,2017-01-06T16:00:00Z,251853,159.013292
159.44,159.5194,158.98,1995,159.24,2017-01-06T17:00:00Z,185694,159.344093
159.04,159.66,159.03,2793,159.44,2017-01-06T18:00:00Z,294144,159.2929
158.831,159.23,158.77,2984,159.07,2017-01-06T19:00:00Z,358792,158.93267
159.11,159.23,158.8,5983,158.83,2017-01-06T20:00:00Z,451101,159.031065
159.1,159.1,158.868,12,159.1,2017-01-06T21:00:00Z,410338,159.099821
158.76,158.76,158.76,1,158.76,2017-01-06T22:00:00Z,140,158.76
159.99,159.99,159.99,1,159.99,2017-01-09T11:00:00Z,290,159.99
159.05,159.05,159.05,1,159.05,2017-01-09T13:00:00Z,100,159.05
158.69,159.24,158.17,2128,159.0,2017-01-09T14:00:00Z,307242,158.707157
158.53,158.685,158.17,2741,158.66,2017-01-09T15:00:00Z,260416,158.387301
158.68,158.8099,158.4101,2194,158.59,2017-01-09T16:00:00Z,198668,158.595882
158.88,158.95,158.52,1729,158.67,2017-01-09T17:00:00Z,151577,158.76603
158.6,158.8999,158.46,1767,158.88,2017-01-09T18:00:00Z,141964,158.624471
158.43,158.68,158.43,2574,158.61,2017-01-09T19:00:00Z,287365,158.490874
