c,h,l,n,o,t,v,vw
92.99,92.99,92.99,1,92.99,2017-01-03T10:00:00Z,100,92.99
92.74,93.8,92.74,8,93.25,2017-01-03T13:00:00Z,11218,92.890129
94.75,94.97,93.44,4945,93.44,2017-01-03T14:00:00Z,890448,94.520815
94.05,95.19,94.05,6523,94.7323,2017-01-03T15:00:00Z,1031874,94.760254
93.665,94.16,93.34,6480,94.0481,2017-01-03T16:00:00Z,865091,93.85625
93.46,93.74,93.37,3513,93.675,2017-01-03T17:00:00Z,393243,93.561423
93.55,93.61,93.25,2565,93.46,2017-01-03T18:00:00Z,276956,93.443897
93.56,93.68,93.51,3066,93.55,2017-01-03T19:00:00Z,299707,93.584512
93.98,94.03,93.56,9368,93.56,2017-01-03T20:00:00Z,987385,93.809275
93.99,93.99,93.97,14,93.98,2017-01-03T21:00:00Z,737968,93.989996
93.83,93.84,93.8,11,93.8,2017-01-03T23:00:00Z,2075,93.809952
93.96,93.96,93.96,3,93.96,2017-01-04T00:00:00Z,266,93.963346
93.75,93.75,93.75,1,93.75,2017-01-04T13:00:00Z,110,93.75
93.76,94.5,93.6,3407,94.46,2017-01-04T14:00:00Z,631547,93.988145
93.75,93.983,93.525,4862,93.77,2017-01-04T15:00:00Z,582691,93.742719
93.88,94.05,93.69,3672,93.74,2017-01-04T16:00:00Z,424685,93.869144
93.96,93.98,93.721,3020,93.89,2017-01-04T17:00:00Z,354119,93.870015
93.695,93.96,93.615,2238,93.96,2017-01-04T18:00:00Z,230126,93.745011
93.5,93.78,93.47,3715,93.695,2017-01-04T19:00:00Z,410601,93.6518
93.58,93.62,93.43,7228,93.49,2017-01-04T20:00:00Z,918488,93.552986
93.7989,93.7989,93.57,13,93.57,2017-01-04T21:00:00Z,590188,93.570852
93.57,93.57,93.57,3,93.57,2017-01-05T00:00:00Z,500,93.57
94.58,94.58,94.58,1,94.58,2017-01-05T10:00:00Z,500,94.58
93.43,93.75,93.2,5,93.2,2017-01-05T13:00:00Z,3575,93.274266
94.1528,94.16,93.11,4740,93.55,2017-01-05T14:00:00Z,761995,93.732531
93.93,94.46,93.85,6505,94.17,2017-01-05T15:00:00Z,923635,94.160508
92.56,93.96,92.42,7241,93.94,2017-01-05T16:00:00Z,931342,93.112424
92.96,93.08,92.51,3340,92.579,2017-01-05T17:00:00Z,389385,92.869082
92.88,93.18,92.855,3186,92.96,2017-01-05T18:00:00Z,288808,93.012951
92.93,93.06,92.84,3411,92.88,2017-01-05T19:00:00Z,354141,92.955732
92.9801,93.09,92.805,7744,92.93,2017-01-05T20:00:00Z,870585,92.930414
93.0,93.0,93.0,14,93.0,2017-01-05T21:00:00Z,317785,93.0
93.23,93.48,92.41,2193,93.2,2017-01-06T14:00:00Z,364723,92.990034
93.32,93.6,93.0,4148,93.19,2017-01-06T15:00:00Z,507390,93.376537
93.2401,93.44,93.075,5751,93.33,2017-01-06T16:00:00Z,825005,93.245905
92.97,93.35,92.95,3209,93.26,2017-01-06T17:00:00Z,344830,93.227073
93.105,93.14,92.88,3017,92.97,2017-01-06T18:00:00Z,299313,93.020751
93.05,93.17,92.92,4194,93.11,2017-01-06T19:00:00Z,453386,93.06248
93.05,93.165,92.95,7921,93.04,2017-01-06T20:00:00Z,924188,93.065118
93.04,93.04,93.04,11,93.04,2017-01-06T21:00:00Z,465292,93.04
93.04,93.04,93.04,6,93.04,2017-01-09T11:00:00Z,558,93.04
92.62,92.62,92.62,5,92.62,2017-01-09T12:00:00Z,500,92.62
92.72,92.72,92.62,13,92.62,2017-01-09T13:00:00Z,2405,92.626237
93.17,93.49,92.62,3481,92.62,2017-01-09T14:00:00Z,619654,93.039022
93.25,93.26,92.67,3220,93.22,2017-01-09T15:00:00Z,386256,92.9348
93.03,93.24,92.825,2219,93.24,2017-01-09T16:00:00Z,213983,92.99087
92.83,93.07,92.7,2488,93.03,2017-01-09T17:00:00Z,343861,92.829837
92.58,92.84,92.46,2111,92.83,2017-01-09T18:00:00Z,247009,92.59956
92.38,92.6,92.3,2630,92.59,2017-01-09T19:00:00Z,313579,92.438421
92.37,92.46,92.2,7214,92.38,2017-01-09T20:00:00Z,726959,92.320615
92.3,92.38,92.3,14,92.38,2017-01-09T21:00:00Z,464311,92.369945
92.31,92.33,92.23,5,92.33,2017-01-09T22:00:00Z,1626,92.298303
92.35,92.35,92.35,1,92.35,2017-01-09T23:00:00Z,100,92.35
92.61,92.61,92.61,3,92.61,2017-01-10T12:00:00Z,770,92.623636
92.99,93.0,92.99,6,93.0,2017-01-10T13:00:00Z,931,92.980999
93.55,93.65,92.77,3273,92.88,2017-01-10T14:00:00Z,726814,93.26053
93.81,93.93,93.5274,4108,93.55,2017-01-10T15:00:00Z,516658,93.732237
94.17,94.255,93.77,3061,93.81,2017-01-10T16:00:00Z,394611,94.00506
94.31,94.38,94.144,2478,94.16,2017-01-10T17:00:00Z,290940,94.267376
93.99,94.44,93.96,3218,94.3,2017-01-10T18:00:00Z,333807,94.266822
93.8801,94.06,93.82,2951,93.99,2017-01-10T19:00:00Z,294842,93.923479
93.85,94.22,93.82,7174,93.89,2017-01-10T20:00:00Z,796751,93.996964
93.83,93.83,93.83,16,93.83,2017-01-10T21:00:00Z,1331189,93.83
93.8,94.06,93.8,3,94.06,2017-01-10T22:00:00Z,453,93.98883
93.85,94.0,93.85,2,94.0,2017-01-10T23:00:00Z,400,93.925
93.85,93.85,93.85,1,93.85,2017-01-11T00:00:00Z,100,93.85
94.2,94.5,94.2,12,94.5,2017-01-11T12:00:00Z,1500,94.4
94.01,94.5,94.01,5,94.5,2017-01-11T13:00:00Z,545,94.11789
94.04,94.62,93.39,2639,94.25,2017-01-11T14:00:00Z,635366,94.094801
93.96,94.2,93.72,3709,94.0,2017-01-11T15:00:00Z,395656,93.966607
94.11,94.37,93.65,4441,93.95,2017-01-11T16:00:00Z,476196,94.010046
94.137,94.3,93.9401,2849,94.13,2017-01-11T17:00:00Z,275057,94.097426
94.18,94.2,93.76,3143,94.15,2017-01-11T18:00:00Z,331807,94.03839
94.1389,94.33,94.08,2418,94.17,2017-01-11T19:00:00Z,239908,94.195068
94.64,94.75,94.01,8579,94.135,2017-01-11T20:00:00Z,1218821,94.397095
94.65,94.7,94.6,28,94.65,2017-01-11T21:00:00Z,442117,94.62827
94.75,94.75,94.5,15,94.5,2017-01-11T22:00:00Z,2199,94.607122
94.53,94.54,94.53,4,94.54,2017-01-12T00:00:00Z,1800,94.532778
94.39,94.39,94.39,1,94.39,2017-01-12T13:00:00Z,100,94.39
93.68,94.37,93.45,2706,94.37,2017-01-12T14:00:00Z,421574,93.863509
93.04,93.7399,93.02,4989,93.665,2017-01-12T15:00:00Z,681440,93.364667
93.21,93.5,92.78,4815,93.01,2017-01-12T16:00:00Z,524992,93.187236
93.52,93.76,93.17,2475,93.195,2017-01-12T17:00:00Z,285131,93.522646
93.77,93.791,93.52,1792,93.52,2017-01-12T18:00:00Z,169559,93.682731
93.99,93.99,93.6,2601,93.77,2017-01-12T19:00:00Z,282406,93.773881
93.98,94.1,93.75,5167,93.99,2017-01-12T20:00:00Z,501436,93.933917
94.0,94.0,93.99,16,93.99,2017-01-12T21:00:00Z,427510,93.990002
94.0,94.05,94.0,3,94.05,2017-01-13T12:00:00Z,500,94.02
94.19,94.19,94.19,2,94.19,2017-01-13T13:00:00Z,111,94.19
93.74,94.33,93.68,2292,94.16,2017-01-13T14:00:00Z,352994,93.964838
94.2,94.39,93.74,3444,93.75,2017-01-13T15:00:00Z,427960,94.152725
94.349,94.43,94.1,2664,94.21,2017-01-13T16:00:00Z,301285,94.295964
94.32,94.5,94.22,2502,94.34,2017-01-13T17:00:00Z,287120,94.340644
94.58,94.6,94.2739,2665,94.31,2017-01-13T18:00:00Z,316071,94.459472
94.375,94.625,94.3,2958,94.58,2017-01-13T19:00:00Z,335643,94.466647
94.48,94.5,94.26,3915,94.36,2017-01-13T20:00:00Z,427756,94.398834
94.48,94.48,94.48,12,94.48,2017-01-13T21:00:00Z,290706,94.480005
94.38,94.38,94.34,11,94.35,2017-01-13T22:00:00Z,1675,94.36006
94.0,94.0,94.0,2,94.0,2017-01-17T10:00:00Z,500,94.0
94.49,94.49,94.49,2,94.49,2017-01-17T12:00:00Z,199,94.49
94.5,94.75,94.5,7,94.75,2017-01-17T13:00:00Z,1400,94.57025
93.73,94.44,93.64,3218,94.3,2017-01-17T14:00:00Z,633842,93.942479
94.24,94.28,93.7,3598,93.76,2017-01-17T15:00:00Z,424731,94.011538
