c,h,l,n,o,t,v,vw
68.46,69.0,68.46,5,69.0,2017-01-03T13:00:00Z,4137,68.477051
70.39,70.6,69.0,5287,69.08,2017-01-03T14:00:00Z,1536758,70.025521
70.34,70.86,70.15,6834,70.3705,2017-01-03T15:00:00Z,1072011,70.448677
70.14,70.47,69.9,4639,70.346,2017-01-03T16:00:00Z,707628,70.212012
70.1,70.2699,69.97,3619,70.15,2017-01-03T17:00:00Z,478447,70.130585
70.24,70.66,70.07,4840,70.11,2017-01-03T18:00:00Z,665378,70.379893
70.31,70.4,69.91,5319,70.24,2017-01-03T19:00:00Z,823978,70.192828
70.56,70.66,70.22,13338,70.3,2017-01-03T20:00:00Z,2165921,70.490903
70.56,70.6,70.52,20,70.52,2017-01-03T21:00:00Z,1431429,70.540019
70.55,70.55,70.55,2,70.55,2017-01-03T23:00:00Z,430,70.55
70.85,70.85,70.85,1,70.85,2017-01-04T13:00:00Z,100,70.85
71.65,71.77,70.76,5981,70.85,2017-01-04T14:00:00Z,1385725,71.374047
71.855,72.1775,71.6,9122,71.645,2017-01-04T15:00:00Z,1238354,71.88085
71.86,71.98,71.45,5746,71.87,2017-01-04T16:00:00Z,677060,71.747802
72.48,72.58,71.82,9309,71.86,2017-01-04T17:00:00Z,1218107,72.202447
72.74,72.87,72.3,7579,72.49,2017-01-04T18:00:00Z,1001424,72.583751
72.82,72.9398,72.6,8796,72.74,2017-01-04T19:00:00Z,1051346,72.769257
72.84,73.065,72.69,15853,72.825,2017-01-04T20:00:00Z,2294473,72.890287
72.8,72.8,72.8,11,72.8,2017-01-04T21:00:00Z,803083,72.8
72.5,73.0,72.5,3,73.0,2017-01-04T22:00:00Z,300,72.83
72.82,72.99,72.82,19,72.92,2017-01-05T00:00:00Z,1991,72.951562
72.98,73.0,72.82,8,73.0,2017-01-05T13:00:00Z,1060,72.909925
73.42,73.46,72.53,3192,72.8,2017-01-05T14:00:00Z,496534,73.103038
73.42,73.66,73.23,6262,73.46,2017-01-05T15:00:00Z,729963,73.400705
73.28,73.45,73.115,5558,73.42,2017-01-05T16:00:00Z,680800,73.299626
72.97,73.39,72.95,3970,73.28,2017-01-05T17:00:00Z,512837,73.164838
72.82,73.06,72.8,2831,72.97,2017-01-05T18:00:00Z,293391,72.952859
72.99,73.085,72.8,4154,72.82,2017-01-05T19:00:00Z,610842,72.922522
72.79,73.175,72.79,7690,72.99,2017-01-05T20:00:00Z,1000340,72.96166
72.79,72.79,72.79,18,72.79,2017-01-05T21:00:00Z,689441,72.79
72.7,72.79,72.7,4,72.79,2017-01-05T22:00:00Z,1000,72.76392
72.88,72.9504,72.55,1603,72.89,2017-01-06T14:00:00Z,189920,72.794413
73.0,73.07,72.85,3265,72.88,2017-01-06T15:00:00Z,525870,72.971543
73.21,73.31,72.92,3612,73.0,2017-01-06T16:00:00Z,454615,73.141829
73.66,73.66,73.18,3214,73.2,2017-01-06T17:00:00Z,430163,73.382864
73.56,73.75,73.53,3428,73.65,2017-01-06T18:00:00Z,418121,73.643209
73.85,74.13,73.56,6358,73.56,2017-01-06T19:00:00Z,1003426,73.866002
73.83,74.03,73.71,9250,73.84,2017-01-06T20:00:00Z,1183055,73.867285
73.8,73.8,73.8,12,73.8,2017-01-06T21:00:00Z,471550,73.788086
74.2303,74.445,73.51,4650,74.18,2017-01-09T14:00:00Z,783223,74.045007
73.72,74.23,73.63,6284,74.23,2017-01-09T15:00:00Z,775070,73.878292
73.7799,73.82,73.57,3832,73.72,2017-01-09T16:00:00Z,442456,73.692241
73.77,73.89,73.68,2499,73.77,2017-01-09T17:00:00Z,272095,73.786287
73.6828,73.86,73.66,2353,73.77,2017-01-09T18:00:00Z,294170,73.756529
73.82,73.85,73.64,3232,73.685,2017-01-09T19:00:00Z,304639,73.739001
73.97,74.16,73.8,7473,73.815,2017-01-09T20:00:00Z,823805,74.042878
73.96,73.96,73.96,17,73.96,2017-01-09T21:00:00Z,421960,73.96
74.29,74.29,74.29,1,74.29,2017-01-09T22:00:00Z,100,74.29
73.96,73.96,73.96,5,73.96,2017-01-09T23:00:00Z,615,73.984634
73.775,74.16,73.44,1778,73.96,2017-01-10T14:00:00Z,347888,73.823389
73.69,73.86,73.45,3068,73.75,2017-01-10T15:00:00Z,387602,73.694011
73.9257,74.02,73.65,2896,73.69,2017-01-10T16:00:00Z,309189,73.879855
73.86,74.06,73.78,2338,73.93,2017-01-10T17:00:00Z,263980,73.907328
73.71,73.93,73.68,1985,73.86,2017-01-10T18:00:00Z,216191,73.840044
73.94,74.02,73.52,3976,73.7,2017-01-10T19:00:00Z,496260,73.828756
74.0,74.3,73.93,8458,73.95,2017-01-10T20:00:00Z,1130475,74.100543
74.15,74.15,73.98,16,73.98,2017-01-10T21:00:00Z,1469072,73.980098
74.28,74.28,74.15,6,74.15,2017-01-10T22:00:00Z,650,74.221077
74.3,74.3,74.28,5,74.28,2017-01-10T23:00:00Z,602,74.285881
74.28,74.39,74.27,3,74.39,2017-01-11T00:00:00Z,1150,74.326522
73.85,73.9,73.85,2,73.9,2017-01-11T11:00:00Z,600,73.858333
74.05,74.05,73.98,2,73.98,2017-01-11T13:00:00Z,200,74.015
74.87,75.36,74.06,4781,74.26,2017-01-11T14:00:00Z,1039827,74.908801
75.67,75.76,74.83,9275,74.88,2017-01-11T15:00:00Z,1331402,75.292169
76.04,76.08,75.19,9660,75.67,2017-01-11T16:00:00Z,1460900,75.673124
75.7,76.05,75.53,6749,76.045,2017-01-11T17:00:00Z,856778,75.737152
75.7,75.78,75.23,5635,75.7,2017-01-11T18:00:00Z,709236,75.580139
75.8499,76.05,75.62,4934,75.71,2017-01-11T19:00:00Z,585225,75.853899
75.76,75.97,75.71,10183,75.84,2017-01-11T20:00:00Z,1279470,75.807687
75.78,75.78,75.7666,21,75.7666,2017-01-11T21:00:00Z,595711,75.767169
75.68,75.78,75.68,8,75.78,2017-01-11T22:00:00Z,1900,75.744211
75.72,75.72,75.72,2,75.72,2017-01-12T00:00:00Z,250,75.72
75.1,75.6,75.0,9,75.6,2017-01-12T13:00:00Z,1301,75.093966
74.4,75.25,74.4,3890,75.17,2017-01-12T14:00:00Z,774101,74.966463
74.45,74.57,74.0,6051,74.42,2017-01-12T15:00:00Z,795995,74.297694
74.59,74.84,74.36,3842,74.44,2017-01-12T16:00:00Z,473594,74.603102
74.91,74.94,74.45,3072,74.61,2017-01-12T17:00:00Z,346802,74.703166
75.19,75.75,74.89,4736,74.91,2017-01-12T18:00:00Z,656445,75.114967
