c,h,l,n,o,t,v,vw
30.52,30.52,30.5,3,30.5,2017-01-03T09:00:00Z,696,30.504253
30.5,30.52,30.48,4,30.52,2017-01-03T12:00:00Z,905,30.499801
30.44,30.48,30.25,12,30.48,2017-01-03T13:00:00Z,2542,30.42026
30.29,30.56,30.21,8147,30.42,2017-01-03T14:00:00Z,3213093,30.352161
30.3229,30.44,30.27,13306,30.295,2017-01-03T15:00:00Z,2837652,30.354169
30.3237,30.41,30.26,12719,30.315,2017-01-03T16:00:00Z,2803407,30.326088
30.335,30.36,30.3,9393,30.325,2017-01-03T17:00:00Z,2197212,30.32794
30.28,30.37,30.28,7735,30.335,2017-01-03T18:00:00Z,1892818,30.331515
30.28,30.32,30.25,8448,30.28,2017-01-03T19:00:00Z,1669766,30.278335
30.525,30.54,30.28,22530,30.28,2017-01-03T20:00:00Z,6106965,30.438811
30.3783,30.54,30.3783,29,30.54,2017-01-03T21:00:00Z,3865953,30.539969
30.6,30.6,30.53,5,30.53,2017-01-03T22:00:00Z,992,30.567722
30.55,30.55,30.55,5,30.55,2017-01-03T23:00:00Z,1098,30.55
30.55,30.57,30.55,2,30.57,2017-01-04T00:00:00Z,1319,30.562418
30.39,30.39,30.39,1,30.39,2017-01-04T12:00:00Z,819,30.39
30.35,30.39,30.35,8,30.39,2017-01-04T13:00:00Z,3850,30.35961
30.225,30.42,30.02,12148,30.38,2017-01-04T14:00:00Z,4072329,30.24446
30.38,30.4,30.2,10991,30.22,2017-01-04T15:00:00Z,2517122,30.293081
30.25,30.4,30.24,13006,30.3701,2017-01-04T16:00:00Z,3177173,30.314186
30.23,30.28,30.2043,7582,30.25,2017-01-04T17:00:00Z,1618080,30.234562
30.145,30.24,30.13,9415,30.23,2017-01-04T18:00:00Z,2032300,30.190177
30.13,30.19,30.1,12949,30.1435,2017-01-04T19:00:00Z,3284022,30.138424
30.09,30.16,30.065,16648,30.13,2017-01-04T20:00:00Z,4163547,30.118057
30.13,30.2022,30.09,44,30.1,2017-01-04T21:00:00Z,3493167,30.10021
30.09,30.09,30.09,1,30.09,2017-01-04T22:00:00Z,100,30.09
30.14,30.14,30.1,2,30.1,2017-01-04T23:00:00Z,26000,30.100769
30.09,30.1,30.09,3,30.09,2017-01-05T00:00:00Z,421,30.092375
30.08,30.08,30.03,7,30.03,2017-01-05T13:00:00Z,2890,30.073599
30.32,30.355,30.07,8995,30.1,2017-01-05T14:00:00Z,3284571,30.238795
30.2,30.34,30.16,9614,30.3243,2017-01-05T15:00:00Z,2050976,30.262772
30.2228,30.23,30.095,11733,30.2,2017-01-05T16:00:00Z,3377706,30.151972
30.23,30.25,30.16,8571,30.2201,2017-01-05T17:00:00Z,1865016,30.209136
30.215,30.26,30.21,7601,30.2366,2017-01-05T18:00:00Z,1566784,30.236009
30.15,30.24,30.15,7602,30.2153,2017-01-05T19:00:00Z,1507974,30.204236
30.18,30.21,30.14,12423,30.155,2017-01-05T20:00:00Z,3596726,30.179858
30.2,30.21,30.17,34,30.17,2017-01-05T21:00:00Z,2427774,30.170019
