c,h,l,n,o,t,v,vw
57.4,57.4,57.4,8,57.4,2017-01-03T13:00:00Z,2028,57.4
57.36,57.5,56.52,5835,57.4,2017-01-03T14:00:00Z,1379324,57.133698
57.51,57.93,57.355,8288,57.36,2017-01-03T15:00:00Z,1575064,57.685156
57.13,57.52,57.03,5966,57.52,2017-01-03T16:00:00Z,840397,57.228391
56.955,57.27,56.874,4418,57.13,2017-01-03T17:00:00Z,630233,57.081977
57.2053,57.21,56.8401,4259,56.959,2017-01-03T18:00:00Z,673643,57.01303
57.385,57.45,57.2,4950,57.205,2017-01-03T19:00:00Z,601516,57.31029
57.57,57.6,57.33,10283,57.39,2017-01-03T20:00:00Z,1096425,57.488859
57.6,57.6,57.6,12,57.6,2017-01-03T21:00:00Z,845145,57.6
57.77,58.0,57.73,2139,57.88,2017-01-04T14:00:00Z,449872,57.866188
57.85,57.93,57.7,4697,57.78,2017-01-04T15:00:00Z,667599,57.803336
58.015,58.05,57.8133,4257,57.86,2017-01-04T16:00:00Z,529246,57.915826
58.035,58.1,57.97,3312,58.015,2017-01-04T17:00:00Z,734098,58.014154
58.04,58.06,57.9,3105,58.037,2017-01-04T18:00:00Z,686771,57.989563
58.19,58.265,58.01,3939,58.0435,2017-01-04T19:00:00Z,585504,58.146004
58.07,58.26,58.05,7402,58.19,2017-01-04T20:00:00Z,982547,58.178062
57.9567,58.07,57.9567,16,58.07,2017-01-04T21:00:00Z,698641,58.059728
58.06,58.06,58.06,1,58.06,2017-01-05T13:00:00Z,100,58.06
57.77,58.19,57.77,2930,58.06,2017-01-05T14:00:00Z,564454,58.009258
57.9,57.94,57.545,4624,57.79,2017-01-05T15:00:00Z,702499,57.719471
57.55,57.9,57.48,3829,57.9,2017-01-05T16:00:00Z,506291,57.605913
57.57,57.64,57.42,2893,57.55,2017-01-05T17:00:00Z,329770,57.526023
57.53,57.72,57.49,3339,57.57,2017-01-05T18:00:00Z,385131,57.586851
57.687,57.785,57.53,4786,57.53,2017-01-05T19:00:00Z,609780,57.694963
57.8,57.83,57.62,6539,57.68,2017-01-05T20:00:00Z,816435,57.71746
57.8,57.8,57.8,16,57.8,2017-01-05T21:00:00Z,517206,57.8
57.8,57.8,57.8,1,57.8,2017-01-05T23:00:00Z,200,57.8
57.47,57.89,57.39,2102,57.89,2017-01-06T14:00:00Z,248718,57.57392
57.1756,57.57,57.15,4929,57.46,2017-01-06T15:00:00Z,630707,57.305383
57.331,57.4,57.11,5629,57.175,2017-01-06T16:00:00Z,700214,57.253653
57.305,57.365,57.26,4736,57.325,2017-01-06T17:00:00Z,837822,57.31896
57.36,57.4,57.25,3907,57.31,2017-01-06T18:00:00Z,672914,57.340707
57.54,57.615,57.3351,4219,57.35,2017-01-06T19:00:00Z,741915,57.466025
57.45,57.583,57.42,6917,57.535,2017-01-06T20:00:00Z,867301,57.486398
57.44,57.5,57.44,12,57.5,2017-01-06T21:00:00Z,528479,57.440114
57.35,57.37,57.35,3,57.37,2017-01-09T13:00:00Z,1900,57.353158
58.61,58.63,57.39,10603,57.4,2017-01-09T14:00:00Z,1609652,57.998976
58.86,58.889,58.48,11713,58.6,2017-01-09T15:00:00Z,1488954,58.664916
58.55,59.08,58.47,10536,58.87,2017-01-09T16:00:00Z,1462669,58.812746
58.1,58.6799,58.02,10993,58.56,2017-01-09T17:00:00Z,1499299,58.344911
58.11,58.24,57.955,7102,58.1,2017-01-09T18:00:00Z,864873,58.12141
57.87,58.105,57.78,7679,58.1,2017-01-09T19:00:00Z,1882254,57.899105
57.8,57.92,57.76,11986,57.86,2017-01-09T20:00:00Z,1592073,57.831715
57.79,57.79,57.79,14,57.79,2017-01-09T21:00:00Z,1364443,57.79
57.69,57.8,57.53,3428,57.7,2017-01-10T14:00:00Z,489661,57.633908
57.62,57.83,57.43,7321,57.69,2017-01-10T15:00:00Z,984106,57.552069
57.6457,57.81,57.57,4755,57.62,2017-01-10T16:00:00Z,558246,57.677618
57.33,57.645,57.27,6765,57.64,2017-01-10T17:00:00Z,939430,57.449517
57.2458,57.48,57.22,6064,57.32,2017-01-10T18:00:00Z,704028,57.354465
57.5057,57.52,57.16,4873,57.24,2017-01-10T19:00:00Z,524276,57.372214
57.67,57.73,57.4431,9888,57.5,2017-01-10T20:00:00Z,1278915,57.621854
57.67,57.67,57.67,12,57.67,2017-01-10T21:00:00Z,775986,57.67
58.2,58.2,58.2,2,58.2,2017-01-11T13:00:00Z,173,58.115607
57.82,57.96,57.43,4423,57.96,2017-01-11T14:00:00Z,879144,57.628624
57.64,57.83,57.54,7024,57.8,2017-01-11T15:00:00Z,1133426,57.639506
57.9,57.92,57.53,4334,57.6344,2017-01-11T16:00:00Z,636922,57.690905
57.83,58.0,57.7,3776,57.87,2017-01-11T17:00:00Z,423456,57.857262
57.928,57.97,57.705,5085,57.84,2017-01-11T18:00:00Z,581000,57.81741
58.085,58.24,57.9199,5856,57.93,2017-01-11T19:00:00Z,610512,58.094512
58.25,58.295,57.995,9548,58.085,2017-01-11T20:00:00Z,1172296,58.165293
58.25,58.26,58.25,15,58.26,2017-01-11T21:00:00Z,718634,58.259997
58.26,58.26,58.26,1,58.26,2017-01-11T23:00:00Z,689100,58.26
58.5,58.61,58.22,3537,58.27,2017-01-12T14:00:00Z,547483,58.354429
58.22,58.51,58.22,7404,58.5,2017-01-12T15:00:00Z,1535628,58.371947
58.22,58.24,58.1,5031,58.21,2017-01-12T16:00:00Z,759928,58.172641
58.22,58.287,58.17,4168,58.2242,2017-01-12T17:00:00Z,576893,58.221848
58.205,58.275,58.06,3917,58.22,2017-01-12T18:00:00Z,481868,58.198974
58.415,58.45,58.18,4850,58.2044,2017-01-12T19:00:00Z,569634,58.284275
58.295,58.425,58.255,8267,58.42,2017-01-12T20:00:00Z,1191334,58.325732
58.29,58.29,58.29,14,58.29,2017-01-12T21:00:00Z,612052,58.290007
58.115,58.33,58.01,2710,58.05,2017-01-13T14:00:00Z,427264,58.172432
58.04,58.26,57.81,5653,58.12,2017-01-13T15:00:00Z,1182766,58.00791
57.91,58.04,57.88,3700,58.04,2017-01-13T16:00:00Z,507438,57.943707
57.78,57.97,57.75,3955,57.92,2017-01-13T17:00:00Z,471042,57.85063
57.86,57.915,57.7265,3339,57.79,2017-01-13T18:00:00Z,492662,57.842148
57.965,57.99,57.845,3407,57.87,2017-01-13T19:00:00Z,996750,57.938138
57.81,57.97,57.76,6797,57.97,2017-01-13T20:00:00Z,1190521,57.888274
57.8,57.8,57.8,16,57.8,2017-01-13T21:00:00Z,957785,57.8
57.8,57.8,57.8,3,57.8,2017-01-17T13:00:00Z,300,57.8
57.05,57.52,57.0335,3960,57.5,2017-01-17T14:00:00Z,726374,57.32351
57.2199,57.27,56.97,6168,57.06,2017-01-17T15:00:00Z,799667,57.141656
57.16,57.22,57.01,5911,57.22,2017-01-17T16:00:00Z,690211,57.124266
57.25,57.41,57.145,4968,57.155,2017-01-17T17:00:00Z,504564,57.302972
57.3,57.3959,57.24,3843,57.25,2017-01-17T18:00:00Z,406983,57.313107
57.095,57.34,57.04,4973,57.305,2017-01-17T19:00:00Z,563385,57.158454
57.32,57.34,57.045,9728,57.095,2017-01-17T20:00:00Z,1219727,57.188931
57.33,57.33,57.29,17,57.29,2017-01-17T21:00:00Z,785775,57.329979
57.19,57.66,57.17,2125,57.36,2017-01-18T14:00:00Z,352237,57.337065
57.24,57.36,57.09,5396,57.2,2017-01-18T15:00:00Z,544509,57.179751
57.435,57.57,57.235,3232,57.235,2017-01-18T16:00:00Z,341138,57.455877
57.43,57.5,57.365,2075,57.43,2017-01-18T17:00:00Z,212618,57.432628
57.3399,57.44,57.305,2327,57.42,2017-01-18T18:00:00Z,301341,57.35394
57.63,57.64,57.335,3494,57.34,2017-01-18T19:00:00Z,398897,57.510962
57.71,57.71,57.5,8025,57.63,2017-01-18T20:00:00Z,1084381,57.610642
57.71,57.71,57.71,14,57.71,2017-01-18T21:00:00Z,1174678,57.71
57.7,57.7,57.7,1,57.7,2017-01-19T00:00:00Z,100,57.7
57.76,57.76,57.76,2,57.76,2017-01-19T09:00:00Z,250,57.768
57.71,58.0,57.71,1335,57.88,2017-01-19T14:00:00Z,196882,57.868911
57.4751,57.72,57.45,3276,57.72,2017-01-19T15:00:00Z,657199,57.575845
57.335,57.47,57.25,3232,57.47,2017-01-19T16:00:00Z,382702,57.331226
57.305,57.37,57.26,2241,57.34,2017-01-19T17:00:00Z,244892,57.320498
57.06,57.375,57.06,3340,57.31,2017-01-19T18:00:00Z,394808,57.230145
56.935,57.08,56.76,5400,57.07,2017-01-19T19:00:00Z,749328,56.896551
57.09,57.16,56.93,8929,56.935,2017-01-19T20:00:00Z,1203634,57.053877
57.09,57.09,57.09,13,57.09,2017-01-19T21:00:00Z,483754,57.09
57.3343,57.6,57.22,3085,57.22,2017-01-20T14:00:00Z,1575293,57.335547
57.61,57.61,57.2,5019,57.34,2017-01-20T15:00:00Z,924877,57.360754
57.2569,57.63,57.22,4614,57.61,2017-01-20T16:00:00Z,691344,57.422311
57.11,57.29,56.975,5507,57.26,2017-01-20T17:00:00Z,639058,57.133856
57.17,57.235,57.07,3131,57.11,2017-01-20T18:00:00Z,471842,57.157396
57.3639,57.38,57.16,4163,57.17,2017-01-20T19:00:00Z,472891,57.274427
57.38,57.485,57.28,10834,57.37,2017-01-20T20:00:00Z,1351503,57.365538
57.38,57.49,57.38,21,57.38,2017-01-20T21:00:00Z,1195898,57.380028
57.58,57.58,57.58,1,57.58,2017-01-23T13:00:00Z,100,57.58
57.38,57.67,57.38,2174,57.38,2017-01-23T14:00:00Z,336413,57.484773
57.3,57.41,57.11,4747,57.39,2017-01-23T15:00:00Z,586494,57.250585
57.13,57.32,57.085,4251,57.3,2017-01-23T16:00:00Z,548194,57.222902
57.08,57.17,57.01,3685,57.12,2017-01-23T17:00:00Z,381549,57.099452
57.1088,57.2043,57.03,4173,57.09,2017-01-23T18:00:00Z,476576,57.114749
57.01,57.12,56.95,5588,57.11,2017-01-23T19:00:00Z,735897,57.023559
57.13,57.175,56.85,11210,57.02,2017-01-23T20:00:00Z,1377838,57.045877
57.14,57.14,57.14,15,57.14,2017-01-23T21:00:00Z,808962,57.14
57.14,57.14,57.14,3,57.14,2017-01-24T00:00:00Z,275,57.14
58.29,58.47,57.35,5992,57.58,2017-01-24T14:00:00Z,1129474,57.926958
58.75,58.79,58.12,7883,58.3,2017-01-24T15:00:00Z,1165356,58.460617
58.885,59.0,58.73,8010,58.74,2017-01-24T16:00:00Z,1012186,58.902375
59.08,59.21,58.88,6585,58.89,2017-01-24T17:00:00Z,793600,59.038937
59.28,59.3,59.08,8390,59.08,2017-01-24T18:00:00Z,1064842,59.184293
59.6289,59.65,59.27,8450,59.28,2017-01-24T19:00:00Z,1288449,59.495397
59.63,59.77,59.55,14545,59.6231,2017-01-24T20:00:00Z,2030055,59.677121
59.63,59.64,59.63,13,59.64,2017-01-24T21:00:00Z,601244,59.638935
59.7,59.7,59.7,1,59.7,2017-01-24T22:00:00Z,100,59.7
59.75,59.75,59.75,2,59.75,2017-01-25T09:00:00Z,200,59.75
59.79,59.95,59.35,4557,59.77,2017-01-25T14:00:00Z,903287,59.631637
59.8825,60.07,59.54,10550,59.78,2017-01-25T15:00:00Z,1619092,59.890167
59.66,59.98,59.43,7102,59.89,2017-01-25T16:00:00Z,935470,59.710696
59.7815,59.88,59.65,4924,59.67,2017-01-25T17:00:00Z,571358,59.778386
59.81,59.91,59.69,5595,59.79,2017-01-25T18:00:00Z,669874,59.824352
60.01,60.18,59.8,8202,59.81,2017-01-25T19:00:00Z,957097,60.018305
60.22,60.345,59.995,14818,60.02,2017-01-25T20:00:00Z,1874305,60.180303
60.21,60.41,59.9336,24,59.9336,2017-01-25T21:00:00Z,942349,60.2094
60.43,60.49,60.28,5,60.49,2017-01-25T22:00:00Z,850,60.422729
60.45,60.45,60.45,1,60.45,2017-01-25T23:00:00Z,100,60.45
60.9,60.9,60.9,2,60.9,2017-01-26T00:00:00Z,250,60.9
61.66,61.7,61.66,8,61.7,2017-01-26T12:00:00Z,1281,61.694036
60.51,62.0,60.51,18,62.0,2017-01-26T13:00:00Z,6588,61.421372
61.06,61.17,60.21,9265,60.75,2017-01-26T14:00:00Z,1833961,60.692403
61.355,61.65,61.0,11328,61.06,2017-01-26T15:00:00Z,1738920,61.336852
61.51,61.64,61.15,9341,61.34,2017-01-26T16:00:00Z,1265657,61.415286
61.07,61.53,60.9,8508,61.53,2017-01-26T17:00:00Z,1296800,61.239222
61.29,61.32,60.96,6506,61.07,2017-01-26T18:00:00Z,786331,61.173693
61.18,61.35,60.95,7346,61.3,2017-01-26T19:00:00Z,873823,61.149887
