c,h,l,n,o,t,v,vw
241.0,241.0,241.0,1,241.0,2017-01-03T09:00:00Z,1500,241.0
241.95,241.95,241.95,1,241.95,2017-01-03T10:00:00Z,190,241.95
241.56,241.56,241.52,7,241.55,2017-01-03T11:00:00Z,3000,241.544333
242.67,242.7,242.2,7,242.2,2017-01-03T12:00:00Z,910,242.583516
242.34,242.54,241.99,62,242.54,2017-01-03T13:00:00Z,6389,242.248278
243.6,244.85,242.21,5455,242.35,2017-01-03T14:00:00Z,722359,243.599941
242.3836,244.97,242.3,7230,243.7667,2017-01-03T15:00:00Z,748931,243.921283
240.76,242.35,240.0,6513,242.35,2017-01-03T16:00:00Z,679068,241.335293
238.6875,240.87,238.07,5201,240.835,2017-01-03T17:00:00Z,511368,239.471521
239.955,240.29,237.97,3954,238.6602,2017-01-03T18:00:00Z,397851,239.094256
240.21,240.45,239.84,3682,240.0,2017-01-03T19:00:00Z,335296,240.201317
241.5,241.51,239.95,8302,240.26,2017-01-03T20:00:00Z,761030,240.807645
241.75,242.0,240.195,29,241.57,2017-01-03T21:00:00Z,511421,241.560672
241.75,241.94,241.75,6,241.94,2017-01-03T22:00:00Z,474,241.871857
241.71,241.93,241.71,4,241.93,2017-01-03T23:00:00Z,435,241.785862
242.08,242.08,241.93,4,241.93,2017-01-04T00:00:00Z,500,241.972
242.3,242.35,241.0,32,241.0,2017-01-04T13:00:00Z,2146,241.923485
241.665,242.96,241.44,3253,242.06,2017-01-04T14:00:00Z,415971,242.222627
240.8016,242.27,240.03,4077,241.6491,2017-01-04T15:00:00Z,360802,240.973872
241.59,241.81,240.69,3852,240.88,2017-01-04T16:00:00Z,343254,241.254011
242.14,242.16,241.37,2415,241.59,2017-01-04T17:00:00Z,211613,241.751966
242.37,242.37,241.69,2360,242.17,2017-01-04T18:00:00Z,195315,242.023309
243.18,243.3,242.08,3955,242.29,2017-01-04T19:00:00Z,374293,242.719916
243.09,243.32,242.6,6168,243.17,2017-01-04T20:00:00Z,545672,242.946928
243.0,243.13,242.2001,16,243.13,2017-01-04T21:00:00Z,568369,243.129006
243.0,243.1,242.51,16,243.0,2017-01-04T22:00:00Z,7031,243.063153
243.0,243.0,243.0,1,243.0,2017-01-04T23:00:00Z,100,243.0
