c,h,l,n,o,t,v,vw
136.0,136.0,136.0,2,136.0,2017-01-03T11:00:00Z,330,136.006364
134.45,134.45,134.45,2,134.45,2017-01-03T12:00:00Z,300,134.45
135.24,135.24,134.08,18,134.08,2017-01-03T13:00:00Z,8242,134.412148
134.71,135.51,134.58,4266,134.91,2017-01-03T14:00:00Z,709616,135.128036
134.6421,135.28,134.48,7296,134.72,2017-01-03T15:00:00Z,785330,134.802277
134.27,134.72,134.1,6561,134.63,2017-01-03T16:00:00Z,890366,134.446785
134.13,134.34,133.99,3554,134.29,2017-01-03T17:00:00Z,342470,134.157216
133.86,134.24,133.79,3862,134.15,2017-01-03T18:00:00Z,430440,134.056384
133.945,133.95,133.589,5711,133.86,2017-01-03T19:00:00Z,646837,133.796556
134.27,134.33,133.81,10432,133.95,2017-01-03T20:00:00Z,1148457,134.064221
134.35,134.3538,134.31,18,134.31,2017-01-03T21:00:00Z,825659,134.310057
135.21,135.279,134.34,2954,134.34,2017-01-04T14:00:00Z,337867,134.941412
135.3465,135.375,134.7,5808,135.21,2017-01-04T15:00:00Z,674648,135.065196
135.73,135.94,135.28,4827,135.34,2017-01-04T16:00:00Z,568967,135.667214
135.86,135.92,135.57,3311,135.74,2017-01-04T17:00:00Z,354995,135.775742
135.7115,135.88,135.6,3377,135.84,2017-01-04T18:00:00Z,478894,135.787899
135.33,135.78,135.24,5263,135.7,2017-01-04T19:00:00Z,447678,135.446137
135.4499,135.7,135.2842,8029,135.33,2017-01-04T20:00:00Z,767768,135.485267
135.29,135.5,135.29,31,135.5,2017-01-04T21:00:00Z,771047,135.499264
135.23,135.23,135.23,2,135.23,2017-01-04T22:00:00Z,1000,135.23
135.26,135.26,135.26,3,135.26,2017-01-05T11:00:00Z,283,135.26
135.22,135.5,134.62,3025,135.5,2017-01-05T14:00:00Z,415849,135.085255
134.78,135.28,134.6699,4062,135.23,2017-01-05T15:00:00Z,339594,134.901931
134.14,134.79,134.03,4444,134.76,2017-01-05T16:00:00Z,385055,134.374744
134.567,134.62,134.12,3284,134.19,2017-01-05T17:00:00Z,317582,134.346432
133.965,134.6,133.95,3925,134.5425,2017-01-05T18:00:00Z,341546,134.282096
133.93,134.14,133.7801,6526,133.96,2017-01-05T19:00:00Z,590290,133.976959
133.91,134.21,133.8801,10488,133.92,2017-01-05T20:00:00Z,1042347,134.033891
133.9,133.92,133.88,25,133.89,2017-01-05T21:00:00Z,590595,133.899996
133.48,134.12,133.05,4435,133.75,2017-01-06T14:00:00Z,573942,133.477245
133.49,133.83,133.21,5502,133.47,2017-01-06T15:00:00Z,560746,133.487927
133.82,134.01,133.392,3951,133.51,2017-01-06T16:00:00Z,379975,133.66502
134.2,134.22,133.78,3516,133.83,2017-01-06T17:00:00Z,302335,133.968446
134.21,134.269,134.01,3386,134.19,2017-01-06T18:00:00Z,308861,134.135582
133.93,134.33,133.93,4413,134.2,2017-01-06T19:00:00Z,393031,134.069549
133.5593,134.05,133.46,9209,133.93,2017-01-06T20:00:00Z,862894,133.726729
133.53,133.53,133.51,11,133.51,2017-01-06T21:00:00Z,618579,133.529884
133.2,133.2,133.2,1,133.2,2017-01-06T22:00:00Z,225,133.2
134.0,134.24,134.0,15,134.0,2017-01-09T13:00:00Z,1618,134.047627
133.882,134.35,133.05,2837,133.34,2017-01-09T14:00:00Z,533638,133.783299
133.86,133.99,133.6,3754,133.86,2017-01-09T15:00:00Z,358536,133.863596
133.89,133.95,133.71,3677,133.88,2017-01-09T16:00:00Z,340859,133.839207
133.64,133.9,133.6,3045,133.88,2017-01-09T17:00:00Z,279675,133.709449
133.66,133.74,133.43,3616,133.65,2017-01-09T18:00:00Z,393704,133.588822
133.985,134.0,133.54,4984,133.66,2017-01-09T19:00:00Z,592797,133.784519
134.35,134.76,133.96,11463,133.98,2017-01-09T20:00:00Z,1391305,134.424703
134.31,134.31,134.31,13,134.31,2017-01-09T21:00:00Z,851269,134.307525
134.82,135.02,133.77,3367,134.0,2017-01-10T14:00:00Z,387655,134.602258
135.765,135.91,134.33,6981,134.82,2017-01-10T15:00:00Z,818465,135.075124
135.95,136.31,135.67,5868,135.765,2017-01-10T16:00:00Z,590162,136.015311
135.985,136.13,135.8325,3606,135.95,2017-01-10T17:00:00Z,446691,135.987786
135.91,136.16,135.9,4262,135.99,2017-01-10T18:00:00Z,430203,136.036268
136.25,136.37,135.58,7411,135.9,2017-01-10T19:00:00Z,978945,136.077852
136.109,136.38,136.08,11668,136.24,2017-01-10T20:00:00Z,1211176,136.240513
136.1,136.1,136.07,15,136.07,2017-01-10T21:00:00Z,1797023,136.099993
136.1,136.1,136.1,3,136.1,2017-01-10T22:00:00Z,1000,136.1
136.24,136.24,136.24,2,136.24,2017-01-11T00:00:00Z,250,136.24
135.85,136.27,135.52,4244,136.1,2017-01-11T14:00:00Z,589260,135.846064
136.31,136.325,135.67,5755,135.84,2017-01-11T15:00:00Z,604215,135.979833
135.97,136.385,135.28,5856,136.305,2017-01-11T16:00:00Z,602985,135.950694
135.21,136.1,135.141,4605,135.98,2017-01-11T17:00:00Z,447306,135.563113
135.3,135.36,134.74,4308,135.23,2017-01-11T18:00:00Z,402455,135.064092
135.52,135.6,135.21,4104,135.33,2017-01-11T19:00:00Z,360367,135.403388
135.7,135.9,135.49,8015,135.51,2017-01-11T20:00:00Z,837347,135.734863
135.8,135.8,135.7,22,135.7,2017-01-11T21:00:00Z,1319332,135.700038
134.27,135.53,134.14,3890,135.51,2017-01-12T14:00:00Z,514441,134.697906
134.4,134.52,133.94,6238,134.27,2017-01-12T15:00:00Z,726065,134.29827
134.54,134.805,134.3,4436,134.39,2017-01-12T16:00:00Z,387447,134.555948
134.77,135.11,134.54,3710,134.54,2017-01-12T17:00:00Z,353328,134.902196
134.94,134.99,134.7,3129,134.78,2017-01-12T18:00:00Z,303141,134.855037
135.2,135.26,134.92,4023,134.96,2017-01-12T19:00:00Z,363854,135.075171
135.06,135.275,135.05,7082,135.2,2017-01-12T20:00:00Z,681911,135.140487
135.07,135.07,135.07,11,135.07,2017-01-12T21:00:00Z,621801,135.069941
135.52,135.68,134.8001,2355,134.83,2017-01-13T14:00:00Z,380102,135.280267
135.025,135.75,134.84,4704,135.5,2017-01-13T15:00:00Z,453465,135.211974
135.11,135.16,134.83,4036,135.03,2017-01-13T16:00:00Z,383008,134.956964
135.0697,135.145,134.88,3159,135.115,2017-01-13T17:00:00Z,288702,135.027276
134.97,135.28,134.97,2459,135.0699,2017-01-13T18:00:00Z,213140,135.13756
134.94,135.1,134.76,3498,134.98,2017-01-13T19:00:00Z,313601,134.905341
135.0,135.1825,134.93,6184,134.945,2017-01-13T20:00:00Z,638515,135.050637
135.01,135.04,135.01,17,135.04,2017-01-13T21:00:00Z,882927,135.039984
135.04,135.04,135.04,2,135.04,2017-01-17T12:00:00Z,200,135.04
134.75,135.07,134.75,38,135.0,2017-01-17T13:00:00Z,10094,134.959627
135.56,135.85,134.66,4249,134.66,2017-01-17T14:00:00Z,670429,135.399786
136.45,136.45,135.47,5595,135.56,2017-01-17T15:00:00Z,549113,135.999156
136.24,136.48,136.19,4465,136.43,2017-01-17T16:00:00Z,441325,136.32545
135.93,136.37,135.91,4017,136.23,2017-01-17T17:00:00Z,406882,136.164687
136.02,136.14,135.93,3504,135.94,2017-01-17T18:00:00Z,290251,136.004306
135.51,136.08,135.45,4895,136.03,2017-01-17T19:00:00Z,452478,135.786302
135.91,135.94,135.39,7338,135.514,2017-01-17T20:00:00Z,694714,135.775568
135.93,135.93,135.93,10,135.93,2017-01-17T21:00:00Z,755671,135.93
135.93,135.93,135.93,2,135.93,2017-01-18T13:00:00Z,200,135.93
135.155,136.01,134.92,2511,136.01,2017-01-18T14:00:00Z,380323,135.465877
135.73,135.7699,135.11,5315,135.16,2017-01-18T15:00:00Z,595378,135.562615
135.67,135.97,135.51,4784,135.72,2017-01-18T16:00:00Z,529527,135.82457
135.6834,135.88,135.61,3609,135.68,2017-01-18T17:00:00Z,342302,135.7631
135.73,135.85,135.6,3831,135.67,2017-01-18T18:00:00Z,518356,135.703189
136.15,136.295,135.705,5095,135.71,2017-01-18T19:00:00Z,491894,136.076915
136.1697,136.21,136.0,7731,136.15,2017-01-18T20:00:00Z,685496,136.112716
135.805,136.16,135.805,18,136.16,2017-01-18T21:00:00Z,586784,136.159153
136.356,136.78,135.8,4530,136.0,2017-01-19T14:00:00Z,742708,136.346173
135.6826,136.51,135.6,5920,136.38,2017-01-19T15:00:00Z,885734,135.96784
