c,h,l,n,o,t,v,vw
115.85,115.85,115.85,2,115.85,2017-01-03T13:00:00Z,4179,115.85
116.11,117.87,116.05,2752,117.26,2017-01-03T14:00:00Z,395231,116.513426
115.87,116.8993,115.74,4863,116.15,2017-01-03T15:00:00Z,650954,116.310986
115.86,116.03,115.721,3464,115.86,2017-01-03T16:00:00Z,379404,115.85419
116.0099,116.04,115.78,1864,115.9,2017-01-03T17:00:00Z,168698,115.923363
115.6,116.04,115.56,2737,116.02,2017-01-03T18:00:00Z,300328,115.820126
115.88,115.9,115.56,2990,115.61,2017-01-03T19:00:00Z,297369,115.737496
116.19,116.31,115.79,5706,115.89,2017-01-03T20:00:00Z,540285,116.091854
116.18,116.18,116.13,12,116.16,2017-01-03T21:00:00Z,548810,116.179981
116.18,116.18,116.18,2,116.18,2017-01-04T13:00:00Z,184,116.18
116.35,116.97,116.19,1365,116.64,2017-01-04T14:00:00Z,279530,116.580794
116.32,116.39,116.03,2819,116.39,2017-01-04T15:00:00Z,280042,116.183009
116.36,116.53,116.29,2529,116.36,2017-01-04T16:00:00Z,250428,116.416984
116.51,116.58,116.36,1960,116.36,2017-01-04T17:00:00Z,236215,116.474194
116.67,116.73,116.425,2351,116.52,2017-01-04T18:00:00Z,265075,116.6357
116.63,116.705,116.52,3044,116.6627,2017-01-04T19:00:00Z,294916,116.607326
116.5,116.7,116.485,6240,116.625,2017-01-04T20:00:00Z,827543,116.592788
116.5174,116.5174,116.5,17,116.5,2017-01-04T21:00:00Z,1094408,116.500007
116.73,116.95,116.32,2306,116.5,2017-01-05T14:00:00Z,359018,116.608743
117.44,117.46,116.74,4420,116.78,2017-01-05T15:00:00Z,605485,117.253187
116.4565,117.46,116.35,3782,117.44,2017-01-05T16:00:00Z,326614,116.795881
116.6,116.76,116.22,2287,116.455,2017-01-05T17:00:00Z,219716,116.527009
116.59,116.64,116.4836,1807,116.61,2017-01-05T18:00:00Z,162832,116.575702
116.7,116.88,116.57,2604,116.58,2017-01-05T19:00:00Z,266487,116.705668
116.77,116.82,116.63,5084,116.69,2017-01-05T20:00:00Z,500993,116.734957
116.76,116.76,116.76,15,116.76,2017-01-05T21:00:00Z,385559,116.76
116.76,116.76,116.76,1,116.76,2017-01-05T22:00:00Z,2000,116.76
117.1025,117.12,116.51,1973,116.94,2017-01-06T14:00:00Z,225727,116.8699
117.76,117.8,117.03,3957,117.09,2017-01-06T15:00:00Z,465888,117.354576
118.41,118.44,117.58,4135,117.76,2017-01-06T16:00:00Z,482477,117.994402
118.48,118.55,118.31,3468,118.419,2017-01-06T17:00:00Z,365750,118.461554
118.57,118.64,118.3,3854,118.49,2017-01-06T18:00:00Z,406488,118.506277
118.56,118.7,118.31,4046,118.57,2017-01-06T19:00:00Z,517279,118.543722
118.59,118.705,118.47,8041,118.56,2017-01-06T20:00:00Z,904301,118.570233
118.53,118.53,118.53,9,118.53,2017-01-06T21:00:00Z,465791,118.53
118.06,118.355,117.78,1801,118.27,2017-01-09T14:00:00Z,216985,118.050194
118.07,118.39,117.62,6073,118.055,2017-01-09T15:00:00Z,735626,118.050216
118.08,118.18,117.98,5104,118.07,2017-01-09T16:00:00Z,644199,118.075573
117.75,118.15,117.72,4602,118.08,2017-01-09T17:00:00Z,609723,117.953482
117.77,117.82,117.61,2979,117.76,2017-01-09T18:00:00Z,286910,117.74987
117.82,117.8711,117.705,3423,117.77,2017-01-09T19:00:00Z,359415,117.793518
117.59,117.85,117.57,5927,117.81,2017-01-09T20:00:00Z,739864,117.661597
117.55,117.58,117.55,9,117.58,2017-01-09T21:00:00Z,509498,117.550012
117.29,117.59,116.88,2010,117.55,2017-01-10T14:00:00Z,308583,117.252472
117.52,117.6018,117.02,3051,117.3,2017-01-10T15:00:00Z,309841,117.320582
118.28,118.37,117.54,4576,117.54,2017-01-10T16:00:00Z,481796,118.075532
118.37,118.44,118.2,3413,118.3,2017-01-10T17:00:00Z,449083,118.341104
118.16,118.41,118.14,4053,118.37,2017-01-10T18:00:00Z,731017,118.292039
117.93,118.17,117.89,4198,118.17,2017-01-10T19:00:00Z,511164,118.005204
117.86,118.1,117.835,6215,117.93,2017-01-10T20:00:00Z,655339,117.976082
117.85,117.9,117.85,11,117.9,2017-01-10T21:00:00Z,571655,117.850035
117.9,117.9,117.9,1,117.9,2017-01-10T22:00:00Z,100,117.9
117.85,117.85,117.27,2007,117.54,2017-01-11T14:00:00Z,314230,117.621331
117.795,118.12,117.56,2497,117.87,2017-01-11T15:00:00Z,255637,117.926721
117.58,117.98,117.13,3293,117.79,2017-01-11T16:00:00Z,484545,117.569854
117.71,117.8,117.44,2950,117.58,2017-01-11T17:00:00Z,403287,117.610126
117.57,117.765,117.24,3392,117.74,2017-01-11T18:00:00Z,628265,117.513396
117.92,117.93,117.47,2094,117.58,2017-01-11T19:00:00Z,275310,117.708137
118.02,118.08,117.91,3623,117.92,2017-01-11T20:00:00Z,340236,117.986003
118.01,118.01,118.0,18,118.0,2017-01-11T21:00:00Z,323931,118.009994
117.34,118.01,117.21,2418,118.01,2017-01-12T14:00:00Z,362734,117.536298
116.92,117.43,116.83,4517,117.32,2017-01-12T15:00:00Z,609649,117.111968
116.9922,117.19,116.6601,3678,116.9,2017-01-12T16:00:00Z,437606,116.946548
117.13,117.22,117.0,2015,117.01,2017-01-12T17:00:00Z,410331,117.16659
117.28,117.33,117.09,2064,117.14,2017-01-12T18:00:00Z,206980,117.245083
117.63,117.69,117.25,2452,117.3,2017-01-12T19:00:00Z,239715,117.456618
117.65,117.83,117.37,6754,117.65,2017-01-12T20:00:00Z,670613,117.624574
117.63,117.63,117.63,9,117.63,2017-01-12T21:00:00Z,395601,117.63
118.24,118.31,117.61,2103,117.67,2017-01-13T14:00:00Z,280440,118.087625
118.0,118.31,117.82,3677,118.24,2017-01-13T15:00:00Z,464382,118.124502
118.08,118.29,117.82,2364,118.01,2017-01-13T16:00:00Z,337650,118.079491
118.05,118.21,117.99,1896,118.09,2017-01-13T17:00:00Z,658685,118.050632
118.08,118.14,117.99,1857,118.06,2017-01-13T18:00:00Z,157101,118.064851
118.0771,118.17,117.95,2526,118.08,2017-01-13T19:00:00Z,301254,118.059516
118.07,118.22,118.0,4687,118.0725,2017-01-13T20:00:00Z,564376,118.084335
118.07,118.07,118.07,11,118.07,2017-01-13T21:00:00Z,439390,118.07
117.79,118.05,117.31,2222,117.42,2017-01-17T14:00:00Z,275150,117.6997
117.91,118.0775,117.72,4239,117.8,2017-01-17T15:00:00Z,503792,117.902778
117.75,118.0662,117.73,3450,117.89,2017-01-17T16:00:00Z,512653,117.92365
117.67,117.89,117.58,2445,117.75,2017-01-17T17:00:00Z,453250,117.734911
117.48,117.72,117.46,2137,117.68,2017-01-17T18:00:00Z,226596,117.593223
117.15,117.52,117.01,3191,117.5,2017-01-17T19:00:00Z,318613,117.291284
117.23,117.35,117.14,5727,117.15,2017-01-17T20:00:00Z,632442,117.237722
117.23,117.23,117.23,12,117.23,2017-01-17T21:00:00Z,444202,117.23
117.41,117.63,117.21,1840,117.52,2017-01-18T14:00:00Z,225291,117.414907
117.47,117.85,117.25,3531,117.39,2017-01-18T15:00:00Z,375668,117.525736
118.03,118.23,117.33,2979,117.485,2017-01-18T16:00:00Z,276150,117.856792
118.005,118.3,117.98,2062,118.01,2017-01-18T17:00:00Z,170386,118.153428
117.98,118.15,117.94,1660,118.02,2017-01-18T18:00:00Z,155094,118.035776
117.92,118.03,117.895,2235,117.98,2017-01-18T19:00:00Z,240350,117.962754
118.05,118.0627,117.815,5009,117.9286,2017-01-18T20:00:00Z,436073,117.944924
118.3,118.46,118.06,17,118.06,2017-01-18T21:00:00Z,765407,118.060084
117.84,118.75,117.78,1092,118.33,2017-01-19T14:00:00Z,147380,118.198659
117.76,117.95,117.64,2644,117.85,2017-01-19T15:00:00Z,261521,117.787991
117.71,117.85,117.58,2937,117.75,2017-01-19T16:00:00Z,283668,117.721103
117.673,117.75,117.57,2147,117.71,2017-01-19T17:00:00Z,238115,117.635575
117.65,117.745,117.59,2424,117.66,2017-01-19T18:00:00Z,258508,117.660954
117.67,117.72,117.31,3388,117.65,2017-01-19T19:00:00Z,341440,117.558002
117.9,118.01,117.64,7104,117.675,2017-01-19T20:00:00Z,674815,117.842835
117.91,117.91,117.91,12,117.91,2017-01-19T21:00:00Z,379943,117.91
117.9,118.44,117.75,1319,118.35,2017-01-20T14:00:00Z,458602,118.330198
117.8,117.97,117.12,3662,117.95,2017-01-20T15:00:00Z,439570,117.608102
