c,h,l,n,o,t,v,vw
166.5,166.5,166.5,8,166.5,2017-01-03T09:00:00Z,917,166.5
167.87,167.87,167.48,13,167.5,2017-01-03T12:00:00Z,2153,167.594751
166.63,167.3,165.99,20,167.3,2017-01-03T13:00:00Z,1671,166.655823
167.2,167.68,166.75,3359,166.85,2017-01-03T14:00:00Z,418712,167.164037
166.89,167.87,166.81,4564,167.148,2017-01-03T15:00:00Z,419326,167.312782
166.73,166.91,166.01,3878,166.91,2017-01-03T16:00:00Z,312005,166.504189
166.54,166.81,166.4,2645,166.71,2017-01-03T17:00:00Z,191198,166.591068
166.47,166.63,166.33,2121,166.55,2017-01-03T18:00:00Z,159201,166.454036
166.51,166.7,166.35,2991,166.46,2017-01-03T19:00:00Z,295057,166.514005
167.19,167.26,166.37,7924,166.5,2017-01-03T20:00:00Z,622273,166.815249
167.19,167.48,166.7755,26,167.19,2017-01-03T21:00:00Z,854300,167.189689
167.15,167.15,167.15,1,167.15,2017-01-03T22:00:00Z,100,167.15
167.29,167.29,167.29,1,167.29,2017-01-04T00:00:00Z,150,167.29
167.25,167.25,167.2,3,167.2,2017-01-04T13:00:00Z,575,167.230174
168.0288,168.15,167.36,2300,167.5,2017-01-04T14:00:00Z,315115,167.887283
169.08,169.24,167.82,4842,168.04,2017-01-04T15:00:00Z,460240,168.468769
168.64,169.12,168.26,3466,169.08,2017-01-04T16:00:00Z,293816,168.623132
168.81,168.83,168.42,3918,168.66,2017-01-04T17:00:00Z,390840,168.631204
169.02,169.04,168.69,3346,168.82,2017-01-04T18:00:00Z,282007,168.886093
169.2671,169.47,168.82,4982,169.01,2017-01-04T19:00:00Z,411550,169.203004
169.27,169.87,169.17,8450,169.25,2017-01-04T20:00:00Z,792057,169.543482
169.0,169.31,168.6371,27,169.26,2017-01-04T21:00:00Z,782167,169.259068
169.26,169.26,169.26,3,169.26,2017-01-04T22:00:00Z,396,169.26
169.43,169.43,169.26,2,169.26,2017-01-04T23:00:00Z,300,169.373333
169.25,169.25,169.25,1,169.25,2017-01-05T13:00:00Z,231,169.25
168.71,169.39,168.56,2745,169.26,2017-01-05T14:00:00Z,464562,169.078562
