c,h,l,n,o,t,v,vw
36.48,36.5,36.27,22,36.48,2017-01-03T13:00:00Z,633330,36.270956
36.76,36.78,36.5,12732,36.55,2017-01-03T14:00:00Z,3275076,36.64735
36.62,36.93,36.61,17669,36.765,2017-01-03T15:00:00Z,2764586,36.788005
36.5,36.64,36.445,14968,36.615,2017-01-03T16:00:00Z,2453744,36.558764
36.38,36.5165,36.32,10230,36.51,2017-01-03T17:00:00Z,1849620,36.413669
36.365,36.41,36.31,8969,36.385,2017-01-03T18:00:00Z,1449296,36.34281
36.355,36.4,36.27,10622,36.3643,2017-01-03T19:00:00Z,1934286,36.329892
36.58,36.6,36.35,23543,36.355,2017-01-03T20:00:00Z,4284641,36.499411
36.4011,36.64,36.4011,27,36.6,2017-01-03T21:00:00Z,3535718,36.599305
36.51,36.51,36.4011,5,36.4011,2017-01-03T22:00:00Z,59000,36.402109
36.64,36.64,36.64,1,36.64,2017-01-04T00:00:00Z,150,36.64
36.58,36.58,36.58,1,36.58,2017-01-04T11:00:00Z,215,36.58
36.71,36.76,36.7,9,36.7,2017-01-04T12:00:00Z,799,36.716546
36.73,36.77,36.73,25,36.75,2017-01-04T13:00:00Z,5529,36.751709
36.52,36.77,36.5,8577,36.73,2017-01-04T14:00:00Z,1736250,36.67917
36.545,36.6,36.34,14608,36.525,2017-01-04T15:00:00Z,2580361,36.495036
36.44,36.63,36.42,14697,36.55,2017-01-04T16:00:00Z,2318300,36.4994
36.5159,36.54,36.42,7914,36.45,2017-01-04T17:00:00Z,1234752,36.474631
36.41,36.52,36.4,6950,36.515,2017-01-04T18:00:00Z,976840,36.470462
36.467,36.54,36.4,8906,36.41,2017-01-04T19:00:00Z,1316986,36.478589
36.41,36.51,36.4,17662,36.46,2017-01-04T20:00:00Z,3367450,36.448563
36.44,36.5148,36.41,32,36.41,2017-01-04T21:00:00Z,4382950,36.414046
36.41,36.43,36.36,5,36.43,2017-01-04T22:00:00Z,1550,36.387484
36.49,36.51,36.44,24,36.44,2017-01-04T23:00:00Z,5890,36.474397
