c,h,l,n,o,t,v,vw
115.3,115.3,115.3,3,115.3,2017-01-03T09:00:00Z,1000,115.3
115.65,115.65,115.65,1,115.65,2017-01-03T10:00:00Z,107,115.65
115.89,115.9,115.21,7,115.21,2017-01-03T13:00:00Z,5168,115.356053
115.71,116.0,115.38,3980,115.89,2017-01-03T14:00:00Z,625402,115.676479
115.54,115.89,115.52,7856,115.69,2017-01-03T15:00:00Z,904770,115.669801
115.46,115.67,115.23,5932,115.54,2017-01-03T16:00:00Z,628533,115.463211
115.71,115.73,115.44,3851,115.46,2017-01-03T17:00:00Z,434810,115.59487
115.62,115.98,115.61,4547,115.71,2017-01-03T18:00:00Z,469469,115.813591
115.82,115.9,115.62,5473,115.63,2017-01-03T19:00:00Z,525788,115.758859
115.8,115.8368,115.585,11902,115.8205,2017-01-03T20:00:00Z,1286574,115.713803
115.84,115.86,115.7251,24,115.84,2017-01-03T21:00:00Z,1931730,115.839997
115.86,115.86,115.86,4,115.86,2017-01-03T23:00:00Z,302,115.859569
115.98,116.0,115.98,13,115.99,2017-01-04T13:00:00Z,545,116.00422
115.55,116.02,115.33,4799,115.98,2017-01-04T14:00:00Z,772766,115.612856
115.89,115.9,115.31,7668,115.56,2017-01-04T15:00:00Z,858725,115.549053
116.145,116.23,115.83,6464,115.89,2017-01-04T16:00:00Z,736967,115.982564
115.59,116.2265,115.57,4760,116.15,2017-01-04T17:00:00Z,475870,115.88899
115.52,115.67,115.495,4427,115.58,2017-01-04T18:00:00Z,473432,115.564375
115.56,115.8133,115.5,4707,115.53,2017-01-04T19:00:00Z,410991,115.652271
115.6435,115.83,115.53,10218,115.56,2017-01-04T20:00:00Z,1057037,115.676792
115.65,115.7266,115.65,31,115.65,2017-01-04T21:00:00Z,1926299,115.650542
115.55,115.56,115.55,11,115.56,2017-01-04T22:00:00Z,1338,115.550688
115.65,115.65,115.65,4,115.65,2017-01-05T12:00:00Z,300,115.65
115.73,115.74,115.55,23,115.74,2017-01-05T13:00:00Z,3135,115.608676
115.5,116.08,115.4401,2929,115.74,2017-01-05T14:00:00Z,428395,115.732571
115.81,115.89,115.49,5838,115.5,2017-01-05T15:00:00Z,589145,115.658246
116.6,116.6,115.64,6376,115.81,2017-01-05T16:00:00Z,721587,116.083173
116.48,116.7,116.43,5371,116.59,2017-01-05T17:00:00Z,635799,116.535567
116.775,116.8,116.48,5210,116.485,2017-01-05T18:00:00Z,567103,116.622735
116.64,116.86,116.58,5833,116.775,2017-01-05T19:00:00Z,595388,116.734816
116.875,116.97,116.56,11125,116.63,2017-01-05T20:00:00Z,1359855,116.829708
116.86,116.86,116.86,31,116.86,2017-01-05T21:00:00Z,1277628,116.824134
117.0,117.0,117.0,12,117.0,2017-01-06T13:00:00Z,866,117.012668
116.14,117.0,115.76,4210,116.88,2017-01-06T14:00:00Z,577065,116.217488
116.11,116.29,116.005,5439,116.13,2017-01-06T15:00:00Z,596876,116.143519
116.41,116.49,116.13,4880,116.13,2017-01-06T16:00:00Z,520137,116.319102
116.55,116.66,116.39,3656,116.41,2017-01-06T17:00:00Z,404681,116.542638
116.41,116.7,116.4,4362,116.555,2017-01-06T18:00:00Z,387403,116.535627
116.36,116.46,116.31,4269,116.41,2017-01-06T19:00:00Z,433826,116.401221
116.3,116.4399,116.26,8282,116.3656,2017-01-06T20:00:00Z,934289,116.346467
116.3,116.44,116.22,20,116.27,2017-01-06T21:00:00Z,1920083,116.300009
116.3,116.3,116.3,2,116.3,2017-01-06T22:00:00Z,220,116.299818
116.25,116.25,116.25,1,116.25,2017-01-09T12:00:00Z,100,116.25
116.56,116.8,116.56,2,116.8,2017-01-09T13:00:00Z,250,116.704
116.02,116.8,116.02,3318,116.8,2017-01-09T14:00:00Z,474915,116.21401
116.02,116.16,115.89,6058,116.03,2017-01-09T15:00:00Z,635076,116.027225
116.32,116.33,115.99,4580,116.02,2017-01-09T16:00:00Z,454223,116.152305
116.12,116.375,116.095,4042,116.32,2017-01-09T17:00:00Z,396668,116.220254
116.24,116.3,116.07,3878,116.11,2017-01-09T18:00:00Z,407385,116.172674
116.57,116.57,116.23,5080,116.23,2017-01-09T19:00:00Z,587267,116.433733
116.38,116.61,116.28,9844,116.56,2017-01-09T20:00:00Z,1045982,116.47093
116.28,116.28,116.28,19,116.28,2017-01-09T21:00:00Z,2204698,116.279997
116.11,116.4,115.87,3469,116.0,2017-01-10T14:00:00Z,502437,116.07505
