c,h,l,n,o,t,v,vw
41.7,41.74,41.65,3,41.65,2017-01-03T12:00:00Z,1093,41.696798
41.54,41.65,41.46,15,41.5,2017-01-03T13:00:00Z,6944,41.498483
41.47,41.61,41.28,7520,41.55,2017-01-03T14:00:00Z,1900509,41.430009
41.66,41.73,41.4,11283,41.47,2017-01-03T15:00:00Z,2225702,41.573765
41.595,41.67,41.53,9169,41.66,2017-01-03T16:00:00Z,1616662,41.58364
41.62,41.66,41.57,6708,41.5973,2017-01-03T17:00:00Z,1247258,41.617495
41.485,41.625,41.48,5946,41.611,2017-01-03T18:00:00Z,1049413,41.561196
41.621,41.66,41.48,7514,41.48,2017-01-03T19:00:00Z,1339383,41.585656
41.79,41.81,41.58,15848,41.625,2017-01-03T20:00:00Z,3869621,41.6969
41.86,41.88,41.6167,74,41.74,2017-01-03T21:00:00Z,2598376,41.797167
41.86,41.86,41.86,34,41.86,2017-01-03T22:00:00Z,668,41.855868
41.89,41.89,41.86,7,41.86,2017-01-04T00:00:00Z,2097,41.868302
41.9,41.9,41.9,1,41.9,2017-01-04T13:00:00Z,300,41.9
41.931,41.97,41.85,6751,41.87,2017-01-04T14:00:00Z,2067760,41.917049
41.85,41.94,41.8,7256,41.935,2017-01-04T15:00:00Z,1092346,41.867965
41.66,41.89,41.65,8147,41.85,2017-01-04T16:00:00Z,1386218,41.773578
41.63,41.71,41.61,5668,41.665,2017-01-04T17:00:00Z,988491,41.65085
41.66,41.66,41.59,4449,41.63,2017-01-04T18:00:00Z,663760,41.630079
41.64,41.73,41.64,7018,41.66,2017-01-04T19:00:00Z,1122204,41.688745
41.65,41.705,41.63,10949,41.645,2017-01-04T20:00:00Z,1878153,41.669064
41.65,41.7477,41.6,26,41.65,2017-01-04T21:00:00Z,2115589,41.650198
41.6,41.6,41.6,5,41.6,2017-01-04T22:00:00Z,1803,41.6
41.65,41.75,41.64,11,41.75,2017-01-05T13:00:00Z,2090,41.696866
41.57,41.75,41.565,4069,41.65,2017-01-05T14:00:00Z,893582,41.643764
41.64,41.64,41.525,8638,41.57,2017-01-05T15:00:00Z,1372509,41.577434
41.74,41.86,41.6,9251,41.6357,2017-01-05T16:00:00Z,1606588,41.755569
41.72,41.76,41.62,5881,41.745,2017-01-05T17:00:00Z,911970,41.701563
41.725,41.745,41.69,4453,41.72,2017-01-05T18:00:00Z,660251,41.719866
41.77,41.81,41.72,5209,41.72,2017-01-05T19:00:00Z,843029,41.773735
41.755,41.8,41.74,10066,41.7749,2017-01-05T20:00:00Z,1863471,41.76904
41.75,41.755,41.75,30,41.755,2017-01-05T21:00:00Z,1417657,41.750001
41.58,41.75,41.54,3543,41.7,2017-01-06T14:00:00Z,964386,41.621159
41.74,41.76,41.56,6125,41.58,2017-01-06T15:00:00Z,1185179,41.703015
41.765,41.8,41.735,5541,41.74,2017-01-06T16:00:00Z,1036966,41.766317
41.745,41.805,41.74,4278,41.76,2017-01-06T17:00:00Z,980950,41.77901
41.77,41.78,41.72,4614,41.745,2017-01-06T18:00:00Z,723007,41.752313
41.78,41.81,41.74,5799,41.7602,2017-01-06T19:00:00Z,1042209,41.777356
41.76,41.81,41.74,13718,41.77,2017-01-06T20:00:00Z,2820286,41.776898
41.74,41.74,41.74,14,41.74,2017-01-06T21:00:00Z,2706077,41.74
41.15,41.55,41.14,95,41.55,2017-01-09T11:00:00Z,17419,41.303161
41.19,41.24,41.15,32,41.2,2017-01-09T12:00:00Z,6047,41.187931
41.34,41.4,41.18,118,41.18,2017-01-09T13:00:00Z,38738,41.263816
41.3799,41.58,41.21,9043,41.35,2017-01-09T14:00:00Z,2927855,41.358759
41.34,41.42,41.29,9662,41.37,2017-01-09T15:00:00Z,1888809,41.341273
41.3518,41.44,41.32,7941,41.34,2017-01-09T16:00:00Z,1359514,41.374306
41.41,41.42,41.32,6552,41.35,2017-01-09T17:00:00Z,1337685,41.381019
41.3553,41.42,41.34,5607,41.41,2017-01-09T18:00:00Z,975030,41.376938
41.42,41.45,41.315,8059,41.355,2017-01-09T19:00:00Z,1418466,41.367152
41.34,41.44,41.33,14578,41.42,2017-01-09T20:00:00Z,2826551,41.378949
41.32,41.365,41.32,19,41.32,2017-01-09T21:00:00Z,3932056,41.320758
41.25,41.26,41.25,21,41.26,2017-01-09T22:00:00Z,4000,41.251778
41.28,41.28,41.28,2,41.28,2017-01-09T23:00:00Z,600,41.28
41.29,41.29,41.29,2,41.29,2017-01-10T12:00:00Z,200,41.3025
41.39,41.39,41.3,12,41.3,2017-01-10T13:00:00Z,25392,41.325127
41.279,41.48,41.17,6187,41.4,2017-01-10T14:00:00Z,1761418,41.316586
41.21,41.3,41.1702,9508,41.27,2017-01-10T15:00:00Z,1866649,41.236639
41.14,41.28,41.13,7511,41.205,2017-01-10T16:00:00Z,1341960,41.19477
41.07,41.18,41.06,7879,41.15,2017-01-10T17:00:00Z,1397166,41.118307
41.01,41.11,41.01,6685,41.0734,2017-01-10T18:00:00Z,1145917,41.066994
40.9153,41.02,40.9,9152,41.01,2017-01-10T19:00:00Z,1814388,40.948322
41.03,41.065,40.86,17807,40.915,2017-01-10T20:00:00Z,4458885,40.96152
41.1,41.1,41.03,42,41.04,2017-01-10T21:00:00Z,11332596,41.040032
41.04,41.15,41.04,8,41.14,2017-01-10T22:00:00Z,7390,41.098985
41.08,41.08,41.08,4,41.08,2017-01-11T13:00:00Z,950,41.08
41.0,41.05,40.83,5193,41.0,2017-01-11T14:00:00Z,1248777,40.953916
41.02,41.12,40.97,8220,41.01,2017-01-11T15:00:00Z,1281035,41.037244
41.04,41.04,40.9,7067,41.02,2017-01-11T16:00:00Z,1204416,40.977686
40.96,41.05,40.9,4552,41.03,2017-01-11T17:00:00Z,604536,40.978297
40.9862,41.01,40.9115,5396,40.96,2017-01-11T18:00:00Z,772261,40.959922
40.9474,41.02,40.94,5518,40.985,2017-01-11T19:00:00Z,766253,40.980405
41.04,41.05,40.94,12407,40.945,2017-01-11T20:00:00Z,2273774,40.996476
41.07,41.07,41.05,23,41.05,2017-01-11T21:00:00Z,1757583,41.050003
41.07,41.07,41.07,1,41.07,2017-01-11T22:00:00Z,200,41.07
41.06,41.06,41.06,4,41.06,2017-01-12T12:00:00Z,1800,41.06
41.01,41.1,41.0,37,41.06,2017-01-12T13:00:00Z,9483,41.027521
40.985,41.05,40.815,6702,40.99,2017-01-12T14:00:00Z,1459984,40.942917
40.8867,40.995,40.84,8723,40.99,2017-01-12T15:00:00Z,1344367,40.90108
40.845,40.915,40.8,6407,40.88,2017-01-12T16:00:00Z,1059686,40.851643
40.945,40.95,40.83,4496,40.84,2017-01-12T17:00:00Z,744405,40.887679
40.965,40.98,40.9,4183,40.9499,2017-01-12T18:00:00Z,682645,40.939862
40.98,41.01,40.94,5135,40.96,2017-01-12T19:00:00Z,811689,40.976531
40.95,40.99,40.91,9232,40.9843,2017-01-12T20:00:00Z,1681232,40.947248
40.99,40.99,40.88,30,40.95,2017-01-12T21:00:00Z,1321949,40.950121
40.95,41.0,40.95,10,41.0,2017-01-13T13:00:00Z,1551,40.975951
40.805,41.04,40.8,4381,40.95,2017-01-13T14:00:00Z,869862,40.904083
40.795,40.82,40.69,7567,40.81,2017-01-13T15:00:00Z,1303453,40.748137
40.825,40.84,40.74,6159,40.795,2017-01-13T16:00:00Z,1016432,40.78668
40.825,40.87,40.81,5470,40.82,2017-01-13T17:00:00Z,937367,40.835004
40.8601,40.87,40.8,3887,40.82,2017-01-13T18:00:00Z,616670,40.838772
40.8665,40.89,40.82,5727,40.86,2017-01-13T19:00:00Z,857388,40.85616
40.88,40.89,40.83,9458,40.87,2017-01-13T20:00:00Z,1578746,40.858128
40.9,40.92,40.88,33,40.88,2017-01-13T21:00:00Z,1786160,40.880059
40.88,40.88,40.88,1,40.88,2017-01-13T22:00:00Z,1411,40.88
40.83,40.83,40.83,9,40.83,2017-01-17T10:00:00Z,1000,40.83
40.86,40.86,40.86,24,40.86,2017-01-17T12:00:00Z,3648,40.85991
40.8,40.85,40.78,40,40.85,2017-01-17T13:00:00Z,6363,40.807228
41.06,41.15,40.79,8004,40.8,2017-01-17T14:00:00Z,2427794,40.965898
41.1537,41.23,41.035,9042,41.06,2017-01-17T15:00:00Z,1746585,41.162315
41.1635,41.22,41.11,7233,41.151,2017-01-17T16:00:00Z,1437376,41.173136
41.17,41.23,41.1,4826,41.165,2017-01-17T17:00:00Z,808664,41.151
41.275,41.3,41.165,5326,41.18,2017-01-17T18:00:00Z,1156388,41.249638
41.145,41.28,41.13,7045,41.275,2017-01-17T19:00:00Z,1227117,41.214378
41.21,41.235,41.11,13235,41.145,2017-01-17T20:00:00Z,2534806,41.190484
41.22,41.22,41.22,20,41.22,2017-01-17T21:00:00Z,2379280,41.22
41.22,41.3,41.22,14,41.3,2017-01-18T13:00:00Z,2934,41.239816
41.17,41.379,41.15,5832,41.29,2017-01-18T14:00:00Z,1548480,41.233277
41.31,41.31,41.14,8134,41.17,2017-01-18T15:00:00Z,1258281,41.218927
41.3,41.36,41.28,6733,41.31,2017-01-18T16:00:00Z,1102995,41.330686
41.26,41.33,41.26,4340,41.2937,2017-01-18T17:00:00Z,728716,41.299237
41.25,41.29,41.24,5015,41.25,2017-01-18T18:00:00Z,920452,41.258929
41.29,41.33,41.24,5703,41.255,2017-01-18T19:00:00Z,941898,41.280585
41.29,41.31,41.23,9390,41.28,2017-01-18T20:00:00Z,1688407,41.278062
41.12,41.29,41.12,40,41.29,2017-01-18T21:00:00Z,3590094,41.289291
41.15,41.25,41.15,18,41.25,2017-01-18T23:00:00Z,7100,41.21338
41.15,41.16,41.13,20,41.16,2017-01-19T09:00:00Z,6594,41.148611
41.02,41.08,41.02,17,41.08,2017-01-19T10:00:00Z,2977,41.05962
40.96,40.99,40.96,2,40.99,2017-01-19T11:00:00Z,200,40.975
41.01,41.05,41.01,19,41.02,2017-01-19T12:00:00Z,2733,41.015415
41.05,41.07,41.05,32,41.05,2017-01-19T13:00:00Z,9892,41.067005
41.23,41.29,41.05,6013,41.05,2017-01-19T14:00:00Z,1749248,41.158169
41.195,41.25,41.14,7563,41.235,2017-01-19T15:00:00Z,1157679,41.19043
41.21,41.26,41.1355,8137,41.19,2017-01-19T16:00:00Z,1319574,41.20333
41.155,41.21,41.12,4093,41.205,2017-01-19T17:00:00Z,637186,41.167508
41.15,41.17,41.1,6199,41.15,2017-01-19T18:00:00Z,1204430,41.140878
41.0865,41.16,41.03,7589,41.15,2017-01-19T19:00:00Z,1246468,41.091924
41.14,41.17,41.04,15409,41.085,2017-01-19T20:00:00Z,3018760,41.096109
41.14,41.14,41.14,20,41.14,2017-01-19T21:00:00Z,1848845,41.14
41.15,41.15,41.15,1,41.15,2017-01-19T23:00:00Z,1000,41.15
41.33,41.43,41.09,4086,41.25,2017-01-20T14:00:00Z,4220609,41.311589
41.415,41.43,41.325,6558,41.33,2017-01-20T15:00:00Z,1200702,41.373672
41.4086,41.44,41.36,6830,41.42,2017-01-20T16:00:00Z,1347894,41.400195
41.3,41.41,41.175,6760,41.409,2017-01-20T17:00:00Z,1126399,41.2917
41.24,41.3,41.235,3814,41.3,2017-01-20T18:00:00Z,580651,41.262957
41.235,41.2699,41.2,6043,41.2431,2017-01-20T19:00:00Z,1186591,41.231881
41.31,41.32,41.2,15301,41.23,2017-01-20T20:00:00Z,2931598,41.262483
41.32,41.45,41.31,49,41.31,2017-01-20T21:00:00Z,6454587,41.320216
41.56,41.56,41.56,1,41.56,2017-01-23T12:00:00Z,242,41.56
41.3,41.34,41.3,3,41.34,2017-01-23T13:00:00Z,1100,41.336364
41.34,41.36,41.2,7389,41.21,2017-01-23T14:00:00Z,1720916,41.278381
41.35,41.38,41.29,7128,41.345,2017-01-23T15:00:00Z,1267543,41.329622
41.375,41.465,41.34,6385,41.3599,2017-01-23T16:00:00Z,1323920,41.396001
41.4299,41.46,41.37,4564,41.38,2017-01-23T17:00:00Z,906572,41.422443
41.4691,41.5,41.42,4795,41.425,2017-01-23T18:00:00Z,847893,41.462614
41.45,41.5,41.45,5457,41.4635,2017-01-23T19:00:00Z,1034277,41.48109
41.44,41.5,41.42,14728,41.45,2017-01-23T20:00:00Z,2968783,41.459886
41.43,41.44,41.37,23,41.44,2017-01-23T21:00:00Z,1570227,41.429377
41.5,41.5,41.5,28,41.5,2017-01-23T22:00:00Z,6200,41.5
41.38,41.38,41.38,12,41.38,2017-01-24T12:00:00Z,367,41.380136
41.43,41.49,41.36,10,41.36,2017-01-24T13:00:00Z,3750,41.436133
41.53,41.6,41.44,5307,41.48,2017-01-24T14:00:00Z,1686112,41.523053
41.665,41.67,41.49,9172,41.54,2017-01-24T15:00:00Z,1670744,41.570033
41.77,41.8,41.66,9493,41.662,2017-01-24T16:00:00Z,1999995,41.737285
41.63,41.785,41.62,7268,41.765,2017-01-24T17:00:00Z,2359327,41.72953
41.835,41.88,41.6,8393,41.63,2017-01-24T18:00:00Z,3208736,41.679153
41.92,41.95,41.81,8489,41.83,2017-01-24T19:00:00Z,1638099,41.893373
41.9,41.97,41.87,16165,41.915,2017-01-24T20:00:00Z,3117360,41.912461
41.88,41.91,41.8,37,41.88,2017-01-24T21:00:00Z,2719858,41.891407
41.85,41.88,41.85,2,41.88,2017-01-24T22:00:00Z,1300,41.856923
41.9,41.9,41.9,1,41.9,2017-01-24T23:00:00Z,22000,41.9
41.9,41.9,41.9,6,41.9,2017-01-25T00:00:00Z,1900,41.9
41.95,41.95,41.94,3,41.95,2017-01-25T09:00:00Z,482,41.947926
41.81,41.81,41.81,2,41.81,2017-01-25T11:00:00Z,482,41.81
41.9,41.9,41.9,2,41.9,2017-01-25T12:00:00Z,194,41.9
41.94,41.95,41.94,5,41.95,2017-01-25T13:00:00Z,2350,41.941004
41.99,42.07,41.87,5870,41.93,2017-01-25T14:00:00Z,1837212,41.986159
42.15,42.19,41.97,10981,41.99,2017-01-25T15:00:00Z,2038601,42.110609
42.1476,42.22,42.14,8926,42.15,2017-01-25T16:00:00Z,1653486,42.180947
42.1648,42.17,42.07,5869,42.15,2017-01-25T17:00:00Z,1096294,42.107487
42.24,42.245,42.135,6393,42.16,2017-01-25T18:00:00Z,1129178,42.178349
42.1758,42.25,42.16,6889,42.24,2017-01-25T19:00:00Z,1200112,42.218454
42.12,42.187,42.08,12336,42.17,2017-01-25T20:00:00Z,2342052,42.11636
42.12,42.12,42.05,42,42.12,2017-01-25T21:00:00Z,2060723,42.120275
41.93,41.93,41.93,1,41.93,2017-01-25T22:00:00Z,300,41.93
41.95,41.95,41.95,1,41.95,2017-01-25T23:00:00Z,100,41.95
42.11,42.11,42.11,1,42.11,2017-01-26T13:00:00Z,300,42.11
42.0034,42.11,41.88,5151,41.99,2017-01-26T14:00:00Z,1313001,42.025808
41.96,42.025,41.86,8849,42.0,2017-01-26T15:00:00Z,1260993,41.939793
41.905,41.99,41.875,6582,41.96,2017-01-26T16:00:00Z,1040121,41.928103
41.88,41.96,41.87,5008,41.91,2017-01-26T17:00:00Z,833055,41.908134
41.905,41.915,41.85,5558,41.88,2017-01-26T18:00:00Z,897967,41.891369
41.85,41.905,41.85,5452,41.9,2017-01-26T19:00:00Z,848749,41.872297
41.82,41.88,41.79,11429,41.855,2017-01-26T20:00:00Z,2299205,41.840431
41.81,41.81,41.81,18,41.81,2017-01-26T21:00:00Z,1166693,41.81
41.81,41.86,41.81,11,41.85,2017-01-27T13:00:00Z,1834,41.839002
41.708,41.95,41.65,4546,41.81,2017-01-27T14:00:00Z,892375,41.79131
41.665,41.71,41.58,9316,41.71,2017-01-27T15:00:00Z,1451515,41.634004
41.701,41.725,41.63,7626,41.67,2017-01-27T16:00:00Z,1219255,41.680708
41.67,41.74,41.66,5088,41.7,2017-01-27T17:00:00Z,688758,41.696309
41.54,41.69,41.54,7164,41.6769,2017-01-27T18:00:00Z,1392504,41.620649
41.54,41.565,41.47,9993,41.55,2017-01-27T19:00:00Z,1910763,41.52393
41.44,41.545,41.42,19758,41.54,2017-01-27T20:00:00Z,4205027,41.465144
41.45,41.45,41.44,17,41.44,2017-01-27T21:00:00Z,1865272,41.449936
41.4,41.4,41.4,3,41.4,2017-01-30T13:00:00Z,498,41.4
41.28,41.35,41.205,7983,41.35,2017-01-30T14:00:00Z,1836735,41.27632
41.445,41.48,41.28,11696,41.28,2017-01-30T15:00:00Z,1912505,41.412526
41.3641,41.47,41.335,6220,41.441,2017-01-30T16:00:00Z,1000050,41.403669
41.38,41.38,41.33,4728,41.3647,2017-01-30T17:00:00Z,724293,41.353706
41.335,41.4,41.32,5026,41.375,2017-01-30T18:00:00Z,771028,41.360616
41.355,41.38,41.33,4813,41.335,2017-01-30T19:00:00Z,812543,41.358017
41.37,41.425,41.32,13827,41.35,2017-01-30T20:00:00Z,3158362,41.371371
41.45,41.45,41.36,33,41.37,2017-01-30T21:00:00Z,2316053,41.379993
41.47,41.47,41.38,16,41.38,2017-01-30T22:00:00Z,18780,41.401565
41.36,41.37,41.36,2,41.37,2017-01-31T13:00:00Z,600,41.363333
41.47,41.515,41.34,4334,41.34,2017-01-31T14:00:00Z,1042605,41.455756
41.49,41.5,41.43,7761,41.47,2017-01-31T15:00:00Z,1372062,41.472325
41.5862,41.62,41.48,7551,41.48,2017-01-31T16:00:00Z,1392642,41.57239
41.67,41.685,41.58,5749,41.59,2017-01-31T17:00:00Z,960322,41.631581
41.575,41.67,41.55,4691,41.67,2017-01-31T18:00:00Z,681828,41.604426
41.5601,41.6,41.55,6985,41.574,2017-01-31T19:00:00Z,1198425,41.574782
41.58,41.585,41.53,13750,41.57,2017-01-31T20:00:00Z,2381638,41.558372
41.57,41.58,41.57,35,41.58,2017-01-31T21:00:00Z,5897474,41.570001
41.84,41.84,41.6,85,41.6,2017-01-31T23:00:00Z,21634,41.719652
41.8,41.83,41.75,21,41.79,2017-02-01T00:00:00Z,8760,41.793174
41.92,41.92,41.92,1,41.92,2017-02-01T11:00:00Z,100,41.92
41.7,41.79,41.69,17,41.69,2017-02-01T12:00:00Z,1800,41.708667
41.64,41.75,41.41,99,41.73,2017-02-01T13:00:00Z,19700,41.63871
41.53,41.7,41.33,5091,41.7,2017-02-01T14:00:00Z,1756460,41.48745
41.333,41.5565,41.31,8101,41.53,2017-02-01T15:00:00Z,1501035,41.432961
41.3374,41.39,41.27,8382,41.34,2017-02-01T16:00:00Z,1472144,41.334049
41.35,41.39,41.335,4882,41.335,2017-02-01T17:00:00Z,841243,41.361419
41.316,41.38,41.27,5603,41.35,2017-02-01T18:00:00Z,945326,41.33305
41.395,41.46,41.3,6696,41.31,2017-02-01T19:00:00Z,1104898,41.393192
41.27,41.45,41.25,14040,41.395,2017-02-01T20:00:00Z,2515431,41.359782
41.22,41.34,41.2,46,41.23,2017-02-01T21:00:00Z,2254133,41.259928
41.3,41.3,41.3,1,41.3,2017-02-01T22:00:00Z,100,41.3
41.3,41.3,41.22,10,41.3,2017-02-01T23:00:00Z,2008,41.273944
41.19,41.22,41.19,10,41.22,2017-02-02T09:00:00Z,2635,41.207476
41.3,41.3,41.3,1,41.3,2017-02-02T12:00:00Z,600,41.3
41.18,41.26,41.17,18,41.26,2017-02-02T13:00:00Z,4611,41.212416
41.3742,41.48,41.25,5229,41.25,2017-02-02T14:00:00Z,1341244,41.395726
41.35,41.3865,41.28,8159,41.375,2017-02-02T15:00:00Z,1140571,41.334511
41.36,41.45,41.345,5829,41.355,2017-02-02T16:00:00Z,827767,41.395584
41.4748,41.4759,41.34,4570,41.36,2017-02-02T17:00:00Z,701428,41.39947
41.44,41.48,41.39,3886,41.48,2017-02-02T18:00:00Z,557246,41.432368
41.395,41.45,41.35,5406,41.4401,2017-02-02T19:00:00Z,796872,41.398004
41.4,41.49,41.3,14214,41.395,2017-02-02T20:00:00Z,3065385,41.388244
41.4,41.4,41.4,17,41.4,2017-02-02T21:00:00Z,2206069,41.4
41.3,41.4,41.3,4,41.4,2017-02-02T22:00:00Z,1500,41.366667
41.35,41.35,41.35,1,41.35,2017-02-03T00:00:00Z,200,41.35
41.41,41.41,41.41,3,41.41,2017-02-03T12:00:00Z,300,41.41
41.54,41.54,41.54,1,41.54,2017-02-03T13:00:00Z,100,41.54
41.495,41.64,41.45,4078,41.45,2017-02-03T14:00:00Z,949432,41.530819
41.65,41.75,41.495,9436,41.5,2017-02-03T15:00:00Z,1618312,41.686188
41.71,41.7366,41.55,8372,41.66,2017-02-03T16:00:00Z,1722645,41.637396
41.74,41.79,41.71,6192,41.72,2017-02-03T17:00:00Z,1108185,41.751753
41.75,41.78,41.72,4697,41.74,2017-02-03T18:00:00Z,1060285,41.743003
41.68,41.78,41.68,5640,41.75,2017-02-03T19:00:00Z,993224,41.736549
41.53,41.72,41.5,15033,41.68,2017-02-03T20:00:00Z,3102502,41.600522
41.53,41.54,41.53,28,41.53,2017-02-03T21:00:00Z,2078275,41.539996
41.54,41.64,41.54,2,41.64,2017-02-03T22:00:00Z,891,41.551223
41.71,41.85,41.71,22,41.76,2017-02-06T10:00:00Z,8272,41.751598
41.6,41.7,41.6,16,41.7,2017-02-06T12:00:00Z,1950,41.626154
41.6,41.6,41.55,33,41.55,2017-02-06T13:00:00Z,7340,41.566376
41.48,41.59,41.4,6391,41.55,2017-02-06T14:00:00Z,1655284,41.490581
41.48,41.54,41.41,9622,41.48,2017-02-06T15:00:00Z,1604318,41.460871
41.545,41.6,41.4701,8715,41.48,2017-02-06T16:00:00Z,1606321,41.542996
41.57,41.61,41.54,7546,41.54,2017-02-06T17:00:00Z,1195507,41.57167
41.55,41.61,41.51,5965,41.575,2017-02-06T18:00:00Z,1892940,41.557522
41.64,41.65,41.5,8803,41.54,2017-02-06T19:00:00Z,2748595,41.549357
41.57,41.67,41.56,18323,41.635,2017-02-06T20:00:00Z,3680266,41.627581
41.63,41.63,41.56,26,41.57,2017-02-06T21:00:00Z,2277803,41.560341
41.63,41.73,41.6,10,41.7,2017-02-07T13:00:00Z,3986,41.644272
41.745,41.82,41.6,5365,41.62,2017-02-07T14:00:00Z,1328244,41.737601
41.775,41.84,41.725,9689,41.7433,2017-02-07T15:00:00Z,2343658,41.772068
41.895,41.92,41.755,7460,41.77,2017-02-07T16:00:00Z,1921817,41.83443
41.88,41.92,41.85,6509,41.89,2017-02-07T17:00:00Z,1414324,41.889318
41.84,41.98,41.83,7335,41.88,2017-02-07T18:00:00Z,1450884,41.921189
41.895,41.9,41.84,6812,41.845,2017-02-07T19:00:00Z,1308192,41.867756
41.88,41.93,41.84,13403,41.89,2017-02-07T20:00:00Z,2405082,41.873326
41.93,41.93,41.88,29,41.9,2017-02-07T21:00:00Z,1899989,41.899853
41.86,41.9,41.86,2,41.9,2017-02-07T22:00:00Z,814,41.891695
41.86,41.86,41.86,1,41.86,2017-02-07T23:00:00Z,100,41.86
41.86,41.86,41.86,3,41.86,2017-02-08T00:00:00Z,400,41.863
41.88,41.91,41.88,5,41.91,2017-02-08T13:00:00Z,6700,41.888955
42.11,42.15,41.84,6363,41.89,2017-02-08T14:00:00Z,1747864,41.998617
41.99,42.13,41.93,13682,42.11,2017-02-08T15:00:00Z,2473890,41.988232
41.9376,42.05,41.9,8417,41.99,2017-02-08T16:00:00Z,1790474,41.9987
41.9812,42.045,41.93,7621,41.93,2017-02-08T17:00:00Z,1481318,41.986744
41.97,42.0,41.95,6340,41.98,2017-02-08T18:00:00Z,1141640,41.97161
41.9645,41.98,41.92,7946,41.97,2017-02-08T19:00:00Z,1412059,41.960333
42.02,42.03,41.94,15484,41.965,2017-02-08T20:00:00Z,2998827,41.976324
42.0,42.04,42.0,28,42.03,2017-02-08T21:00:00Z,1831056,42.020018
42.04,42.04,42.02,18,42.02,2017-02-08T22:00:00Z,3764,42.023016
