c,h,l,n,o,t,v,vw
121.72,122.01,121.72,2,122.01,2017-01-03T13:00:00Z,1675,121.767612
120.93,122.36,120.56,4857,122.36,2017-01-03T14:00:00Z,735196,121.319332
119.65,120.95,119.3,8779,120.9105,2017-01-03T15:00:00Z,1012460,120.045444
119.4717,119.95,119.3,5871,119.65,2017-01-03T16:00:00Z,680013,119.660114
119.35,119.52,119.12,3866,119.49,2017-01-03T17:00:00Z,429204,119.331078
119.11,119.43,119.11,3430,119.33,2017-01-03T18:00:00Z,363403,119.264491
119.049,119.29,118.96,4732,119.115,2017-01-03T19:00:00Z,512420,119.116268
119.615,119.65,119.0489,10097,119.0489,2017-01-03T20:00:00Z,975170,119.455546
119.65,119.7861,119.6,25,119.61,2017-01-03T21:00:00Z,978341,119.620526
119.6,119.6,119.5,3,119.5,2017-01-03T22:00:00Z,778,119.564267
119.65,119.65,119.65,2,119.65,2017-01-04T00:00:00Z,200,119.65
119.36,119.36,119.36,2,119.36,2017-01-04T13:00:00Z,115,119.36
118.86,119.56,118.18,5454,119.48,2017-01-04T14:00:00Z,901431,118.649861
119.462,119.462,118.76,6789,118.85,2017-01-04T15:00:00Z,746260,119.086965
119.35,119.74,119.32,4252,119.47,2017-01-04T16:00:00Z,415057,119.529752
119.3599,119.54,119.33,2983,119.37,2017-01-04T17:00:00Z,263847,119.430966
119.36,119.485,119.29,2832,119.355,2017-01-04T18:00:00Z,215814,119.395344
119.5,119.52,119.335,3408,119.36,2017-01-04T19:00:00Z,294187,119.439759
119.48,119.61,119.42,7603,119.49,2017-01-04T20:00:00Z,719356,119.514833
119.1379,119.48,119.1379,17,119.48,2017-01-04T21:00:00Z,597912,119.476705
119.54,119.599,119.1,1990,119.25,2017-01-05T14:00:00Z,220838,119.341996
119.92,119.94,119.33,3931,119.54,2017-01-05T15:00:00Z,409880,119.652993
119.77,119.93,119.58,3317,119.91,2017-01-05T16:00:00Z,316216,119.768152
119.94,120.2,119.74,3789,119.77,2017-01-05T17:00:00Z,532092,120.001505
119.91,120.09,119.77,3755,119.94,2017-01-05T18:00:00Z,401518,119.950494
119.805,120.0,119.78,3835,119.9,2017-01-05T19:00:00Z,336964,119.903552
119.68,119.94,119.61,8555,119.8,2017-01-05T20:00:00Z,913430,119.778401
119.7,119.7409,119.7,29,119.7,2017-01-05T21:00:00Z,865221,119.70036
118.59,119.38,118.59,10,119.38,2017-01-06T11:00:00Z,793,119.092194
119.0,119.0,119.0,1,119.0,2017-01-06T12:00:00Z,100,119.0
118.73,119.0,118.73,4,118.73,2017-01-06T13:00:00Z,600,118.865
