c,h,l,n,o,t,v,vw
179.5,179.5,179.5,1,179.5,2017-01-03T10:00:00Z,100,179.5
178.57,178.81,178.57,25,178.57,2017-01-03T13:00:00Z,6966,178.626733
178.92,180.0,178.68,2731,179.0,2017-01-03T14:00:00Z,505013,179.330252
177.84,179.54,177.69,2761,178.95,2017-01-03T15:00:00Z,302378,178.888146
177.585,177.96,177.29,2617,177.84,2017-01-03T16:00:00Z,237054,177.563004
178.22,178.22,177.47,2318,177.6052,2017-01-03T17:00:00Z,204794,177.857632
177.305,178.18,177.22,1824,178.18,2017-01-03T18:00:00Z,116948,177.550042
177.59,177.66,177.23,2781,177.3,2017-01-03T19:00:00Z,192259,177.467894
177.99,178.09,177.44,5848,177.61,2017-01-03T20:00:00Z,456385,177.796207
177.73,178.05,177.73,15,177.98,2017-01-03T21:00:00Z,1119994,178.049912
178.23,178.9,178.03,1432,178.03,2017-01-04T14:00:00Z,169713,178.361139
177.96,178.49,177.61,2873,178.24,2017-01-04T15:00:00Z,261949,177.906096
178.17,178.35,177.9,1803,177.95,2017-01-04T16:00:00Z,133434,178.198077
178.29,178.51,178.16,1540,178.185,2017-01-04T17:00:00Z,202971,178.338944
178.0,178.301,177.91,1629,178.29,2017-01-04T18:00:00Z,122458,178.139429
177.918,178.23,177.78,2011,177.96,2017-01-04T19:00:00Z,125998,177.988478
178.31,178.37,177.91,4400,177.94,2017-01-04T20:00:00Z,329257,178.202696
178.24,178.32,178.1785,17,178.32,2017-01-04T21:00:00Z,408915,178.319762
178.72,179.0,178.26,1216,178.32,2017-01-05T14:00:00Z,134344,178.574755
179.04,179.14,178.6363,2131,178.72,2017-01-05T15:00:00Z,164395,178.911981
177.2,179.0601,177.15,2584,179.04,2017-01-05T16:00:00Z,196929,177.851054
177.3,177.44,176.91,2048,177.24,2017-01-05T17:00:00Z,163718,177.20914
177.03,177.33,176.89,1999,177.3,2017-01-05T18:00:00Z,175880,177.074642
177.316,177.41,176.98,2106,177.01,2017-01-05T19:00:00Z,166842,177.205108
177.71,177.77,177.32,3567,177.32,2017-01-05T20:00:00Z,259042,177.597273
177.71,177.71,177.7,23,177.7,2017-01-05T21:00:00Z,339585,177.709995
177.31,177.31,177.31,2,177.31,2017-01-06T00:00:00Z,280,177.319429
177.02,177.47,175.8,2249,177.29,2017-01-06T14:00:00Z,269755,176.679205
177.42,177.48,176.98,2486,177.03,2017-01-06T15:00:00Z,215386,177.177092
177.94,178.0,177.35,2304,177.4,2017-01-06T16:00:00Z,199367,177.65901
178.15,178.38,177.9,2012,177.95,2017-01-06T17:00:00Z,140241,178.138798
178.25,178.6,178.15,2041,178.155,2017-01-06T18:00:00Z,157556,178.343172
178.125,178.36,177.97,2110,178.25,2017-01-06T19:00:00Z,157539,178.14094
178.23,178.5,178.05,4870,178.125,2017-01-06T20:00:00Z,345948,178.277415
178.23,178.23,178.23,11,178.23,2017-01-06T21:00:00Z,330481,178.23
178.0,178.0,178.0,2,178.0,2017-01-09T13:00:00Z,200,178.0
178.04,178.38,177.545,1582,178.1,2017-01-09T14:00:00Z,167613,177.944079
177.8601,178.13,177.53,2109,178.05,2017-01-09T15:00:00Z,136814,177.800612
177.9,178.05,177.65,1559,177.9,2017-01-09T16:00:00Z,150308,177.907979
177.57,177.94,177.5,1394,177.89,2017-01-09T17:00:00Z,86995,177.713048
177.2575,177.6064,177.2,1431,177.59,2017-01-09T18:00:00Z,94221,177.368477
177.44,177.55,177.24,1789,177.28,2017-01-09T19:00:00Z,125720,177.380218
177.36,177.53,177.25,3837,177.39,2017-01-09T20:00:00Z,298032,177.383522
177.27,177.3,177.27,18,177.27,2017-01-09T21:00:00Z,921908,177.269992
177.09,177.45,176.91,1124,177.28,2017-01-10T14:00:00Z,192234,177.231812
177.03,177.335,176.91,2178,177.15,2017-01-10T15:00:00Z,209603,177.090436
177.173,177.34,177.01,2246,177.03,2017-01-10T16:00:00Z,172459,177.208014
177.23,177.49,177.08,2114,177.1601,2017-01-10T17:00:00Z,230671,177.276587
176.62,177.28,176.62,1930,177.22,2017-01-10T18:00:00Z,140958,177.023515
176.48,176.66,176.3101,2574,176.6,2017-01-10T19:00:00Z,173087,176.46346
176.59,176.88,176.47,5898,176.47,2017-01-10T20:00:00Z,422903,176.680484
176.58,176.58,176.58,16,176.58,2017-01-10T21:00:00Z,907667,176.58
176.42,176.45,176.42,4,176.45,2017-01-10T22:00:00Z,400,176.4275
176.3,176.3,176.3,4,176.3,2017-01-11T00:00:00Z,330,176.319545
177.31,177.31,176.39,1430,176.63,2017-01-11T14:00:00Z,206446,176.931187
177.935,178.1014,177.31,3015,177.38,2017-01-11T15:00:00Z,261112,177.748879
177.61,178.45,176.93,2638,177.94,2017-01-11T16:00:00Z,207852,177.673988
177.511,177.94,177.15,1508,177.62,2017-01-11T17:00:00Z,113323,177.591913
177.47,177.72,177.18,1638,177.52,2017-01-11T18:00:00Z,119469,177.451973
177.5925,177.97,177.46,1912,177.51,2017-01-11T19:00:00Z,149157,177.655722
177.82,177.9,177.58,4189,177.59,2017-01-11T20:00:00Z,356773,177.746841
177.89,177.89,177.89,18,177.89,2017-01-11T21:00:00Z,344739,177.89
177.89,177.89,177.89,1,177.89,2017-01-12T00:00:00Z,100,177.89
176.35,177.075,176.22,1729,176.97,2017-01-12T14:00:00Z,204615,176.651993
176.08,176.58,175.75,2432,176.52,2017-01-12T15:00:00Z,241344,176.223725
176.09,176.4,175.83,2248,176.03,2017-01-12T16:00:00Z,163434,176.102663
176.65,176.85,176.05,1777,176.08,2017-01-12T17:00:00Z,136711,176.48114
177.085,177.16,176.63,1494,176.63,2017-01-12T18:00:00Z,117706,176.955148
177.51,177.54,177.01,1844,177.1,2017-01-12T19:00:00Z,141063,177.30689
177.45,177.7,177.41,3560,177.52,2017-01-12T20:00:00Z,235643,177.545324
177.44,177.44,177.44,9,177.44,2017-01-12T21:00:00Z,188033,177.44
176.94,177.91,176.83,1345,177.48,2017-01-13T14:00:00Z,163554,177.420423
177.5439,177.59,176.87,2023,176.95,2017-01-13T15:00:00Z,174315,177.277056
177.66,177.84,177.366,1558,177.55,2017-01-13T16:00:00Z,117332,177.625916
177.43,177.79,177.16,1499,177.645,2017-01-13T17:00:00Z,110899,177.466737
177.66,177.72,177.34,1255,177.44,2017-01-13T18:00:00Z,80469,177.570613
177.58,177.74,177.34,1690,177.64,2017-01-13T19:00:00Z,135504,177.483934
177.39,177.5517,177.2,4106,177.55,2017-01-13T20:00:00Z,354353,177.360647
177.39,177.39,177.39,10,177.39,2017-01-13T21:00:00Z,303522,177.39
177.98,177.98,177.98,2,177.98,2017-01-17T12:00:00Z,280,177.98
