c,h,l,n,o,t,v,vw
59.2,59.25,58.87,9,59.14,2017-01-03T13:00:00Z,7755,58.895048
59.76,59.8,59.01,6074,59.17,2017-01-03T14:00:00Z,1315999,59.441104
60.0,60.34,59.73,16218,59.76,2017-01-03T15:00:00Z,2772204,60.079384
60.07,60.2,59.92,8799,60.0,2017-01-03T16:00:00Z,1422361,60.039547
60.28,60.3,60.0,7224,60.07,2017-01-03T17:00:00Z,1292696,60.136029
60.18,60.38,60.15,6041,60.28,2017-01-03T18:00:00Z,768704,60.267536
60.12,60.25,60.09,7908,60.1867,2017-01-03T19:00:00Z,888901,60.156411
60.13,60.155,60.01,16251,60.13,2017-01-03T20:00:00Z,2440854,60.082052
60.15,60.15,60.15,21,60.15,2017-01-03T21:00:00Z,2344561,60.15
60.25,60.25,60.25,2,60.25,2017-01-04T00:00:00Z,416,60.25
60.58,60.79,60.33,7474,60.56,2017-01-04T14:00:00Z,1443813,60.58063
60.22,60.58,60.07,9302,60.58,2017-01-04T15:00:00Z,1195746,60.271167
60.5,60.53,60.16,8692,60.225,2017-01-04T16:00:00Z,1115009,60.356763
60.15,60.635,60.11,7425,60.51,2017-01-04T17:00:00Z,970448,60.40354
60.08,60.29,60.08,6064,60.16,2017-01-04T18:00:00Z,972382,60.181596
60.085,60.17,60.04,7755,60.085,2017-01-04T19:00:00Z,1036575,60.099153
60.12,60.215,60.05,13213,60.085,2017-01-04T20:00:00Z,1813273,60.11263
60.2825,60.3078,60.13,26,60.13,2017-01-04T21:00:00Z,1856568,60.132131
60.07,60.43,60.0,4543,60.13,2017-01-05T14:00:00Z,1000133,60.203463
60.29,60.36,60.065,6586,60.07,2017-01-05T15:00:00Z,790341,60.169235
60.56,60.58,60.1,6660,60.3,2017-01-05T16:00:00Z,1118537,60.312038
60.29,60.57,60.29,4548,60.565,2017-01-05T17:00:00Z,772605,60.433191
60.245,60.33,60.185,6194,60.29,2017-01-05T18:00:00Z,801792,60.25489
60.135,60.31,60.06,8706,60.24,2017-01-05T19:00:00Z,1169905,60.185676
60.12,60.25,60.065,16174,60.135,2017-01-05T20:00:00Z,2337652,60.140768
60.2401,60.2401,60.1,21,60.1,2017-01-05T21:00:00Z,2129128,60.110042
60.23,60.23,60.0,3,60.02,2017-01-05T22:00:00Z,1100,60.031818
60.0,60.0,60.0,1,60.0,2017-01-06T00:00:00Z,350,60.0
60.54,60.54,60.54,1,60.54,2017-01-06T13:00:00Z,150,60.54
59.72,60.25,59.53,9262,60.09,2017-01-06T14:00:00Z,1810519,59.86479
59.97,60.11,59.58,10897,59.72,2017-01-06T15:00:00Z,1698443,59.897764
60.12,60.27,59.94,7193,59.98,2017-01-06T16:00:00Z,1033190,60.038415
60.351,60.38,60.06,5155,60.12,2017-01-06T17:00:00Z,707742,60.26859
60.3854,60.44,60.31,5568,60.36,2017-01-06T18:00:00Z,623937,60.367482
60.41,60.46,60.34,6701,60.38,2017-01-06T19:00:00Z,848904,60.404874
60.3,60.43,60.26,12513,60.4119,2017-01-06T20:00:00Z,1669004,60.346976
60.1575,60.27,60.1575,15,60.27,2017-01-06T21:00:00Z,3642359,60.269979
60.27,60.54,60.27,29,60.5,2017-01-09T13:00:00Z,3401,60.49112
60.32,60.43,60.08,5104,60.31,2017-01-09T14:00:00Z,1147233,60.276107
60.5467,60.625,60.2501,6305,60.33,2017-01-09T15:00:00Z,785491,60.434692
60.7487,60.77,60.46,5981,60.54,2017-01-09T16:00:00Z,835775,60.578255
61.19,61.2,60.7,7249,60.74,2017-01-09T17:00:00Z,1283379,60.922921
61.38,61.48,61.15,7733,61.185,2017-01-09T18:00:00Z,1424499,61.323463
61.315,61.41,61.28,7471,61.385,2017-01-09T19:00:00Z,994988,61.31718
61.11,61.32,61.06,15142,61.31,2017-01-09T20:00:00Z,2218504,61.200442
61.1,61.11,60.9903,20,61.1,2017-01-09T21:00:00Z,2323806,61.099961
61.25,61.25,61.25,2,61.25,2017-01-09T23:00:00Z,300,61.25
