c,h,l,n,o,t,v,vw
62.66,62.71,62.65,33,62.71,2017-01-03T09:00:00Z,4558,62.694215
62.8,62.85,62.8,4,62.85,2017-01-03T11:00:00Z,1100,62.804545
62.8,62.85,62.8,10,62.85,2017-01-03T12:00:00Z,3340,62.835928
62.55,62.8,62.14,58,62.8,2017-01-03T13:00:00Z,35366,62.428928
62.57,62.82,62.42,17381,62.6,2017-01-03T14:00:00Z,3856791,62.635993
62.34,62.84,62.33,18961,62.57,2017-01-03T15:00:00Z,2594990,62.625373
62.41,62.48,62.25,19386,62.34,2017-01-03T16:00:00Z,2661658,62.348954
62.37,62.43,62.285,9180,62.42,2017-01-03T17:00:00Z,1230945,62.355475
62.27,62.42,62.24,10681,62.37,2017-01-03T18:00:00Z,1702424,62.324742
62.23,62.33,62.14,11655,62.265,2017-01-03T19:00:00Z,1623657,62.231836
62.57,62.58,62.125,27510,62.23,2017-01-03T20:00:00Z,4572167,62.364476
62.44,62.58,62.44,70,62.57,2017-01-03T21:00:00Z,5110079,62.579714
62.42,62.44,62.42,18,62.44,2017-01-03T22:00:00Z,99083,62.439647
62.42,62.42,62.4,2,62.4,2017-01-03T23:00:00Z,300,62.413333
62.42,62.42,62.42,2,62.42,2017-01-04T00:00:00Z,151,62.42
62.5,62.67,62.5,4,62.67,2017-01-04T09:00:00Z,942,62.597813
62.6,62.6,62.6,2,62.6,2017-01-04T12:00:00Z,300,62.602567
62.6,62.6,62.6,5,62.6,2017-01-04T13:00:00Z,1428,62.60131
62.25,62.75,62.24,15040,62.6,2017-01-04T14:00:00Z,3011192,62.465509
62.35,62.37,62.15,17110,62.23,2017-01-04T15:00:00Z,2456310,62.248445
62.21,62.39,62.2,12974,62.35,2017-01-04T16:00:00Z,1753472,62.266528
62.19,62.28,62.12,12712,62.22,2017-01-04T17:00:00Z,1863546,62.202452
62.21,62.31,62.16,12910,62.1919,2017-01-04T18:00:00Z,1842147,62.226111
62.38,62.5,62.19,14858,62.21,2017-01-04T19:00:00Z,1954524,62.369789
62.2848,62.445,62.23,26504,62.37,2017-01-04T20:00:00Z,4342835,62.325502
62.3,62.3,62.14,60,62.3,2017-01-04T21:00:00Z,5847860,62.299895
62.3,62.3,62.3,2,62.3,2017-01-04T22:00:00Z,21980,62.3
62.3,62.3,62.3,1,62.3,2017-01-04T23:00:00Z,100,62.3
62.3,62.3,62.3,11,62.3,2017-01-05T11:00:00Z,1557,62.3
