c,h,l,n,o,t,v,vw
84.6,84.6,84.6,1,84.6,2017-01-03T12:00:00Z,236,84.6
84.45,84.55,84.08,12,84.08,2017-01-03T13:00:00Z,7544,84.198364
84.1,84.3,83.5,6449,84.28,2017-01-03T14:00:00Z,1521965,83.845214
84.26,84.39,83.96,9822,84.0902,2017-01-03T15:00:00Z,1330763,84.14981
84.13,84.27,83.95,8128,84.26,2017-01-03T16:00:00Z,1029303,84.114813
84.02,84.211,83.82,6154,84.13,2017-01-03T17:00:00Z,775928,84.013001
83.82,84.06,83.79,4772,84.02,2017-01-03T18:00:00Z,667955,83.916865
83.94,83.97,83.82,5375,83.83,2017-01-03T19:00:00Z,754873,83.920853
84.2,84.25,83.76,14089,83.935,2017-01-03T20:00:00Z,1994835,84.032394
84.2,84.2,84.2,20,84.2,2017-01-03T21:00:00Z,1877997,84.2
84.49,84.6016,84.2354,4830,84.45,2017-01-04T14:00:00Z,1212268,84.478457
84.45,84.56,84.35,5871,84.495,2017-01-04T15:00:00Z,732937,84.438525
84.335,84.57,84.26,6480,84.44,2017-01-04T16:00:00Z,800257,84.382181
84.29,84.42,84.265,4642,84.339,2017-01-04T17:00:00Z,575464,84.328374
84.375,84.41,84.25,5551,84.29,2017-01-04T18:00:00Z,669822,84.321428
84.43,84.545,84.37,5837,84.375,2017-01-04T19:00:00Z,786203,84.452522
84.49,84.555,84.37,12594,84.44,2017-01-04T20:00:00Z,1567009,84.464538
84.5,84.5,84.3622,27,84.5,2017-01-04T21:00:00Z,3482331,84.499953
84.11,84.11,84.11,1,84.11,2017-01-05T12:00:00Z,180,84.11
84.5,84.64,84.3,3495,84.5,2017-01-05T14:00:00Z,782983,84.515139
84.8,84.86,84.45,8161,84.5,2017-01-05T15:00:00Z,1044746,84.590152
85.24,85.4274,84.8,7946,84.8057,2017-01-05T16:00:00Z,1320205,85.106744
84.93,85.2457,84.79,5634,85.24,2017-01-05T17:00:00Z,937869,85.051202
85.1,85.1,84.91,4110,84.93,2017-01-05T18:00:00Z,486333,85.007245
85.14,85.205,85.01,5268,85.09,2017-01-05T19:00:00Z,583682,85.113137
85.06,85.18,85.025,10075,85.13,2017-01-05T20:00:00Z,1206677,85.08866
85.06,85.16,85.06,25,85.13,2017-01-05T21:00:00Z,1051879,85.06006
84.82,85.05,84.62,3221,84.941,2017-01-06T14:00:00Z,637919,84.848875
85.04,85.1,84.74,5737,84.81,2017-01-06T15:00:00Z,581692,84.915174
85.05,85.16,85.0,4785,85.03,2017-01-06T16:00:00Z,524716,85.066363
85.1132,85.19,85.01,4179,85.0433,2017-01-06T17:00:00Z,459455,85.102654
85.045,85.13,85.01,4550,85.1151,2017-01-06T18:00:00Z,463015,85.05309
85.21,85.25,85.03,5425,85.045,2017-01-06T19:00:00Z,588330,85.145194
85.06,85.22,85.02,9051,85.215,2017-01-06T20:00:00Z,1023822,85.143108
84.98,85.15,84.98,17,84.99,2017-01-06T21:00:00Z,1194376,85.030002
84.22,84.7,84.12,14,84.7,2017-01-09T10:00:00Z,2753,84.287908
83.9,84.2,83.8,33,84.15,2017-01-09T11:00:00Z,5133,84.004987
84.0,84.0,83.9,12,83.9,2017-01-09T12:00:00Z,3409,83.968149
84.2,84.28,83.9,77,84.1,2017-01-09T13:00:00Z,21253,84.047144
84.3,84.58,83.75,9745,84.11,2017-01-09T14:00:00Z,2051553,84.229128
84.3,84.66,84.19,11782,84.29,2017-01-09T15:00:00Z,1538795,84.366449
84.105,84.339,84.05,7662,84.2999,2017-01-09T16:00:00Z,930965,84.184077
84.2,84.23,84.04,5548,84.1,2017-01-09T17:00:00Z,859845,84.120167
84.2958,84.3,84.17,5088,84.19,2017-01-09T18:00:00Z,781038,84.244608
84.35,84.48,84.27,7231,84.2999,2017-01-09T19:00:00Z,1291791,84.387006
84.39,84.42,84.26,14093,84.35,2017-01-09T20:00:00Z,2321913,84.340823
84.4,84.4,84.4,15,84.4,2017-01-09T21:00:00Z,2375307,84.4
84.22,84.23,84.22,3,84.23,2017-01-09T22:00:00Z,1400,84.225
84.39,84.39,84.39,1,84.39,2017-01-10T13:00:00Z,200,84.39
83.78,84.43,83.75,6757,84.4,2017-01-10T14:00:00Z,1251506,84.093362
83.7744,84.08,83.77,8898,83.78,2017-01-10T15:00:00Z,1082743,83.891819
83.66,83.95,83.66,8208,83.77,2017-01-10T16:00:00Z,1135668,83.802566
83.81,83.85,83.57,6919,83.6666,2017-01-10T17:00:00Z,934338,83.711626
83.715,83.865,83.68,7436,83.8041,2017-01-10T18:00:00Z,914242,83.797058
83.34,83.715,83.3,9796,83.7,2017-01-10T19:00:00Z,1223882,83.499146
83.49,83.63,83.24,14879,83.34,2017-01-10T20:00:00Z,2530204,83.44073
83.49,83.49,83.43,18,83.43,2017-01-10T21:00:00Z,3727971,83.489977
83.5,83.5,83.5,3,83.5,2017-01-10T22:00:00Z,280,83.502143
83.55,83.55,83.55,1,83.55,2017-01-10T23:00:00Z,100,83.55
83.89,83.89,83.89,2,83.89,2017-01-11T13:00:00Z,447,83.89
83.65,83.82,83.26,7492,83.58,2017-01-11T14:00:00Z,1611144,83.486765
83.39,83.68,83.29,9860,83.645,2017-01-11T15:00:00Z,1446082,83.485209
83.51,83.52,83.275,8320,83.39,2017-01-11T16:00:00Z,1152458,83.387858
83.49,83.58,83.3901,5765,83.52,2017-01-11T17:00:00Z,695789,83.487184
83.55,83.58,83.41,5822,83.49,2017-01-11T18:00:00Z,675908,83.491158
