c,h,l,n,o,t,v,vw
122.42,122.42,122.42,1,122.42,2017-01-03T13:00:00Z,1267,122.42
121.21,123.07,121.13,1941,123.07,2017-01-03T14:00:00Z,251233,122.142022
120.41,121.59,120.37,2505,121.21,2017-01-03T15:00:00Z,231729,121.018639
121.01,121.06,120.26,2153,120.41,2017-01-03T16:00:00Z,189156,120.61785
120.88,121.03,120.71,1524,121.01,2017-01-03T17:00:00Z,116822,120.876507
120.72,121.06,120.62,1742,120.89,2017-01-03T18:00:00Z,138115,120.83956
120.72,120.92,120.55,2126,120.72,2017-01-03T19:00:00Z,173048,120.755406
120.93,121.0,120.54,4977,120.71,2017-01-03T20:00:00Z,426223,120.828416
120.9,120.9,120.9,8,120.9,2017-01-03T21:00:00Z,775786,120.9
121.18,121.74,120.85,1406,120.87,2017-01-04T14:00:00Z,187152,121.293553
120.98,121.41,120.87,2748,121.2,2017-01-04T15:00:00Z,247427,121.120384
120.51,121.15,120.44,2351,120.99,2017-01-04T16:00:00Z,219712,120.777454
120.43,120.66,120.42,1958,120.51,2017-01-04T17:00:00Z,168042,120.525382
120.485,120.66,120.37,1735,120.45,2017-01-04T18:00:00Z,134778,120.524626
120.69,120.75,120.34,2160,120.51,2017-01-04T19:00:00Z,163667,120.604552
120.25,120.8,120.22,5583,120.69,2017-01-04T20:00:00Z,518525,120.473792
120.25,120.7792,120.25,17,120.25,2017-01-04T21:00:00Z,231469,120.259729
109.65,109.65,109.65,7,109.65,2017-01-05T11:00:00Z,1000,109.89662
118.5,119.45,118.5,5,119.45,2017-01-05T13:00:00Z,1300,118.646154
119.39,120.25,118.57,1843,120.25,2017-01-05T14:00:00Z,260881,119.161875
118.59,119.5,118.5,3856,119.39,2017-01-05T15:00:00Z,558840,118.892895
117.96,118.65,117.28,5139,118.61,2017-01-05T16:00:00Z,591005,117.900655
118.1365,118.46,117.89,2672,117.97,2017-01-05T17:00:00Z,249535,118.197272
118.21,118.23,118.03,1719,118.11,2017-01-05T18:00:00Z,146030,118.132351
118.2,118.43,118.19,2342,118.2,2017-01-05T19:00:00Z,204125,118.291167
118.32,118.39,118.07,6083,118.19,2017-01-05T20:00:00Z,541872,118.207241
118.01,118.33,118.01,16,118.33,2017-01-05T21:00:00Z,248067,118.329609
