c,h,l,n,o,t,v,vw
162.57,162.57,162.57,1,162.57,2017-01-03T11:00:00Z,270,162.57
161.06,161.06,161.06,1,161.06,2017-01-03T13:00:00Z,500,161.06
159.64,162.27,159.2,3356,161.29,2017-01-03T14:00:00Z,436594,160.83687
159.78,160.57,159.325,4312,159.63,2017-01-03T15:00:00Z,396981,159.983631
159.55,159.97,159.28,4826,159.79,2017-01-03T16:00:00Z,496777,159.684597
159.7,160.08,159.15,3729,159.57,2017-01-03T17:00:00Z,456943,159.65887
160.27,160.47,159.68,2859,159.76,2017-01-03T18:00:00Z,230681,160.147639
160.88,160.99,160.28,4676,160.28,2017-01-03T19:00:00Z,436977,160.563517
161.36,161.5,160.87,7848,160.87,2017-01-03T20:00:00Z,650318,161.248866
161.66,161.66,161.45,16,161.45,2017-01-03T21:00:00Z,748837,161.343331
162.4,162.4,162.4,1,162.4,2017-01-04T13:00:00Z,108,162.4
161.2,162.58,161.06,2669,162.37,2017-01-04T14:00:00Z,331742,161.718489
160.33,161.31,159.74,4781,161.29,2017-01-04T15:00:00Z,438967,160.406067
160.99,161.3,160.11,3237,160.3,2017-01-04T16:00:00Z,266248,160.634212
161.075,161.41,160.98,2285,161.01,2017-01-04T17:00:00Z,194116,161.213921
160.89,161.27,160.78,2687,161.09,2017-01-04T18:00:00Z,236446,161.055552
161.45,161.74,160.83,3380,160.89,2017-01-04T19:00:00Z,326298,161.327764
161.87,162.09,161.4,6063,161.44,2017-01-04T20:00:00Z,493282,161.807095
161.91,161.91,161.29,21,161.91,2017-01-04T21:00:00Z,598017,161.90958
162.65,162.65,162.65,1,162.65,2017-01-04T22:00:00Z,100,162.65
162.2,162.3299,161.51,1962,161.91,2017-01-05T14:00:00Z,226703,161.936227
162.09,162.63,161.91,4401,162.2,2017-01-05T15:00:00Z,454267,162.188764
161.86,162.56,161.66,3664,162.07,2017-01-05T16:00:00Z,363964,162.131289
161.77,161.95,161.52,2883,161.82,2017-01-05T17:00:00Z,324402,161.715537
162.05,162.18,161.7681,1592,161.77,2017-01-05T18:00:00Z,130633,162.033417
162.145,162.2699,161.98,2573,162.03,2017-01-05T19:00:00Z,216639,162.086801
162.17,162.28,161.96,5443,162.13,2017-01-05T20:00:00Z,433822,162.125659
162.18,162.18,162.18,19,162.18,2017-01-05T21:00:00Z,721865,162.18
162.1,162.1,162.1,1,162.1,2017-01-05T23:00:00Z,100,162.1
161.34,162.5,161.11,2717,161.75,2017-01-06T14:00:00Z,366529,161.483116
161.72,162.115,161.3,3621,161.38,2017-01-06T15:00:00Z,367486,161.697276
161.84,161.99,161.63,2768,161.745,2017-01-06T16:00:00Z,269645,161.827208
162.7069,162.71,161.835,2174,161.86,2017-01-06T17:00:00Z,239626,162.233029
162.44,162.94,162.18,2878,162.685,2017-01-06T18:00:00Z,238801,162.560944
162.7,162.77,162.3,3876,162.45,2017-01-06T19:00:00Z,337627,162.535932
162.45,162.74,162.3,6649,162.7,2017-01-06T20:00:00Z,591477,162.514396
162.41,162.41,162.41,13,162.41,2017-01-06T21:00:00Z,490000,162.41
162.0,162.0,162.0,3,162.0,2017-01-09T10:00:00Z,290,162.058966
161.35,161.58,161.35,6,161.58,2017-01-09T13:00:00Z,1155,161.471169
161.28,162.45,160.78,2986,161.43,2017-01-09T14:00:00Z,367232,161.481539
161.57,161.695,160.89,4726,161.29,2017-01-09T15:00:00Z,474001,161.327909
161.64,161.87,161.5,3394,161.59,2017-01-09T16:00:00Z,312135,161.634506
161.35,161.815,161.13,3763,161.64,2017-01-09T17:00:00Z,322929,161.451636
161.67,161.865,161.33,2944,161.33,2017-01-09T18:00:00Z,261830,161.723409
161.84,161.96,161.57,3474,161.69,2017-01-09T19:00:00Z,278235,161.755291
161.96,162.16,161.74,6849,161.84,2017-01-09T20:00:00Z,649120,161.939786
161.95,161.95,161.95,15,161.95,2017-01-09T21:00:00Z,720311,161.95
161.5,161.5,161.5,1,161.5,2017-01-09T23:00:00Z,100,161.5
161.52,161.95,160.5,2735,161.95,2017-01-10T14:00:00Z,336952,161.184208
162.118,162.24,161.44,4010,161.53,2017-01-10T15:00:00Z,379216,161.787183
162.48,162.98,162.06,3929,162.1,2017-01-10T16:00:00Z,386156,162.636526
161.83,162.66,161.64,4490,162.49,2017-01-10T17:00:00Z,463787,162.192841
161.67,162.34,161.661,3788,161.85,2017-01-10T18:00:00Z,347246,161.918169
161.99,162.06,161.4,3755,161.67,2017-01-10T19:00:00Z,398556,161.696706
161.61,162.14,161.53,6887,162.01,2017-01-10T20:00:00Z,638912,161.836235
161.58,161.58,161.58,18,161.58,2017-01-10T21:00:00Z,858302,161.58
162.0,162.0,161.98,19,161.98,2017-01-10T22:00:00Z,3200,161.98625
161.83,161.85,160.78,2254,161.3,2017-01-11T14:00:00Z,268013,161.26602
162.06,162.94,161.76,4748,161.88,2017-01-11T15:00:00Z,474189,162.376638
161.81,162.23,160.6101,5931,162.08,2017-01-11T16:00:00Z,482868,161.434332
161.03,161.98,160.7,3308,161.8,2017-01-11T17:00:00Z,293664,161.351169
161.72,161.9,160.74,3492,161.05,2017-01-11T18:00:00Z,289039,161.357662
161.88,162.2312,161.67,3772,161.72,2017-01-11T19:00:00Z,323823,161.920974
161.86,162.0,161.69,6438,161.88,2017-01-11T20:00:00Z,558531,161.849302
161.6,161.89,161.6,25,161.83,2017-01-11T21:00:00Z,851495,161.888525
162.89,162.89,162.05,11,162.05,2017-01-11T23:00:00Z,1214,162.715239
162.5,162.5,162.5,2,162.5,2017-01-12T00:00:00Z,200,162.5
161.65,161.78,160.89,1932,161.66,2017-01-12T14:00:00Z,218872,161.429316
162.7,162.94,161.2305,4182,161.65,2017-01-12T15:00:00Z,414664,162.045463
161.68,162.7,161.41,3588,162.66,2017-01-12T16:00:00Z,317601,161.949585
161.96,162.24,161.66,3083,161.68,2017-01-12T17:00:00Z,273935,161.963922
162.5575,162.71,161.9,2784,161.93,2017-01-12T18:00:00Z,228882,162.31521
162.34,162.58,162.07,3221,162.5445,2017-01-12T19:00:00Z,324302,162.398109
162.35,162.6,162.26,5770,162.34,2017-01-12T20:00:00Z,488724,162.401097
162.36,162.4,162.36,15,162.4,2017-01-12T21:00:00Z,451021,162.360121
162.36,162.36,162.36,1,162.36,2017-01-12T22:00:00Z,8073,162.36
161.7,162.739,161.52,2521,162.36,2017-01-13T14:00:00Z,363825,162.057772
161.7801,162.36,161.66,4559,161.75,2017-01-13T15:00:00Z,463495,162.012667
