c,h,l,n,o,t,v,vw
78.02,78.6,78.02,8,78.38,2017-01-03T13:00:00Z,10453,78.148002
79.3116,79.35,78.49,6842,78.6,2017-01-03T14:00:00Z,1569059,78.989942
79.29,79.91,79.24,12038,79.32,2017-01-03T15:00:00Z,1760741,79.512378
79.65,79.65,79.17,10302,79.3,2017-01-03T16:00:00Z,1545219,79.45047
79.615,79.715,79.5225,6002,79.65,2017-01-03T17:00:00Z,774292,79.608677
79.5,79.91,79.49,6918,79.62,2017-01-03T18:00:00Z,872596,79.706719
79.361,79.5,79.255,8808,79.4984,2017-01-03T19:00:00Z,1075914,79.39234
79.49,79.54,79.21,18517,79.37,2017-01-03T20:00:00Z,2447495,79.381006
79.4,79.65,79.4,30,79.5,2017-01-03T21:00:00Z,7768069,79.49998
79.45,79.45,79.41,7,79.41,2017-01-03T22:00:00Z,2430,79.446296
79.5,79.5,79.41,12,79.45,2017-01-03T23:00:00Z,3365,79.461724
79.5,79.5,79.5,2,79.5,2017-01-04T00:00:00Z,3882,79.5
79.25,79.25,79.25,2,79.25,2017-01-04T11:00:00Z,200,79.25
79.25,79.25,79.25,5,79.25,2017-01-04T12:00:00Z,610,79.25
79.39,79.39,79.25,8,79.25,2017-01-04T13:00:00Z,3500,79.386
79.7939,79.865,79.36,5405,79.47,2017-01-04T14:00:00Z,896140,79.631481
79.98,80.07,79.78,8075,79.79,2017-01-04T15:00:00Z,1242409,79.916828
80.12,80.125,79.9709,6351,79.99,2017-01-04T16:00:00Z,892948,80.033968
79.925,80.13,79.92,4894,80.12,2017-01-04T17:00:00Z,616903,80.031537
80.01,80.05,79.9,5195,79.92,2017-01-04T18:00:00Z,737405,79.970975
80.0434,80.12,79.99,5926,80.005,2017-01-04T19:00:00Z,742433,80.049967
80.14,80.26,80.0,12893,80.0435,2017-01-04T20:00:00Z,1660086,80.11554
80.15,80.15,79.99,22,80.14,2017-01-04T21:00:00Z,2375557,80.149985
80.14,80.14,80.14,1,80.14,2017-01-04T22:00:00Z,400,80.14
80.03,80.03,80.03,1,80.03,2017-01-04T23:00:00Z,1200,80.03
80.04,80.04,80.04,2,80.04,2017-01-05T00:00:00Z,300,80.0442
80.1,80.1,80.1,4,80.1,2017-01-05T12:00:00Z,400,80.1
80.15,80.15,80.15,7,80.15,2017-01-05T13:00:00Z,488,80.163156
81.1865,81.3,80.15,6909,80.15,2017-01-05T14:00:00Z,1415914,80.771741
81.08,81.53,81.05,8677,81.18,2017-01-05T15:00:00Z,1145908,81.322702
80.9455,81.16,80.815,7423,81.09,2017-01-05T16:00:00Z,944491,80.974323
80.96,80.99,80.81,5733,80.94,2017-01-05T17:00:00Z,676769,80.906833
81.01,81.15,80.96,5217,80.965,2017-01-05T18:00:00Z,603094,81.052641
81.05,81.11,80.98,6402,81.0,2017-01-05T19:00:00Z,703543,81.046558
81.1,81.21,81.02,12589,81.04,2017-01-05T20:00:00Z,1704172,81.143138
81.09,81.3,81.09,19,81.09,2017-01-05T21:00:00Z,1229827,81.090103
81.0,81.14,81.0,13,81.14,2017-01-05T22:00:00Z,1700,81.048824
81.09,81.29,81.09,9,81.28,2017-01-05T23:00:00Z,2192,81.23781
81.29,81.45,80.94,4756,81.29,2017-01-06T14:00:00Z,928785,81.24118
81.5,81.65,81.23,8227,81.26,2017-01-06T15:00:00Z,1024623,81.444559
81.925,81.93,81.38,8386,81.5,2017-01-06T16:00:00Z,1181527,81.640718
82.32,82.33,81.875,6946,81.92,2017-01-06T17:00:00Z,1091309,82.08953
82.365,82.49,82.21,6935,82.31,2017-01-06T18:00:00Z,961617,82.356295
82.32,82.43,82.26,9070,82.36,2017-01-06T19:00:00Z,1164421,82.33646
82.23,82.36,82.19,14412,82.325,2017-01-06T20:00:00Z,1951928,82.260668
82.31,82.31,82.21,23,82.22,2017-01-06T21:00:00Z,1327297,82.210087
82.25,82.3,82.25,2,82.3,2017-01-06T22:00:00Z,500,82.28
