c,h,l,n,o,t,v,vw
53.94,53.94,53.38,16,53.75,2017-01-03T13:00:00Z,19727,53.461245
54.13,54.23,53.73,12544,53.92,2017-01-03T14:00:00Z,3411510,53.980106
54.425,54.47,54.08,20127,54.13,2017-01-03T15:00:00Z,3405931,54.287339
54.5657,54.67,54.38,18606,54.43,2017-01-03T16:00:00Z,3249307,54.519877
54.505,54.64,54.49,12224,54.565,2017-01-03T17:00:00Z,1832893,54.556014
54.39,54.61,54.36,13786,54.5053,2017-01-03T18:00:00Z,2657264,54.482162
54.42,54.515,54.38,11873,54.395,2017-01-03T19:00:00Z,1781273,54.445228
54.575,54.59,54.37,22913,54.42,2017-01-03T20:00:00Z,4532355,54.478395
54.58,54.58,54.3673,18,54.58,2017-01-03T21:00:00Z,4134903,54.579875
54.46,54.71,54.41,11,54.71,2017-01-03T22:00:00Z,2215,54.507476
54.5,54.5,54.5,2,54.5,2017-01-03T23:00:00Z,500,54.49844
54.55,54.55,54.55,3,54.55,2017-01-04T00:00:00Z,916,54.55
54.8,54.8,54.6,8,54.6,2017-01-04T13:00:00Z,1176,54.689286
54.55,54.75,54.33,13494,54.7,2017-01-04T14:00:00Z,3358964,54.567244
54.7,54.81,54.57,14315,54.58,2017-01-04T15:00:00Z,2196384,54.690717
54.47,54.715,54.45,12555,54.705,2017-01-04T16:00:00Z,1850939,54.561845
54.54,54.5899,54.46,8818,54.47,2017-01-04T17:00:00Z,1634108,54.516979
54.57,54.59,54.5,8736,54.545,2017-01-04T18:00:00Z,1129608,54.537143
54.505,54.61,54.5,12055,54.565,2017-01-04T19:00:00Z,1933456,54.550029
54.52,54.57,54.43,22017,54.5099,2017-01-04T20:00:00Z,4106889,54.506366
54.52,54.5581,54.51,36,54.52,2017-01-04T21:00:00Z,4225075,54.520446
54.52,54.52,54.52,2,54.52,2017-01-04T22:00:00Z,500,54.52
54.5,54.5,54.5,2,54.5,2017-01-05T00:00:00Z,340,54.5
54.33,54.5,54.33,4,54.5,2017-01-05T13:00:00Z,2672,54.453874
54.305,54.83,54.305,8513,54.52,2017-01-05T14:00:00Z,2196878,54.63116
54.49,54.64,54.3,11070,54.31,2017-01-05T15:00:00Z,1699980,54.497757
54.4963,54.63,54.43,9996,54.5,2017-01-05T16:00:00Z,2051312,54.517802
54.54,54.59,54.49,6184,54.5,2017-01-05T17:00:00Z,1010127,54.536899
54.55,54.62,54.48,7741,54.54,2017-01-05T18:00:00Z,1099118,54.542812
54.65,54.76,54.505,10424,54.565,2017-01-05T19:00:00Z,1783973,54.646166
54.64,54.71,54.59,15714,54.65,2017-01-05T20:00:00Z,2669496,54.636598
54.62,54.64,54.5455,39,54.64,2017-01-05T21:00:00Z,2461155,54.639918
54.63,54.64,54.63,8,54.64,2017-01-05T23:00:00Z,1585,54.633091
54.62,54.62,54.62,1,54.62,2017-01-06T00:00:00Z,500,54.62
54.03,54.11,53.5,22,54.02,2017-01-06T13:00:00Z,6692,53.882766
53.4,54.1,53.26,10969,54.1,2017-01-06T14:00:00Z,3068251,53.491007
53.52,53.64,53.38,11394,53.395,2017-01-06T15:00:00Z,1976678,53.505822
53.3265,53.5252,53.325,10710,53.52,2017-01-06T16:00:00Z,1668794,53.429285
53.29,53.41,53.25,7900,53.32,2017-01-06T17:00:00Z,1221611,53.3293
53.16,53.3,53.16,8436,53.295,2017-01-06T18:00:00Z,1353662,53.241461
53.116,53.28,53.095,10355,53.16,2017-01-06T19:00:00Z,1664012,53.17687
53.267,53.31,53.11,19185,53.11,2017-01-06T20:00:00Z,3636415,53.233527
53.23,53.3017,53.23,25,53.26,2017-01-06T21:00:00Z,2432867,53.260021
53.23,53.26,53.23,3,53.26,2017-01-06T22:00:00Z,960,53.245469
53.22,53.22,53.0,13,53.0,2017-01-09T13:00:00Z,3151,53.137163
52.79,53.265,52.69,10546,53.22,2017-01-09T14:00:00Z,2263442,52.957576
52.9,53.0,52.78,10595,52.79,2017-01-09T15:00:00Z,1606590,52.87024
52.86,52.93,52.81,7731,52.9,2017-01-09T16:00:00Z,1130539,52.865918
52.805,52.89,52.74,7187,52.86,2017-01-09T17:00:00Z,1098669,52.822453
52.76,52.82,52.7,5818,52.81,2017-01-09T18:00:00Z,748276,52.769303
52.7631,52.84,52.7,8026,52.7698,2017-01-09T19:00:00Z,1184995,52.766526
52.69,52.8,52.67,15833,52.765,2017-01-09T20:00:00Z,2576802,52.749888
52.68,52.7907,52.68,23,52.68,2017-01-09T21:00:00Z,6427631,52.680016
52.67,52.68,52.67,4,52.68,2017-01-09T22:00:00Z,701,52.672853
52.67,52.67,52.65,3,52.67,2017-01-09T23:00:00Z,825,52.665152
52.7,52.7,52.67,2,52.67,2017-01-10T09:00:00Z,300,52.6898
52.71,52.71,52.71,5,52.71,2017-01-10T12:00:00Z,2115,52.709953
52.66,52.67,52.66,3,52.67,2017-01-10T13:00:00Z,600,52.668333
52.61,52.8,52.02,9212,52.71,2017-01-10T14:00:00Z,1799180,52.507072
53.0199,53.06,52.58,13299,52.61,2017-01-10T15:00:00Z,2222622,52.862708
