c,h,l,n,o,t,v,vw
69.35,69.35,69.12,8,69.15,2017-01-03T13:00:00Z,3235,69.209209
68.385,69.3,68.1301,8215,69.3,2017-01-03T14:00:00Z,1641806,68.641888
68.5501,68.615,68.121,14059,68.385,2017-01-03T15:00:00Z,1845098,68.368923
68.42,68.62,68.34,8773,68.56,2017-01-03T16:00:00Z,1169391,68.481607
68.22,68.53,68.2,6813,68.43,2017-01-03T17:00:00Z,933978,68.375107
68.105,68.28,68.05,6642,68.23,2017-01-03T18:00:00Z,999771,68.176341
68.38,68.39,68.05,6669,68.105,2017-01-03T19:00:00Z,918611,68.186415
68.64,68.65,68.29,12874,68.385,2017-01-03T20:00:00Z,1775647,68.508357
68.66,68.66,68.425,28,68.66,2017-01-03T21:00:00Z,1602203,68.653442
68.66,68.66,68.66,2,68.66,2017-01-03T22:00:00Z,292350,68.66
68.64,68.64,68.64,1,68.64,2017-01-03T23:00:00Z,100,68.64
68.66,68.66,68.66,4,68.66,2017-01-04T13:00:00Z,542,68.660775
69.42,69.4573,68.52,5693,68.64,2017-01-04T14:00:00Z,1108515,69.069304
69.455,69.63,69.29,9138,69.43,2017-01-04T15:00:00Z,1346331,69.488656
69.365,69.52,69.29,6635,69.4521,2017-01-04T16:00:00Z,826503,69.411177
69.295,69.54,69.25,5410,69.365,2017-01-04T17:00:00Z,684721,69.390313
69.33,69.405,69.29,5250,69.299,2017-01-04T18:00:00Z,692758,69.346819
69.2,69.35,69.18,6091,69.35,2017-01-04T19:00:00Z,742715,69.25244
69.07,69.26,69.05,10558,69.2,2017-01-04T20:00:00Z,1483830,69.162187
69.06,69.3683,68.52,127,69.02,2017-01-04T21:00:00Z,1767825,69.061417
68.58,68.65,68.58,3,68.58,2017-01-04T22:00:00Z,370,68.598919
68.61,68.61,68.57,10,68.57,2017-01-04T23:00:00Z,2515,68.597614
68.64,68.64,68.6,11,68.64,2017-01-05T00:00:00Z,3100,68.632632
68.66,68.66,68.65,4,68.65,2017-01-05T12:00:00Z,260,68.654154
68.6,68.8,68.6,11,68.64,2017-01-05T13:00:00Z,2479,68.626168
68.71,69.06,68.12,6263,68.6,2017-01-05T14:00:00Z,1455854,68.460003
69.13,69.15,68.68,8068,68.72,2017-01-05T15:00:00Z,1115295,68.865803
69.27,69.33,69.1,6880,69.12,2017-01-05T16:00:00Z,940891,69.203531
69.2,69.33,69.105,4417,69.27,2017-01-05T17:00:00Z,566250,69.231679
69.225,69.31,69.14,4021,69.2,2017-01-05T18:00:00Z,518434,69.229655
69.135,69.28,69.13,5297,69.22,2017-01-05T19:00:00Z,618592,69.213083
69.21,69.32,69.1347,10100,69.135,2017-01-05T20:00:00Z,1259381,69.248711
69.21,69.21,69.16,28,69.21,2017-01-05T21:00:00Z,1201612,69.209979
69.25,69.25,69.21,2,69.21,2017-01-05T22:00:00Z,8300,69.210482
68.95,69.0,68.95,19,69.0,2017-01-06T12:00:00Z,3450,68.998551
68.85,69.0,68.82,9,69.0,2017-01-06T13:00:00Z,4023,68.845774
68.265,68.78,68.01,7900,68.78,2017-01-06T14:00:00Z,1690725,68.313259
68.04,68.29,68.04,9162,68.26,2017-01-06T15:00:00Z,1622659,68.175543
68.19,68.25,68.045,7019,68.05,2017-01-06T16:00:00Z,1084804,68.166165
68.42,68.44,68.15,5449,68.19,2017-01-06T17:00:00Z,1410532,68.270101
68.215,68.45,68.2,6328,68.42,2017-01-06T18:00:00Z,997664,68.323825
68.2865,68.365,68.205,6020,68.22,2017-01-06T19:00:00Z,981898,68.290528
68.26,68.35,68.25,10224,68.285,2017-01-06T20:00:00Z,1252504,68.293357
68.28,68.32,68.26,21,68.26,2017-01-06T21:00:00Z,1041202,68.260036
68.3,68.3,68.3,3,68.3,2017-01-06T22:00:00Z,300,68.3
68.5,68.5,68.27,8,68.28,2017-01-09T13:00:00Z,2200,68.467786
68.67,68.79,68.32,4830,68.34,2017-01-09T14:00:00Z,925465,68.623811
68.7,68.8,68.61,5836,68.66,2017-01-09T15:00:00Z,858464,68.708125
68.7,68.765,68.67,4703,68.7,2017-01-09T16:00:00Z,609515,68.716883
68.73,68.75,68.67,3974,68.695,2017-01-09T17:00:00Z,517827,68.720008
68.61,68.8,68.61,4480,68.73,2017-01-09T18:00:00Z,621242,68.729954
68.55,68.66,68.41,6691,68.6121,2017-01-09T19:00:00Z,1010993,68.523362
68.69,68.72,68.54,14152,68.55,2017-01-09T20:00:00Z,2187580,68.621047
68.71,68.71,68.71,15,68.71,2017-01-09T21:00:00Z,3232623,68.71
68.73,68.73,68.73,4,68.73,2017-01-09T22:00:00Z,600,68.728333
68.51,68.51,68.51,1,68.51,2017-01-09T23:00:00Z,200,68.51
68.7,68.7,68.7,3,68.7,2017-01-10T00:00:00Z,1000,68.7
68.71,68.71,68.71,2,68.71,2017-01-10T13:00:00Z,601,68.71
68.52,68.88,68.52,4617,68.7,2017-01-10T14:00:00Z,837315,68.662568
69.04,69.08,68.45,8708,68.52,2017-01-10T15:00:00Z,1322748,68.803913
68.94,69.27,68.91,6526,69.04,2017-01-10T16:00:00Z,944955,69.086664
68.905,69.025,68.82,6298,68.93,2017-01-10T17:00:00Z,868333,68.905005
68.63,68.9001,68.625,5926,68.9001,2017-01-10T18:00:00Z,738429,68.799418
68.555,68.64,68.38,7672,68.62,2017-01-10T19:00:00Z,1096509,68.519862
68.24,68.58,68.22,13927,68.56,2017-01-10T20:00:00Z,2448879,68.397721
68.2,68.25,68.2,32,68.23,2017-01-10T21:00:00Z,3457365,68.229998
68.23,68.35,68.23,2,68.35,2017-01-10T23:00:00Z,350,68.281429
68.23,68.23,68.19,5,68.19,2017-01-11T00:00:00Z,2500,68.198
68.55,68.61,68.2,3954,68.23,2017-01-11T14:00:00Z,691294,68.437019
68.38,68.59,68.28,5502,68.54,2017-01-11T15:00:00Z,797206,68.390336
68.48,68.62,68.28,5734,68.39,2017-01-11T16:00:00Z,791459,68.433337
68.33,68.52,68.21,4803,68.485,2017-01-11T17:00:00Z,621515,68.352734
68.37,68.42,68.19,4617,68.33,2017-01-11T18:00:00Z,620464,68.304451
68.36,68.45,68.31,4101,68.36,2017-01-11T19:00:00Z,538615,68.386154
68.53,68.59,68.33,9595,68.36,2017-01-11T20:00:00Z,1328117,68.496737
68.53,68.53,68.53,24,68.53,2017-01-11T21:00:00Z,1875718,68.53
68.57,68.57,68.57,1,68.57,2017-01-11T23:00:00Z,100,68.57
68.6,68.7,68.6,5,68.7,2017-01-12T13:00:00Z,361,68.632105
68.47,68.56,68.22,2677,68.36,2017-01-12T14:00:00Z,544354,68.402098
68.12,68.53,68.1,6912,68.47,2017-01-12T15:00:00Z,872961,68.230184
68.13,68.21,68.05,5755,68.12,2017-01-12T16:00:00Z,727368,68.114791
68.15,68.25,68.11,4290,68.12,2017-01-12T17:00:00Z,612319,68.171446
68.14,68.18,68.07,4059,68.15,2017-01-12T18:00:00Z,492428,68.129633
68.0348,68.18,68.0348,5241,68.14,2017-01-12T19:00:00Z,695869,68.109716
67.97,68.05,67.92,14114,68.03,2017-01-12T20:00:00Z,2072403,67.980659
67.9,67.97,67.9,32,67.97,2017-01-12T21:00:00Z,1119299,67.972303
67.95,67.95,67.95,4,67.95,2017-01-12T22:00:00Z,1100,67.95
67.94,67.94,67.94,1,67.94,2017-01-13T00:00:00Z,400,67.94
67.7201,68.02,67.7,4462,67.97,2017-01-13T14:00:00Z,744561,67.898479
67.36,67.73,67.33,12969,67.72,2017-01-13T15:00:00Z,1891928,67.459686
67.56,67.58,67.34,7292,67.36,2017-01-13T16:00:00Z,935942,67.449922
67.46,67.58,67.43,5046,67.5565,2017-01-13T17:00:00Z,711110,67.479162
67.1716,67.46,67.12,7442,67.455,2017-01-13T18:00:00Z,1131161,67.31774
67.25,67.35,67.1672,7400,67.17,2017-01-13T19:00:00Z,1116785,67.262367
67.1,67.3072,67.08,15212,67.2457,2017-01-13T20:00:00Z,2574040,67.155719
67.23,67.23,67.13,32,67.13,2017-01-13T21:00:00Z,1669667,67.130127
67.13,67.2,67.13,9,67.15,2017-01-13T22:00:00Z,1346,67.185275
67.6,67.8,67.56,20,67.65,2017-01-17T12:00:00Z,3947,67.622509
67.52,67.8,67.31,30,67.31,2017-01-17T13:00:00Z,6149,67.512448
68.93,69.29,67.5,15799,67.5,2017-01-17T14:00:00Z,3653440,68.769162
69.21,69.24,68.84,12642,68.92,2017-01-17T15:00:00Z,1685247,69.096428
68.721,69.24,68.721,8212,69.2163,2017-01-17T16:00:00Z,1061507,68.987571
68.51,68.81,68.51,6692,68.73,2017-01-17T17:00:00Z,816152,68.673476
68.685,68.75,68.52,6064,68.52,2017-01-17T18:00:00Z,862822,68.625359
68.225,68.7,68.18,7050,68.7,2017-01-17T19:00:00Z,897374,68.377145
68.43,68.51,68.11,15487,68.225,2017-01-17T20:00:00Z,2312789,68.337205
68.5,68.5,68.41,43,68.43,2017-01-17T21:00:00Z,2952019,68.420462
68.5,68.5,68.5,1,68.5,2017-01-17T23:00:00Z,100,68.5
68.46,68.47,68.46,3,68.47,2017-01-18T00:00:00Z,500,68.4644
68.0,68.05,68.0,14,68.05,2017-01-18T11:00:00Z,1111,68.033087
67.5,67.75,67.0,78,67.75,2017-01-18T12:00:00Z,20748,67.292729
67.55,67.79,67.3,92,67.65,2017-01-18T13:00:00Z,22144,67.577406
67.81,68.0,67.5,7379,67.59,2017-01-18T14:00:00Z,1371454,67.793355
67.6047,67.95,67.57,10201,67.82,2017-01-18T15:00:00Z,1468036,67.73548
67.7256,67.93,67.59,6834,67.605,2017-01-18T16:00:00Z,885336,67.735102
67.69,67.885,67.63,4556,67.73,2017-01-18T17:00:00Z,612988,67.768661
67.695,67.85,67.67,4631,67.68,2017-01-18T18:00:00Z,631133,67.780204
67.945,67.96,67.69,4533,67.695,2017-01-18T19:00:00Z,639598,67.846059
68.11,68.11,67.88,8248,67.9442,2017-01-18T20:00:00Z,1206736,68.025857
68.11,68.11,68.1,22,68.1,2017-01-18T21:00:00Z,940596,68.109998
68.02,68.02,68.02,1,68.02,2017-01-18T22:00:00Z,100,68.02
68.03,68.03,68.03,1,68.03,2017-01-18T23:00:00Z,133,68.03
68.2,68.2,68.18,5,68.18,2017-01-19T00:00:00Z,1500,68.1974
68.0,68.0,68.0,2,68.0,2017-01-19T12:00:00Z,150,68.000933
67.955,68.19,67.86,2672,68.13,2017-01-19T14:00:00Z,423035,68.009458
67.86,67.97,67.78,5062,67.96,2017-01-19T15:00:00Z,627169,67.856605
67.76,67.92,67.735,5354,67.86,2017-01-19T16:00:00Z,708038,67.811275
67.79,67.85,67.76,3140,67.76,2017-01-19T17:00:00Z,478409,67.817815
67.6167,67.81,67.6,4169,67.795,2017-01-19T18:00:00Z,651150,67.709806
67.54,67.66,67.48,5232,67.611,2017-01-19T19:00:00Z,1799840,67.532842
67.6,67.6699,67.51,9475,67.5326,2017-01-19T20:00:00Z,1285328,67.606651
67.69,67.74,67.62,22,67.62,2017-01-19T21:00:00Z,1518912,67.62011
67.71,67.71,67.71,1,67.71,2017-01-20T00:00:00Z,300,67.71
67.78,67.78,67.77,3,67.77,2017-01-20T13:00:00Z,1300,67.777692
67.4,67.83,67.23,4513,67.76,2017-01-20T14:00:00Z,2270962,67.635509
67.445,67.6,67.32,6859,67.4,2017-01-20T15:00:00Z,888403,67.45232
67.215,67.45,67.21,5729,67.45,2017-01-20T16:00:00Z,851976,67.297609
67.163,67.26,67.0601,8754,67.2195,2017-01-20T17:00:00Z,1368090,67.16524
67.0566,67.19,67.04,5365,67.165,2017-01-20T18:00:00Z,702614,67.120858
67.07,67.18,67.04,6027,67.055,2017-01-20T19:00:00Z,962655,67.087175
67.16,67.21,67.02,13606,67.075,2017-01-20T20:00:00Z,2699262,67.115709
67.1,67.18,67.1,33,67.18,2017-01-20T21:00:00Z,3756419,67.179962
67.17,67.17,67.15,11,67.15,2017-01-20T22:00:00Z,1742,67.168852
67.05,67.05,67.05,1,67.05,2017-01-23T13:00:00Z,400,67.05
67.11,67.21,66.67,3983,67.21,2017-01-23T14:00:00Z,1112130,66.989075
66.7639,67.1799,66.67,7103,67.1135,2017-01-23T15:00:00Z,960467,66.891413
66.73,66.87,66.59,6258,66.765,2017-01-23T16:00:00Z,858769,66.732593
66.7231,66.755,66.65,4846,66.73,2017-01-23T17:00:00Z,701038,66.702038
66.6458,66.86,66.64,4349,66.73,2017-01-23T18:00:00Z,743500,66.724429
66.69,66.74,66.59,4429,66.645,2017-01-23T19:00:00Z,641728,66.670672
66.67,66.75,66.56,9041,66.7,2017-01-23T20:00:00Z,1442094,66.646598
66.73,66.74,66.64,32,66.67,2017-01-23T21:00:00Z,1529005,66.650037
66.75,66.75,66.65,19,66.65,2017-01-23T23:00:00Z,3869,66.741344
66.71,66.71,66.64,2,66.64,2017-01-24T13:00:00Z,269,66.666022
66.9,67.11,66.76,3308,66.89,2017-01-24T14:00:00Z,873498,66.955287
66.82,66.93,66.66,7264,66.9,2017-01-24T15:00:00Z,1310273,66.794198
66.975,66.98,66.78,5369,66.8143,2017-01-24T16:00:00Z,1024283,66.892408
67.29,67.33,66.893,8027,66.975,2017-01-24T17:00:00Z,1471847,67.198067
